Code,Name,L1 Category,L2 Category,Amount (g),"Carbon footprint, total (kg CO2e)","Carbon dioxide, total (kg CO2)","Methane, fossil, total (kg CH4)","Methane, biogenic, total (kg CH4)","Nitrous oxide, total (kg N2O)","Carbon footprint, primary production (kg CO2e)","Carbon dioxide, primary production (kg CO2)","Methane, fossil, primary production (kg CH4)","Methane, biogenic, primary production (kg CH4)","Nitrous oxide, primary production (kg N2O)",Cropland (m2*year/kg),New N input (kg N/kg),New P input (kg P/kg),Water (m3/kg),Pesticides (g a.i/kg),Biodiversity (E/MSY/kg),Ammonia (kg NH3/kg),Animal welfare (index),Antibiotics (index),Mineral fertiliser production (kg CO2e),Capital goods (kg CO2e),Soil emissions (kg CO2e),Energy primary production (kg CO2e),Land use change (kg CO2e),Enteric fermentation (kg CO2e),Manure management (kg CO2e),Mineral fertiliser production (kg CO2),Capital goods (kg CO2),Energy primary production (kg CO2),Land use change (kg CO2),"Mineral fertiliser production (kg CH4, fossil)","Capital goods (kg CH4, fossil)","Energy primary production (kg CH4, fossil)","Soil emissions (kg CH4, biogenic)","Enteric fermentation (kg CH4, biogenic)","Manure management (kg CH4, biogenic)",Mineral fertiliser production (kg N2O),Capital goods (kg N2O),Soil emissions (kg N2O),Energy primary production (kg N2O),Manure management (kg N2O),Processing (kg CO2e),Processing (kg CO2),"Processing (kg CH4, fossil)",Processing (kg N2O),Packaging (kg CO2e),Packaging (kg CO2),"Packaging (kg CH4, fossil)","Packaging (kg CH4, biogenic)",Packaging (kg N2O),Transports (kg CO2e),Transports (kg CO2),"Transports (kg CH4, fossil)",Transports (kg N2O),Processes,Packaging,RPCs with missing data
A.06.01.001,Beef meat (Bos spp.),Meat and meat products (including edible offal),Livestock meat,1000,32.206994738553334,4.4106349921341215,0.01723792256144744,0.8823657928547692,0.3755637915815117,32.031495933196425,4.275039056553972,0.01593317467926018,0.882339910746464,0.3755626100212064,11.266100925048775,0.6122369878285115,0.03296690955928455,0.15851119074943168,2.764186233466524,1.7034275792765725e-11,0.1995724413508717,0.2754263653382649,35.29031692864652,2.1156923133984633,0.9809254985866968,3.025094381303491,2.1686885614081155,0.10917953767110623,18.939896328653795,4.692019312174839,1.2625350590722926,0.8733526541838387,2.1103794423116424,0.10906509694796888,0.00230881990602207,0.003106847802279,0.1747580133027925,0,0.701477641801992,0.09482760316831954,0.00287309311768025,5.490395565913e-5,0.0110809317996465,0.17348978585896255,0.00780832976787623,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.00834825841378433,0.00800464308257256,7.11013405992e-6,4.825396931355338e-7,,P9,
A.06.01.003,Pork / piglet meat (Sus scrofa),Meat and meat products (including edible offal),Livestock meat,1000,6.073100631572703,3.19714742967971,0.00484249396148279,0.04332818968432623,0.00572082696104028,5.874602053238304,3.039486952660773,0.00351815801990672,0.04330230757602098,0.0057183578279551,11.864226256495188,0.1657885946672863,0.0245534216951712,0.33963842681381595,2.498870463362445,2.5600226125578705e-11,0.06052716779508767,4.536703344346089,108.78766748289549,0.6544126561944741,0.20064504634133007,0.8997745498328081,2.2152901257108346,0.33922633837943517,0.34869831605511387,1.2165550207243077,0.39794343741278615,0.17911857986768845,2.144626054239163,0.33922633837943517,7.2547658583049e-4,6.6010677988983e-4,0.3862387009583157,0,0.0129147524464857,0.03038755512953528,8.6025647078365e-4,6.79591367371e-6,0.00329587747191504,0.3846402848242787,0.00145088290192987,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.03134803139126895,0.03006918452136001,2.669819344873e-5,1.77011247302e-6,,P9,
A.06.01.004,Mutton / lamb meat (Ovis aries),Meat and meat products (including edible offal),Livestock meat,1000,38.05215315587025,10.458712944926855,0.014943692641884,0.7411789161779552,0.0261402470088296,37.86480431002427,10.3117223947735,0.01362875791647295,0.7411530340696499,0.02613850919215879,35.75174167197826,1.1330791942429328,0.07268563344953238,0.02938108850242239,5.363977440583185,1.665868988595947e-10,0.09778815730090974,3.3331923644581396,34.70785450717159,2.951710355536348,1.4907827839460002,5.699280525807809,5.250364828487002,2.2402274840363923,19.356450202789233,0.8759881294214972,1.759282300151347,1.3270915777414007,5.169323821953003,2.2402274840363923,0.00335675225217483,0.00473110928768579,2.42313029521463,0,0.7169055630662681,0.02424747100338179,0.00400145362003733,8.316538253319e-5,0.02087648544251949,2.42140811300587,8.1064619901168e-4,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.0201982989028508,0.01939925765578184,1.72969772837e-5,1.03879605866e-6,,P9,
A.06.02.001,Chicken meat (Gallus domesticus),Meat and meat products (including edible offal),Poultry,1000,2.1767313126172705,1.4314112286116265,0.0028260232316282,0.00309312108146899,0.00211571546704564,1.9466490234346956,1.2433856227526845,0.00147443480062375,0.00306723897316375,0.00211175747746521,5.997592601915036,0.06726037159627064,0.01126612539521569,0.03756542032413162,1.2840997841881094,2.020371349486151e-11,0.06230045370062655,93.86293795054314,52.583395887696064,0.2198532907961041,0.09789782851405096,0.41822995706601945,0.8681073125956071,0.19087503808612985,0,0.1516855963767844,0.13494030650392383,0.08677120401244923,0.8422405045422122,0.190777502898855,2.5529288821593e-4,3.4279306609264e-4,0.21148641637860796,0,0,0.00306723897316375,2.8316943671555e-4,3.33842905509e-6,0.00153197786471069,0.2108784752396457,2.5227159011488e-4,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.06293174223944502,0.06043431336136469,5.39506828771e-5,3.25896896828e-6,,P9,
A.06.06.003,Pork liver,Meat and meat products (including edible offal),"Edible offal, farmed animals",1000,6.073100631572703,3.19714742967971,0.00484249396148279,0.04332818968432623,0.00572082696104028,5.874602053238304,3.039486952660773,0.00351815801990672,0.04330230757602098,0.0057183578279551,11.864226256495188,0.1657885946672863,0.0245534216951712,0.33963842681381595,2.498870463362445,2.5600226125578705e-11,0.06052716779508767,4.536703344346089,108.78766748289549,0.6544126561944741,0.20064504634133007,0.8997745498328081,2.2152901257108346,0.33922633837943517,0.34869831605511387,1.2165550207243077,0.39794343741278615,0.17911857986768845,2.144626054239163,0.33922633837943517,7.2547658583049e-4,6.6010677988983e-4,0.3862387009583157,0,0.0129147524464857,0.03038755512953528,8.6025647078365e-4,6.79591367371e-6,0.00329587747191504,0.3846402848242787,0.00145088290192987,0,0,0,0,0.16715054694313022,0.12759129249757725,0.00129763774812734,2.588210830524e-5,6.990206121488763e-7,0.03134803139126895,0.03006918452136001,2.669819344873e-5,1.77011247302e-6,,P9,
A.07.01.001,Herring (Clupea),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,5.2603706363124285,5.228267049817053,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,4.885889727434087,4.885889727434087,0,0,0,0,0,0,0,0,0,0,10.71647450160913,0,0,0,0,4.885889727434087,0,0,0,0,0,4.885889727434087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.01.010,Perch (Perca),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,1000,12.866133396614392,12.834029810119018,9.1150614149895e-4,1.845318837881e-5,1.627277433142e-5,12.49165248773605,12.49165248773605,0,0,0,0,0,0,0,0,0,0,5.911533488659383,0,0,0,0,12.49165248773605,0,0,0,0,0,12.49165248773605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10602834309844976,0.08460551209774662,6.8186277441659e-4,1.845318837881e-5,2.21642577604e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P1,
A.07.04.001,Crab (Cancer spp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Crustaceans,1000,15.4655215160353,15.437058742303458,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,15.06451966282698,15.06451966282698,0,0,0,0,0,0,0,0,0,0,15.663199131551892,0,0,0,0,15.06451966282698,0,0,0,0,0,15.06451966282698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.05.002,Octopus (Octopus vulgaris),"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,1000,10.713373881389511,10.68491110765767,7.5647880972959e-4,1.420689776515e-5,2.027882403751e-5,10.312372028181192,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0.6175308593138156,0,0,0,0,10.312372028181192,0,0,0,0,0,10.312372028181192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325492874284276,0.11476726919125815,5.2683544264724e-4,1.420689776515e-5,6.22247548213e-6,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P2,
A.07.06.004,Snail (Helix sp.),"Fish and other seafood (including amphibians, reptiles, snails and insects)","Amphibians, reptiles, snails, insects",1000,14.807922736754698,14.755509141405378,0.00159857989257933,2.730420216816e-5,1.479377689346e-5,14.36313552804579,14.36313552804579,0,0,0,0,0,0,0,0,0,0,13.61306872416902,0,0,0,0,14.36313552804579,0,0,0,0,0,14.36313552804579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17633464292901646,0.13460180307436717,0.00136893652549697,2.730420216816e-5,7.374283380911222e-7,0.26845256577989257,0.2577718102852204,2.2964336708235e-4,1.405634855537e-5,,P9,
