Food code,Food name,Component code,Component name,Facet(s) code,Percentage,Probability,"Probability group",Source(s),Reference(s),Reference link (1),Reference link (2)
A.01.02.001,Wheat grain,A.01.02.001,Wheat grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.001.001,Wheat germ,A.01.02.001,Wheat grain,F28.A0C03$F02.A068A,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.001.002,"Wheat grain, Durum",A.01.02.001.002,"Wheat grain, Durum",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.001.003,"Wheat grain, soft",A.01.02.001.003,"Wheat grain, soft",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.001.004,Bulgur wheat,A.01.02.001.004,Bulgur wheat,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.002.001,"Barley grain, whole",A.01.02.002.001,"Barley grain, whole",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.002.002,"Barley, pearled",A.01.02.002.001,"Barley grain, whole",F28.A0BZV,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.003,Corn grain,A.01.02.003,Corn grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.004,Rye grain,A.01.02.004,Rye grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.005,Spelt grain,A.01.02.005,Spelt grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.005.001,"Spelt grain, rippen",A.01.02.005,Spelt grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.005.002,"Spelt grain, unrippen",A.01.02.005,Spelt grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.006,Buckwheat grain,A.01.02.006,Buckwheat grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.007,Millet grain,A.01.02.007,Millet grain,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.008,"Oats, grain",A.01.02.008,"Oats, grain",F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.009.001,"Rice, brown",A.01.02.009,Rice,F28.A07XD,100.00,1.00,,RPC,RPC,,
A.01.02.009.002,"Rice, long-grain",A.01.02.009,Rice,F28.A0BZV,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.009.003,"Rice, mixed",A.01.02.009.001,"Rice, brown",To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.009.003,"Rice, mixed",A.01.02.009.002,"Rice, long-grain",To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.009.003,"Rice, mixed",A.01.02.009.006,"Rice, white",To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.009.003,"Rice, mixed",A.01.02.009.007,"Rice, wild",F28.A07XD,25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.009.004,"Rice, parboiled",A.01.02.009,Rice,F28.A0BZV$F28.A07LK,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.009.006,"Rice, white",A.01.02.009,Rice,F28.A0BZV,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.009.007,"Rice, wild",A.01.02.009.007,"Rice, wild",F28.A07GG,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.02.010.001,Mixture of grains,A.01.02.001.002,"Wheat grain, Durum",F28.A07XD,20.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.010.001,Mixture of grains,A.01.02.001.003,"Wheat grain, soft",F28.A07XD,20.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.010.001,Mixture of grains,A.01.02.002.001,"Barley grain, whole",F28.A07XD,20.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.010.001,Mixture of grains,A.01.02.004,Rye grain,F28.A07XD,20.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.02.010.001,Mixture of grains,A.01.02.008,"Oats, grain",F28.A07XD,20.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.03.001.001,"Wheat flour, brown",A.01.02.001,Wheat grain,F28.A0C03$F02.A067Z$F10.A0EZZ,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.002,"Wheat flour, Durum",A.01.02.001.002,"Wheat grain, Durum",F28.A0C03$F02.A067Z$F10.A07XK,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.003,"Wheat flour, white",A.01.02.001,Wheat grain,F28.A0C03$F02.A067Z$F10.A07XK,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.004,"Wheat flour, wholemeal",A.01.02.001,Wheat grain,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.005,Graham flour,A.01.02.001,Wheat grain,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.006,"Wheat flour, gluten free",I.01.03.008.008,Gluten-free flour,To be further disaggregated (d),100.00,1.00,,Assumption,Gluten-free flour is not from wheat,,
A.01.03.001.007,Couscous,A.01.03.001.012,"Wheat semolina, Durum",To be further disaggregated (d),100.00,1.00,,Assumption,One ingredient,,
A.01.03.001.008,Wheat bran,A.01.02.001,Wheat grain,F28.A0C03$F02.A067Y,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.009,Wheat groats,A.01.02.001.002,"Wheat grain, Durum",F28.A07LA,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.012,"Wheat semolina, Durum",A.01.02.001.002,"Wheat grain, Durum",F28.A0C03$F02.A068C,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.013,"Wheat semolina, soft wheat",A.01.02.001.003,"Wheat grain, soft",F28.A0C03$F02.A068C,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.001.014,Wheat starch,A.01.02.001,Wheat grain,F28.A0C0B,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.002.002,"Rye flour, light",A.01.02.004,Rye grain,F28.A0C03$F02.A067Z$F10.A07XK,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.002.003,"Rye flour, medium",A.01.02.004,Rye grain,F28.A0C03$F02.A067Z$F10.A0EZZ,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.002.004,"Rye flour, wholemeal",A.01.02.004,Rye grain,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.002.005,Rye groats,A.01.02.004,Rye grain,F28.A07LA,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.002.006,Rye starch,A.01.02.004,Rye grain,F28.A0C0B,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.002.007,Rye bran,A.01.02.004,Rye grain,F28.A0C03$F02.A067Y,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.003.001,Buckwheat flour,A.01.02.006,Buckwheat grain,F28.A0C03$F02.A067Z,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.003.002,Buckwheat groats,A.01.02.006,Buckwheat grain,F28.A07LA,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.004.001,Corn flour,A.01.02.003,Corn grain,F28.A0C03$F02.A067Z,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.004.002,Corn semolina,A.01.02.003,Corn grain,F28.A0C03$F02.A068C,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.004.003,Corn starch,A.01.02.003,Corn grain,F28.A0C0B,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.004.004,Cornmeal,A.01.02.003,Corn grain,F28.A0C03$F02.A068C,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.005.001,Oat bran,A.01.02.008,"Oats, grain",F28.A0C03$F02.A067Y,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.005.002,Oat flour,A.01.02.008,"Oats, grain",F28.A0C03$F02.A067Z,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.005.003,Oat groats,A.01.02.008,"Oats, grain",F28.A07LA,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.006.001,Rice flour,A.01.02.009,Rice,F28.A0C03$F02.A067Z,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.006.003,"Rice flour, instant",A.01.02.009,Rice,F28.A0C03$F02.A067Z,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.006.004,Rice starch,A.01.02.009,Rice,F28.A0C0B,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.007.003,"Spelt flour, wholemeal",A.01.02.005,Spelt grain,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.008.002,Barley flour,A.01.02.002.001,"Barley grain, whole",F28.A0C03$F02.A067Z,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.008.003,Chapatti flour,A.01.02.001.002,"Wheat grain, Durum",F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.008.004,"Flour mix, wheat/rye/barley/oats",A.01.03.001.003,"Wheat flour, white",To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.03.008.004,"Flour mix, wheat/rye/barley/oats",A.01.03.002.003,"Rye flour, medium",To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.03.008.004,"Flour mix, wheat/rye/barley/oats",A.01.03.005.002,Oat flour,To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.03.008.004,"Flour mix, wheat/rye/barley/oats",A.01.03.008.002,Barley flour,To be further disaggregated (d),25.00,1.00,,Assumption,Equal proportion of main ingredients,,
A.01.03.008.005,Millet flour,A.01.02.007,Millet grain,F28.A0C03$F02.A067Z,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.03.008.006,Millet groats,A.01.02.007,Millet grain,F28.A07LA,100.00,1.00,,RPC Derivative,RPC Derivative,,
A.01.04.001.001,"Wheat bread, white",A.16.10.001,Yeast,F28.A07XD,1.14,1.00,,Recipe || Assumption,"Allrecipes, Ciabatta Bread (ID=15232) || 20% water content",http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,"Wheat bread, white",A.16.04.001,Salt,F28.A07XD,1.71,1.00,,Recipe || Assumption,"Allrecipes, Ciabatta Bread (ID=15232) || 20% water content",http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,"Wheat bread, white",A.11.04.017,Sunflower oil,To be further disaggregated (d),2.86,1.00,,Recipe || Assumption,"Allrecipes, Ciabatta Bread (ID=15232) || 20% water content",http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,"Wheat bread, white",A.15.01,Tap water,F28.A07XD,20.00,1.00,,Recipe || Assumption,"Allrecipes, Ciabatta Bread (ID=15232) || 20% water content",http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,"Wheat bread, white",A.01.03.001.003,"Wheat flour, white",To be further disaggregated (d),74.29,1.00,,Recipe || Assumption,"Allrecipes, Ciabatta Bread (ID=15232) || 20% water content",http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.002,"Wheat bread, white, gluten free",A.01.04.001.018,"Wheat bread, gluten free",To be further disaggregated (d),100.00,1.00,,Assumption,No distinction made among gluten-free breads,,
A.01.04.001.003,"Wheat bread, white, with oil seeds",A.04.04.004,Sesame seed (Sesamum indicum syn. S. orientale),F28.A07XD,0.20,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,"Wheat bread, white, with oil seeds",A.04.04.003,Poppy seed (Papaver somniferum),F28.A07XD,0.80,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,"Wheat bread, white, with oil seeds",A.04.04.005,Sunflower seed (Helianthus annuus),F28.A07XD,2.40,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,"Wheat bread, white, with oil seeds",A.01.02.007,Millet grain,F28.A07XD,2.70,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,"Wheat bread, white, with oil seeds",A.04.04.001,Linseed (Linum usitatissimum),F28.A07XD,4.00,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,"Wheat bread, white, with oil seeds",A.01.04.001.001,"Wheat bread, white",To be further disaggregated (d),89.90,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.004,"Wheat bread, brown",A.16.10.001,Yeast,F28.A07XD,1.14,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.004,"Wheat bread, brown",A.16.04.001,Salt,F28.A07XD,1.71,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.004,"Wheat bread, brown",A.11.04.017,Sunflower oil,To be further disaggregated (d),2.86,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.004,"Wheat bread, brown",A.15.01,Tap water,F28.A07XD,20.00,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.004,"Wheat bread, brown",A.01.03.001.001,"Wheat flour, brown",To be further disaggregated (d),74.29,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.005,"Wheat bread, brown, gluten free",A.01.04.001.018,"Wheat bread, gluten free",To be further disaggregated (d),100.00,1.00,,Assumption,No distinction made among gluten-free breads,,
A.01.04.001.006,"Wheat bread, brown, with oil seeds",A.04.04.004,Sesame seed (Sesamum indicum syn. S. orientale),F28.A07XD,0.20,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.001.006,"Wheat bread, brown, with oil seeds",A.04.04.003,Poppy seed (Papaver somniferum),F28.A07XD,0.80,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.001.006,"Wheat bread, brown, with oil seeds",A.04.04.005,Sunflower seed (Helianthus annuus),F28.A07XD,2.40,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.001.006,"Wheat bread, brown, with oil seeds",A.01.02.007,Millet grain,F28.A07XD,2.70,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.001.006,"Wheat bread, brown, with oil seeds",A.04.04.001,Linseed (Linum usitatissimum),F28.A07XD,4.00,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.001.006,"Wheat bread, brown, with oil seeds",A.01.04.001.004,"Wheat bread, brown",To be further disaggregated (d),89.90,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.001.007,"Wheat bread, with bran",A.01.03.001.008,Wheat bran,To be further disaggregated (d),2.30,1.00,,Commercial Products,"Mintel GNPD, Sourdough Bread with Cereals (ID=5568485)",http://www.gnpd.com/sinatra/recordpage/5568485/,
A.01.04.001.007,"Wheat bread, with bran",A.01.04.001.004,"Wheat bread, brown",To be further disaggregated (d),97.70,1.00,,Commercial Products,"Mintel GNPD, Sourdough Bread with Cereals (ID=5568485)",http://www.gnpd.com/sinatra/recordpage/5568485/,
A.01.04.001.008,"Wheat bread, with oil seeds",A.04.04.004,Sesame seed (Sesamum indicum syn. S. orientale),F28.A07XD,0.20,1.00,,Extrapolation || Probability Analysis,"based on  'Wheat bread, white, with oil seeds' || Mintel GNPD",,
A.01.04.001.008,"Wheat bread, with oil seeds",A.04.04.003,Poppy seed (Papaver somniferum),F28.A07XD,0.80,1.00,,Extrapolation || Probability Analysis,"based on  'Wheat bread, white, with oil seeds' || Mintel GNPD",,
A.01.04.001.008,"Wheat bread, with oil seeds",A.04.04.005,Sunflower seed (Helianthus annuus),F28.A07XD,2.40,1.00,,Extrapolation || Probability Analysis,"based on  'Wheat bread, white, with oil seeds' || Mintel GNPD",,
A.01.04.001.008,"Wheat bread, with oil seeds",A.01.02.007,Millet grain,F28.A07XD,2.70,1.00,,Extrapolation || Probability Analysis,"based on  'Wheat bread, white, with oil seeds' || Mintel GNPD",,
A.01.04.001.008,"Wheat bread, with oil seeds",A.04.04.001,Linseed (Linum usitatissimum),F28.A07XD,4.00,1.00,,Extrapolation || Probability Analysis,"based on  'Wheat bread, white, with oil seeds' || Mintel GNPD",,
A.01.04.001.008,"Wheat bread, with oil seeds",A.01.04.001.001,"Wheat bread, white",To be further disaggregated (d),89.90,1.00,,Extrapolation || Probability Analysis,"based on  'Wheat bread, white, with oil seeds' || Mintel GNPD",,
A.01.04.001.009,Wheat germ bread,A.01.02.001.001,Wheat germ,To be further disaggregated (d),5.00,1.00,,Commercial Products,"Mintel GNPD, Medium Sliced Bread (ID=5344573)",http://www.gnpd.com/sinatra/recordpage/5344573/,
A.01.04.001.009,Wheat germ bread,A.01.04.001.004,"Wheat bread, brown",To be further disaggregated (d),95.00,1.00,,Commercial Products,"Mintel GNPD, Medium Sliced Bread (ID=5344573)",http://www.gnpd.com/sinatra/recordpage/5344573/,
A.01.04.001.010,"Wheat rolls, white",A.16.04.001,Salt,F28.A07XD,0.60,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.010,"Wheat rolls, white",A.16.10.001,Yeast,F28.A07XD,1.40,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.010,"Wheat rolls, white",A.11.04.017,Sunflower oil,To be further disaggregated (d),1.70,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.010,"Wheat rolls, white",A.15.01,Tap water,F28.A07XD,24.30,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.010,"Wheat rolls, white",A.01.03.001.003,"Wheat flour, white",To be further disaggregated (d),72.00,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.012,"Wheat rolls, white, with oil seeds",A.04.04.004,Sesame seed (Sesamum indicum syn. S. orientale),F28.A07XD,0.20,1.00,,Extrapolation,"based on 'wheat bread, white, with oil seeds'",,
A.01.04.001.012,"Wheat rolls, white, with oil seeds",A.04.04.003,Poppy seed (Papaver somniferum),F28.A07XD,0.80,1.00,,Extrapolation,"based on 'wheat bread, white, with oil seeds'",,
A.01.04.001.012,"Wheat rolls, white, with oil seeds",A.04.04.005,Sunflower seed (Helianthus annuus),F28.A07XD,2.40,1.00,,Extrapolation,"based on 'wheat bread, white, with oil seeds'",,
A.01.04.001.012,"Wheat rolls, white, with oil seeds",A.01.02.007,Millet grain,F28.A07XD,2.70,1.00,,Extrapolation,"based on 'wheat bread, white, with oil seeds'",,
A.01.04.001.012,"Wheat rolls, white, with oil seeds",A.04.04.001,Linseed (Linum usitatissimum),F28.A07XD,4.00,1.00,,Extrapolation,"based on 'wheat bread, white, with oil seeds'",,
A.01.04.001.012,"Wheat rolls, white, with oil seeds",A.01.04.001.001,"Wheat bread, white",To be further disaggregated (d),89.90,1.00,,Extrapolation,"based on 'wheat bread, white, with oil seeds'",,
A.01.04.001.013,"Wheat rolls, brown",A.16.04.001,Salt,F28.A07XD,0.60,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.013,"Wheat rolls, brown",A.16.10.001,Yeast,F28.A07XD,1.40,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.013,"Wheat rolls, brown",A.11.04.017,Sunflower oil,To be further disaggregated (d),1.70,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.013,"Wheat rolls, brown",A.15.01,Tap water,F28.A07XD,24.30,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.013,"Wheat rolls, brown",A.01.03.001.001,"Wheat flour, brown",To be further disaggregated (d),72.00,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.016,"Wheat toast bread, white",A.01.04.001.001,"Wheat bread, white",To be further disaggregated (d),100.00,1.00,,Assumption,Similar product,,
A.01.04.001.017,"Wheat toast bread, brown",A.01.04.001.004,"Wheat bread, brown",To be further disaggregated (d),100.00,1.00,,Assumption,Similar product,,
A.01.04.001.018,"Wheat bread, gluten free",A.16.10.001,Yeast,F28.A07XD,1.14,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.018,"Wheat bread, gluten free",A.16.04.001,Salt,F28.A07XD,1.71,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.018,"Wheat bread, gluten free",A.11.04.017,Sunflower oil,To be further disaggregated (d),2.86,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.018,"Wheat bread, gluten free",A.15.01,Tap water,F28.A07XD,20.00,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.001.018,"Wheat bread, gluten free",I.01.03.008.008,Gluten-free flour,To be further disaggregated (d),74.29,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.001,"Rye bread, light",A.16.10.001,Yeast,F28.A07XD,1.14,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.001,"Rye bread, light",A.16.04.001,Salt,F28.A07XD,1.71,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.001,"Rye bread, light",A.11.04.017,Sunflower oil,To be further disaggregated (d),2.86,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.001,"Rye bread, light",A.15.01,Tap water,F28.A07XD,20.00,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.001,"Rye bread, light",A.01.03.002.002,"Rye flour, light",To be further disaggregated (d),74.29,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.002,"Rye bread, light, with oil seeds",A.04.04.004,Sesame seed (Sesamum indicum syn. S. orientale),F28.A07XD,0.20,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,"Rye bread, light, with oil seeds",A.04.04.003,Poppy seed (Papaver somniferum),F28.A07XD,0.80,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,"Rye bread, light, with oil seeds",A.04.04.005,Sunflower seed (Helianthus annuus),F28.A07XD,2.40,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,"Rye bread, light, with oil seeds",A.01.02.007,Millet grain,F28.A07XD,2.70,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,"Rye bread, light, with oil seeds",A.04.04.001,Linseed (Linum usitatissimum),F28.A07XD,4.00,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,"Rye bread, light, with oil seeds",A.01.04.002.001,"Rye bread, light",To be further disaggregated (d),89.90,1.00,,Commercial Products,"Mintel GNPD, Multigrains Bagels (ID=5482891)",http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.003,"Rye bread, wholemeal",A.16.10.001,Yeast,F28.A07XD,1.14,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.003,"Rye bread, wholemeal",A.16.04.001,Salt,F28.A07XD,1.71,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.003,"Rye bread, wholemeal",A.11.04.017,Sunflower oil,To be further disaggregated (d),2.86,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.003,"Rye bread, wholemeal",A.15.01,Tap water,F28.A07XD,20.00,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.003,"Rye bread, wholemeal",A.01.03.002.004,"Rye flour, wholemeal",To be further disaggregated (d),74.29,1.00,,Extrapolation,"based on 'Wheat bread, white'",,
A.01.04.002.004,"Rye bread, wholemeal, with oil seeds",A.04.04.004,Sesame seed (Sesamum indicum syn. S. orientale),F28.A07XD,0.20,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.002.004,"Rye bread, wholemeal, with oil seeds",A.04.04.003,Poppy seed (Papaver somniferum),F28.A07XD,0.80,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.002.004,"Rye bread, wholemeal, with oil seeds",A.04.04.005,Sunflower seed (Helianthus annuus),F28.A07XD,2.40,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.002.004,"Rye bread, wholemeal, with oil seeds",A.01.02.007,Millet grain,F28.A07XD,2.70,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.002.004,"Rye bread, wholemeal, with oil seeds",A.04.04.001,Linseed (Linum usitatissimum),F28.A07XD,4.00,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.002.004,"Rye bread, wholemeal, with oil seeds",A.01.04.002.003,"Rye bread, wholemeal",To be further disaggregated (d),89.90,1.00,,Extrapolation,"based on 'Wheat bread, white, with oil seeds'",,
A.01.04.002.005,"Rye rolls, light",A.16.10.001,Yeast,F28.A07XD,1.14,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.005,"Rye rolls, light",A.16.04.001,Salt,F28.A07XD,1.71,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.005,"Rye rolls, light",A.11.04.017,Sunflower oil,To be further disaggregated (d),2.86,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.005,"Rye rolls, light",A.15.01,Tap water,F28.A07XD,20.00,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.005,"Rye rolls, light",A.01.03.002.002,"Rye flour, light",To be further disaggregated (d),74.29,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.007,"Rye rolls, wholemeal",A.16.04.001,Salt,F28.A07XD,0.60,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.007,"Rye rolls, wholemeal",A.16.10.001,Yeast,F28.A07XD,1.40,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.007,"Rye rolls, wholemeal",A.11.04.017,Sunflower oil,To be further disaggregated (d),1.70,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.007,"Rye rolls, wholemeal",A.15.01,Tap water,F28.A07XD,24.30,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.007,"Rye rolls, wholemeal",A.01.03.002.004,"Rye flour, wholemeal",To be further disaggregated (d),72.00,1.00,,Extrapolation,"based on 'Rye bread, light'",,
A.01.04.002.008,"Rye rolls, wholemeal, with oil seeds",A.04.04.004,Sesame seed (Sesamum indicum syn. S. orientale),F28.A07XD,0.20,1.00,,Extrapolation,"based on 'Rye bread, light, with oil seeds'",,
A.01.04.002.008,"Rye rolls, wholemeal, with oil seeds",A.04.04.003,Poppy seed (Papaver somniferum),F28.A07XD,0.80,1.00,,Extrapolation,"based on 'Rye bread, light, with oil seeds'",,
