Code,Name,Amount
A.02.11.003,"Cocoa beverage-preparation, powder",3.0397
A.13.05.002,"Cocoa beverages",0.1592
A.02.11.002,"Cocoa powder",0.0586
A.02.14.009,"Coconut water",0.0506
I.07.01.017.001,"Salted seafood",2.4185
A.13.03.002,"Coffee beverages",5.2307
A.13.01.006,"Coffee beverage decaffeinated",0.9242
A.13.03.003,"Coffee drink, cappuccino",1.073
A.13.03.001,"Coffee espresso (beverage)",1.3945
A.02.12.004,"Coffee ground, roasted",0.0038
A.13.01.003,"Cola-type drinks",41.7628
A.13.01.004,"Cola beverages, decaffeinated",3.767
A.13.01.007,"Cola mix, flavoured cola",0.0761
A.05.06.015,"Common banana",10.0954
I.01.07.001.050,"Vol au vent",0.9441
A.05.03.011,"Peaches and similar-",4.1798
A.01.02.001,"Wheatgrass",0.6712
A.05.09.007.002,"Fruit compote, apple",14.2991
A.08.03.002.004,"Condensed milk (sometimes with added sugars)",0.0058
A.06.09.001.002,"Teewurst-type sausage",2.5656
A.06.08.002,"Ham, beef",0.0066
A.06.08.001,"Raw cured (or seasoned) meat",12.0805
A.06.08.006,"Cured seasoned poultry meat",0.6514
I.16.01.015,"Coriander leaves",0.0094
A.16.02.016,"Coriander seed",0.0101
A.20.01.002,"Corn chips",0.0619
A.20.01.004,"Corn curls",0.2367
I.08.08.187,"Cottage cheese",0.6771
A.02.03.008,"Courgettes and similar-",14.5759
A.01.03.001.007,"Couscous",0.077
A.08.05.001.003,"Cream, plain",0.1984
A.08.08.113,"Mascarpone",0.7958
A.14.05.007,"Cream liqueur",0.0642
I.16.08.003.002,"Cream with other ingredients",2.9863
A.08.05.004.005,"Créme fraiche and other mild variants of sour cream",5.4741
A.01.04.005.002,"Crisp bread, rye, refined flour",0.0047
A.01.04.005.004,"Crisp bread, wheat, refined flour",0.1652
A.01.04.005.003,"Wheat crisp bread",0.126
A.02.05.002,"Romaines",3
A.01.07.001.041,"Croissant from puff pastry",2.2924
A.01.04.007.002,"Croutons",0.1792
A.02.03.006,"Cucurbits fruiting vegetables",2.8335
A.16.02.017,"Cumin seed",0.015
A.11.01.004,"Pork lard",2.3417
A.06.08.012,"Pastrami, beef",0.0044
A.06.08.011,"Tiroler speck",0.0781
A.02.05.004,"Escaroles and similar-",0.2321
A.05.04.010,"Currants and similar-",0.0737
A.16.03.002,"Curry powder",0.0459
A.16.05.012,"Curry sauce",0.1866
A.20.02.004,"Custard",17.733
A.02.01.005,"Wasabi roots",0.0195
I.20.02.001.008,"Dairy snacks",0.0792
I.20.02.001.006,"Dairy imitates other than milks",0.0295
A.05.03.003,"Damsons",0.2198
A.05.06.001,"Dates",0.0381
A.06.07.001,"Wild boar liver",0.0025
A.06.03.003,"Wapiti elk meat",0.0028
A.18.05,"Formulations containing special fatty acids (e.g. Omega-3, essential fatty acids)",0.0398
A.16.02.018,"Dill leaves",0.0005
A.10.04.008,"Dragée, sugar coated",0.32
A.05.07.004,"Dried apricots",0.1086
A.05.07.008,"Dried bananas",0.0064
A.05.07.007,"Dried dates",0.0026
A.05.07.002,"Dried figs",0.0236
A.05.09.001,"Mixed dried fruits",0.1636
I.16.01.018,"Herbs/spices sauces",0.2852
A.04.03.004,"Dried nuts/seeds and related flours and powders",0.3278
A.01.05.005,"Fresh spiced sausages in casing",17.5662
A.05.07.003,"Dried prunes",0.0625
I.19.01.003.014,"Dried stuffed pasta",0.0249
A.02.14.007,"Sun-dried tomatoes",0.0508
A.05.07.001,"Dried vine fruits (raisins etc.)",0.1316
A.15,"Water based beverages",8.1901
A.06.06.007,"Duck, other slaughtering products",0.1216
A.11.01.007,"Duck fat, processed",0.0272
A.06.02.003,"Duck fresh meat",1.404
A.01.07.001.018,"Éclair",0.979
A.07.04.001,"Freshwater crabs",0.0457
I.13.06,"Isotonic and sport drinks",1.0759
I.08.08.193,"Ripened cheese",1.7972
A.01.04.006.003,"Puffs/curls-type extruded snack",5.925
A.16.02.019,"Fennel seed",0.1433
A.08.06.001.001,"Fermented milk products",0.3467
A.13.02.001,"Tea infusion with added flavouring ingredients",10.297
A.05.06.002,"Figs",0.1472
A.19.01.003.005,"Pasta, filled, cooked",0.9571
I.10.03.005.002,"Gianduja chocolate",0.0215
A.18.04.001,"Fine dough without yeast",0.684
A.08.08.011,"Firm-ripened cheese with added herbs, spices or other ingredients",3.0032
I.08.08.191,"Firm/semi-hard cheese (gouda and edam type)",3.8124
I.07.01.006.001,"Smoked salmon",7.96
A.07.02.001,"Fish balls",0.0033
A.07.02.003,"Fish fingers, breaded",4.6287
I.07.02.004.003,"Fish paste or surimi",1.1775
I.01.07.001.064,"Flan tart",0.6332
A.08.01.001.003,"Flavoured milks",2.205
I.10.01.005.003,"Flavoured sugar",0.0164
A.10.04.010,"Foamed sugar products (marshmallows)",0.1257
A.06.06.008,"Goose liver",0.0594
A.02.06.001,"Slicing bean (young pods)",12.6023
I.08.08.188,"Fresh uncured cheese",0.1388
A.07.04.007,"Freshwater crayfishes",0.0165
A.19.08.006,"Hardened egg products",8.1845
A.07.06.001,"Frogs meat",0.0112
I.12.04.012,"Juice, citrus",7.1728
A.01.07.001.020,"Fruit cake",0.291
A.05.09.007.004,"Fruit compote, apricot",0.1805
A.05.09.007.012,"Other processed fruit products (excluding beverages)",4.4413
A.05.09.007.008,"Fruit compote, peach",0.1068
A.05.09.007.003,"Fruit compote, pear",0.2145
A.05.09.007.005,"Fruit compote, plum",0.0478
A.05.09.007.006,"Fruit compote, sweet cherry",0.1239
A.13.02.003,"Rooibos infusion",2.2655
I.12.02.024,"Fruit juices (100% from named source)",0.7093
I.14.05.001.003,"Marsala",0.0235
I.12.03.016,"Fruit nectars (min. 25-50% fruit as defined in EU legislation)",0.0302
A.01.07.001.023,"Fruit pie-tarts",4.6946
I.08.02.003,"Fruit smoothies",1.3599
I.16.02.033,"Garlic and similar-",0.4265
A.16.10.008,"Gelatine",0.03
A.02.03.007,"Gherkins and similar-",0.6098
A.16.02.022,"Ginger roots",0.0152
A.01.07.001.024,"Gingerbread",0.1589
A.01.05.001,"Glass noodle",0.1902
A.02.07.005,"Globe artichokes",0.6196
A.08.01.005,"Goat milk",0.8153
A.01.07.001.025,"Gougere",0.0354
A.05.06.018,"Pome fruits",0.0305
A.20.02.007,"Granita",0.1142
A.11.04.005,"Grape seed oil",0.0076
A.05.01.001,"Grapefruits and similar-",1.3816
A.05.04.001,"Table grapes and similar-",1.6545
A.16.04.010,"Stock cubes or granulate, chicken",0.0841
A.06.02.006,"Guinea-fowl fresh meat",0.1502
A.07.01.018,"Hakes",1.2371
A.07.01.020,"Halibut",0.0885
A.04.03.007,"Primary derivatives from nuts and similar seeds",0.1077
A.09.01.003,"Hen egg white",0.5896
A.09.01.002,"Hen egg yolk",0.777
A.14.05.002,"Other liqueurs",0.0126
A.13.02.004,"Wormwoods infusion leaves",4.6434
I.16.08.005.002,"Hollandaise type sauce",0.0469
A.10.07.003,"Minor honey types",0.1401
A.10.07.001,"Honey, monofloral",0.5671
A.10.07.002,"Honey, polyfloral",0.0714
A.06.01.006,"Horse meat, dried",0.5645
A.13.05.001,"Hot drinks and similar (coffee, cocoa, tea and herbal infusions)",5.6789
I.20.02.001.007,"Ice cream, milk-based",5.8928
A.08.09.002,"Imitation cream",0.0367
A.01.02.009.007,"Indian rice grain",0.0255
A.02.12.006,"Instant coffee powder",0.0103
A.05.08.001.001,"Jam, strawberries",1.7118
A.05.08.001.011,"Jam, apricots",0.2685
A.05.08.001.003,"Jam, blackberries",0.3305
A.05.08.001.009,"Jam, blueberries",0.1302
A.05.08.001.004,"Jam, currants (red)",0.0923
A.05.08.001.018,"Other fruit spreads",0.3332
A.05.08.001.016,"Jam, oranges",0.0375
A.05.08.001.013,"Jam, peaches",0.1223
A.05.08.001.012,"Jam, plums",0.1344
A.05.08.001.002,"Jam, raspberries",0.4395
A.05.08.001.010,"Jam, rose hips",0.0027
A.05.08.001.014,"Jam, sweet cherry",0.0378
A.10.04.013,"Soft candies and analogues",2.0992
A.03.02.005,"Jerusalem artichokes",0.0446
A.12.01.001,"Other fruit juices",12.2238
A.12.01.013,"Juice, apricot",0.0368
A.12.01.007,"Juice, cranberry",0.0736
A.12.01.006,"Juice, grape",1.2757
A.12.01.003,"Juice, grapefruit",0.7439
A.12.01.021,"Juice, guava",0.2184
A.12.01.010,"Juice, lemon",0.5615
A.12.01.011,"Juice, lime",0.0105
A.12.03.001,"Nectar, mango",0.1902
I.12.04.011,"Multivitamin juices",14.8719
I.12.08.002.001,"Juice, multi-fruit-carrot",0.353
A.12.01.002,"Juice, orange",72.6586
A.12.04.003,"Juice, orange-grapefruit",0.0752
A.12.04.008,"Juice, orange-peach",0.2066
A.12.01.009,"Juice, peach",0.2483
A.12.01.012,"Juice, pear",0.1475
A.12.01.004,"Juice, pineapple",1.8679
A.12.06.001,"Juice, tomato",0.009
A.16.02.024,"Juniper berry",0
A.05.06.006,"Kaki",0.1493
A.02.04.006,"Kales and similar-",0.2474
A.05.06.008,"Sweetsops",1.9716
A.02.04.007,"Kohlrabies",0.0116
A.06.01.004,"Lamb fresh meat",3.6275
A.02.05.001,"Lamb's lettuces",0.6607
A.02.05.010,"Taros",4.5688
A.02.07.006,"Leeks and similar-",13.6737
A.05.01.003,"Lemons and similar-",0.1121
A.05.01.004,"Limes",0.0007
A.04.04.001,"Linseeds",0.0021
I.14.05.001.002,"Liquid drink bases (including concentrates and home-made preparations)",1.5647
A.10.04.011,"Liquorice candies",0.0285
A.05.06.009,"Litchis",0.0168
A.06.10.005,"Liver cheese",0.4202
A.07.04.002,"Spiny and rock lobsters",0.0763
A.01.07.001.043,"Macaroons",0.1729
A.01.03.004.003,"Starches",0.0249
A.05.01.005,"Tangerines",7.4543
A.05.06.016,"Mangoes",0.1724
A.11.06.001,"Traditional margarine",0.6708
I.16.01.028,"Marjoram, dry",0.0011
A.01.07.001.047,"Marzipan pie",0.0864
A.02.14.008,"Mashed vegetable puree",3.1271
A.01.04.005.008,"Matzo",0.005
A.16.06.005,"Mayonnaise, hollandaise and related sauces",1.5232
I.06.11.001.002,"Meat spread",0.6299
A.05.02.004,"Medlars",0.0501
A.02.03.009,"Melons and similar-",4.8976
I.01.07.001.075,"Meringue",0.2633
I.01.07.001.071,"Meringue tart",0.2474
I.10.03.008.002,"Milk chocolate",1.5046
A.08.03.003.001,"Milk powder, full fat",0.0395
A.08.02.002.003,"Milkshakes",0.585
I.16.01.014,"Mints",0.0993
I.16.01.030,"Mints, dry",0.0005
A.05.03.004,"Mirabelles",0.0255
A.06.09.005.009,"Spreadable cooked sausages",3.3581
A.01.06.001.011,"Processed oat-based flakes",0.6162
A.12.07.003,"Mixed vegetable juice",0.2356
I.12.03.015,"Mixed fruit nectars",2.0581
I.16.03.003.001,"Mixed herbs and spices",0.0735
A.06.09.005.008,"Mortadella-type sausage",0.0427
A.08.08.120,"Mozzarella",1.7882
A.01.06.002.009,"Muesli plain",0.1665
A.01.07.001.036,"Muffins",0.6491
A.07.01.016,"Mullets",0.0168
A.01.04.004.001,"Multigrain (not only rye-wheat) bread and rolls",2.6718
A.04.02.009,"Mung beans (without pods)",0.0191
I.16.08.010.002,"Mushrooms cooked sauce",0.233
A.07.05.007,"Mussels",0.5214
I.16.08.010.003,"Mustard and related sauces",0.1179
A.04.04.007,"Mustard seeds and similar-",0.0012
A.16.05.002,"Mustard, mild",0.1882
A.16.05.001,"Mustard, sweet",0.0916
A.12.03.007,"Other fruit nectars",0.5347
I.12.03.008,"Nectar, apricot",0.0881
A.12.03.006,"Nectar, banana",0.1324
A.12.03.004,"Nectar, orange",1.0252
A.12.03.003,"Nectar, pear",0.0774
I.04.03.015,"Nut/seeds paste/emulsion/mass",0.0015
A.16.02.027,"Nutmeg seed",0.0363
A.01.03.005.001,"Oat bran",0.0045
A.08.09.004,"Spelt drink",0.2481
A.07.05.002,"Octopuses",0.0079
A.04.04.005,"Sunflower seeds",0.0385
A.11.04.008,"Olive pomace oil",4.5048
A.05.05.001,"Olives, processed",0.3209
I.16.02.034,"Onions and similar-",10.545
I.16.01.013,"Oregano",0.0038
I.20.02.004.001,"Other desserts spoonable",3.0364
A.11.04.010,"Vegetable fats and oils, edible",0.8476
A.07.05.008,"Oysters",0.0935
A.02.07.009,"Palm hearts",0.0289
A.01.07.001.028,"Pancakes",7.0125
A.16.01.005,"Root parsley leaves",0.182
A.02.01.007,"Parsnip roots",0.0723
A.05.06.010,"Passionfruits",0.0321
