Code,Name,Amount
I.08.08.187,"Cottage cheese",0.1056
A.02.03.008,"Courgettes and similar-",1.4375
A.08.01.001.002,"Cow milk",207.491
A.07.04.001,"Freshwater crabs",0.0566
A.08.08.113,"Mascarpone",1.9107
A.08.05.001.006,"Cream powder",0.0164
I.16.08.003.002,"Cream with other ingredients",2.3172
A.08.05.001.003,"Cream, plain",7.1088
A.01.07.001.039,"Cream-cheese strudel",0.056
A.02.05.005,"Cresses",0.0081
A.02.05.002,"Romaines",7.2456
A.01.07.001.012,"Croissant",0.2909
A.01.07.001.041,"Croissant from puff pastry",2.1051
A.01.04.007.002,"Croutons",0.0334
A.02.03.006,"Cucurbits fruiting vegetables",15.6833
A.16.02.017,"Cumin seed",0.0018
A.06.09.001.002,"Teewurst-type sausage",9.5251
A.02.04.006,"Kales and similar-",0.2555
A.05.04.010,"Currants and similar-",0.523
A.16.03.002,"Curry powder",0.0064
A.20.02.004,"Custard",0.0415
A.07.05.003,"Cuttlefishes",0.0326
I.20.02.001.006,"Dairy imitates other than milks",0.9966
A.05.03.003,"Damsons",0.2326
A.06.03.003,"Wapiti elk meat",0.0339
A.16.02.018,"Dill leaves",0.0252
A.01.07.001.017,"Doughnuts-berliner",1.0454
A.10.04.008,"Dragée, sugar coated",0.1059
A.05.07.006,"Dried apples",0.0127
A.05.07.008,"Dried bananas",0.1544
A.05.07.002,"Dried figs",0.2137
I.16.01.018,"Herbs/spices sauces",0.084
A.01.05.005,"Fresh spiced sausages in casing",40.5442
A.02.14.007,"Sun-dried tomatoes",0.1395
A.05.07.001,"Dried vine fruits (raisins etc.)",0.2578
I.01.07.001.063,"Dumpling, sweet",0.0424
A.14.05.005,"Egg liqueur",0.0351
I.13.06,"Isotonic and sport drinks",4.4529
A.02.05.004,"Escaroles and similar-",0.1966
A.16.04.012,"Vegetable savoury extracts",0.0042
I.08.08.193,"Ripened cheese",0.2555
A.01.04.006.003,"Puffs/curls-type extruded snack",0.3204
A.13.02.001,"Tea infusion with added flavouring ingredients",1.8702
A.05.06.002,"Figs",0.0424
I.10.03.005.002,"Gianduja chocolate",3.9261
A.08.08.011,"Firm-ripened cheese with added herbs, spices or other ingredients",0.0341
I.08.08.191,"Firm/semi-hard cheese (gouda and edam type)",9.4067
I.07.01.006.001,"Smoked salmon",1.3431
A.07.02.001,"Fish balls",0.0526
A.07.02.003,"Fish fingers, breaded",3.5588
A.08.01.001.003,"Flavoured milks",13.7999
I.10.01.005.003,"Flavoured sugar",0.1103
A.08.04.001.002,"Whey, sweet",0.933
A.02.07.004,"Florence fennels",0.1611
A.10.04.010,"Foamed sugar products (marshmallows)",0.574
A.06.09.004.005,"Sliceable or firm cooked sausages",6.8756
A.07.04.007,"Freshwater crayfishes",0.081
A.03.01.003,"Fries (finger chips)",4.4419
A.10.01.007,"Fructose",0.0303
A.01.07.001.020,"Fruit cake",1.1841
A.13.02.003,"Rooibos infusion",51.5823
I.20.02.006.001,"Gelatine dessert",0.0178
I.12.02.024,"Fruit juices (100% from named source)",1.7995
I.12.03.016,"Fruit nectars (min. 25-50% fruit as defined in EU legislation)",2.9321
A.01.07.001.023,"Fruit pie-tarts",1.3902
I.16.02.033,"Garlic and similar-",0.1088
A.02.03.007,"Gherkins and similar-",2.9411
A.16.02.022,"Ginger roots",0.0002
A.01.07.001.024,"Gingerbread",0.0848
A.02.07.005,"Globe artichokes",0.0103
A.10.01.008,"Glucose",0.5329
A.19.05.003,"Goulash",0.1187
A.05.06.018,"Pome fruits",0.0573
A.11.04.005,"Grape seed oil",0.0034
A.05.01.001,"Grapefruits and similar-",0.212
A.05.04.001,"Table grapes and similar-",7.5262
A.05.04.029,"Ground cherries (physalis etc.)",0.0984
A.10.04.012,"Gum drops",3.9272
A.07.01.018,"Hakes",0.0623
A.07.01.020,"Halibut",0.2545
A.10.04.001,"Hard candies",1.0852
A.04.03.007,"Primary derivatives from nuts and similar seeds",0.0953
A.09.02.001,"Hen egg mixed whole, dried",0.0034
A.09.01.003,"Hen egg white",0.1476
A.09.02.003,"Hen egg white, dried",0.0034
A.09.01.002,"Hen egg yolk",0.7701
A.09.02.002,"Hen egg yolk, dried",0.0034
A.09.01.001,"Whole eggs",19.4805
A.13.02.004,"Wormwoods infusion leaves",39.4175
A.07.01.001,"Smoked herring",1.2962
I.16.08.005.002,"Hollandaise type sauce",0.6285
A.10.07.003,"Minor honey types",1.7165
A.02.01.005,"Wasabi roots",0.0277
A.13.05.001,"Hot drinks and similar (coffee, cocoa, tea and herbal infusions)",0.1052
I.20.02.001.007,"Ice cream, milk-based",5.7432
A.01.02.009.007,"Indian rice grain",0.0509
A.13.03.007,"Instant coffee (beverage)",0.0019
A.02.12.006,"Instant coffee powder",0.0139
A.05.08.001.001,"Jam, strawberries",2.8762
A.05.08.001.011,"Jam, apricots",0.147
A.05.08.001.003,"Jam, blackberries",0.0184
A.05.08.001.009,"Jam, blueberries",0.1023
A.05.08.001.005,"Jam, currants (black)",0.0551
A.05.08.001.004,"Jam, currants (red)",0.0392
A.05.08.001.018,"Other fruit spreads",0.0509
A.05.08.001.016,"Jam, oranges",0.1527
A.05.08.001.013,"Jam, peaches",0.3009
A.05.08.001.012,"Jam, plums",0.1773
A.05.08.001.002,"Jam, raspberries",0.2751
A.05.08.001.010,"Jam, rose hips",0.2156
A.05.08.001.015,"Jam, sour cherry",0.4945
A.10.04.013,"Soft candies and analogues",1.0746
A.12.01.001,"Other fruit juices",109.7817
A.12.01.016,"Juice, cassis",0.0712
A.12.06.002,"Juice, carrot",0.857
A.12.01.019,"Juice, elderberry",0.0816
A.12.01.006,"Juice, grape",4.5046
A.12.01.003,"Juice, grapefruit",0.1696
A.12.01.021,"Juice, guava",0.0089
A.12.01.010,"Juice, lemon",1.2495
A.12.01.011,"Juice, lime",0.0008
A.12.03.001,"Nectar, mango",0.5235
I.12.04.011,"Multivitamin juices",19.8935
A.12.01.002,"Juice, orange",36.1247
A.12.01.020,"Juice, passion fruit",0.1962
A.12.01.009,"Juice, peach",0.189
A.12.01.012,"Juice, pear",0.2044
A.12.01.004,"Juice, pineapple",0.3933
A.12.01.018,"Juice, red currant",0.6277
A.12.06.001,"Juice, tomato",0.3717
A.16.02.024,"Juniper berry",0.001
A.05.06.006,"Kaki",0.3944
A.08.06.007,"Kefir",0.1696
A.05.06.008,"Sweetsops",3.0459
A.02.04.007,"Kohlrabies",1.4601
A.01.07.001.026,"Kringles",0.4158
A.08.07.001,"Lactose",0.0268
A.02.05.001,"Lamb's lettuces",0.5722
A.16.01.010,"Laurel",0.005
A.01.07.001.044,"Lebkuchen",1.0521
A.02.07.006,"Leeks and similar-",1.051
A.16.09.005,"Lemon essence",0
A.05.01.003,"Lemons and similar-",0.0789
A.04.02.002,"Lentils (without pods)",0.9086
A.05.04.026,"Lingonberries and similar",0.0112
A.11.04.006,"Linseed oil",0.0162
A.04.04.001,"Linseeds",0.0075
I.14.05.001.002,"Liquid drink bases (including concentrates and home-made preparations)",0.2613
A.10.04.011,"Liquorice candies",0.3244
A.05.06.009,"Litchis",0.4241
A.06.10.005,"Liver cheese",0.6903
I.06.09.003.006,"Liver-type sausage",1.5885
I.16.01.016,"Lovage leaves",0.0106
A.04.03.008,"Macadamias",0.0212
A.07.01.013,"Smoked mackerel",0.1272
A.01.02.003,"Maize grain",0.0764
A.11.04.003,"Maize oil, edible",0.1121
A.01.03.004.003,"Starches",1.0927
A.16.04.014,"Malt extract",0.0237
A.05.01.005,"Tangerines",6.7054
A.16.07.004,"Mango chutney",0.0583
A.05.06.016,"Mangoes",0.4541
I.16.01.012,"Marjoram",0.0352
A.10.04.003,"Marzipan raw mass",0.4276
A.03.01.005,"Mashed potato powder",0.3703
A.16.06.005,"Mayonnaise, hollandaise and related sauces",0.659
A.06.10.003,"Meat in aspic",0.123
A.06.10.001,"Meat loaf",0.3232
A.19.10.004,"Meat/poultry soup, dry",7.2101
I.19.05.008,"Meat-based canapé",0.0466
A.02.03.009,"Melons and similar-",1.1249
I.01.07.001.075,"Meringue",0.0595
A.06.09.002.002,"Mettwurst-type sausage",1.154
I.10.03.008.002,"Milk chocolate",1.1607
A.08.03.003.001,"Milk powder, full fat",0.0337
A.08.03.003.003,"Milk powder, skimmed",0.0492
A.08.07.002,"Milk protein",0.0179
A.08.02.002.003,"Milkshakes",1.6102
A.18.02.002,"Zinc",0.0335
I.16.01.014,"Mints",0.0007
A.06.09.005.009,"Spreadable cooked sausages",4.0086
A.01.06.005.001,"Processed and mixed breakfast cereals",4.1993
A.01.06.002.001,"Mixed cereal-based snacks",0.0522
A.12.07.003,"Mixed vegetable juice",12.8569
I.12.03.015,"Mixed fruit nectars",10.3087
A.01.04.003.001,"Mixed wheat and rye bread and rolls",28.7314
A.10.06.001,"Molasses",0.0708
A.02.16.005,"Morels",0.0037
A.06.09.005.008,"Mortadella-type sausage",1.9041
A.08.08.120,"Mozzarella",2.5843
A.01.07.001.036,"Muffins",0.7057
A.01.04.004.001,"Multigrain (not only rye-wheat) bread and rolls",6.6675
A.01.04.004.002,"Multigrain bread and rolls",0.2036
A.07.05.007,"Mussels",0.106
I.16.08.010.003,"Mustard and related sauces",0.1594
A.16.05.003,"Mustard, hot",0.0013
A.16.05.002,"Mustard, mild",0.076
A.16.05.001,"Mustard, sweet",0.0068
A.12.03.007,"Other fruit nectars",6.0995
A.12.03.006,"Nectar, banana",1.145
A.12.03.004,"Nectar, orange",3.8592
A.12.03.002,"Nectar, peach",0.2969
A.12.03.005,"Nectar, pineapple",0.4877
A.10.04.014,"White nougat mass",0.0229
I.04.03.015,"Nut/seeds paste/emulsion/mass",0.017
A.16.02.027,"Nutmeg seed",0.0126
A.01.06.001.011,"Processed oat-based flakes",1.5046
A.11.04.008,"Olive pomace oil",1.5671
A.05.05.001,"Olives, processed",0.4241
I.16.02.034,"Onions and similar-",5.5169
I.16.01.013,"Oregano",0.0596
I.20.02.004.001,"Other desserts spoonable",2.6234
A.11.04.009,"Palm kernel oil, edible",0.0094
A.11.04.010,"Vegetable fats and oils, edible",1.686
A.05.06.017,"Papayas",0.0424
A.16.01.005,"Root parsley leaves",0.2595
A.02.01.006,"Parsley roots",0.049
A.02.01.007,"Parsnip roots",0.0117
A.01.05.013,"Pasta wholemeal",1.1848
I.01.05.016,"Pasta, plain (not stuffed), cooked",0.9659
A.01.05.006,"Pasta-like products",0.3535
I.01.07.001.051,"Shortcrust (pies -tarts)",0.4426
A.06.11.002,"Pate, goose liver",0.017
A.11.03.001,"Peanut butter",0.1147
A.11.04.011,"Peanut oil, edible",0.0104
A.04.02.021,"Peanuts and similar-",0.8229
A.05.02.002,"Pears",5.199
A.02.06.002,"Podded pea (young pods)",0.078
A.04.01.002,"Peas shoots and sprouts",2.3132
A.16.02.028,"Sichuan pepper fruit",0.0923
A.06.09.006.005,"Spalla cotta",0.0096
A.02.03.002,"Sweet peppers",7.5681
A.07.01.010,"Perch",0.4928
A.02.14.005,"Processed or preserved vegetables and similar",0.0385
A.16.03.006,"Pickling spice",0.0099
A.11.01.004,"Pork lard",0.4723
A.06.01.003,"Porchetta",12.5608
A.04.03.010,"Pine nut kernels and similar-",0.0024
A.05.06.021,"Pineapples",1.5517
A.04.03.011,"Pistachios",0.19
A.01.04.005.007,"Pita bread",1.6292
A.07.01.021,"Pleurotus",0.3212
A.05.03.002,"Plums and similar-",1.7393
A.20.01.005,"Popcorn kernels",0.7074
A.03.01.007,"Potato crisps or sticks",2.7252
A.03.01.011,"Potato flour",0.1828
A.03.01.010,"Potato starch",0.0025
A.20.01.001,"Potato starch-based snacks",0.0424
A.03.01.002,"Starchy root and tuber products",55.2759
A.10.03.010,"Pralines",0.3974
I.20.02.003.002,"Starchy pudding",1.9219
A.20.01.006,"Pretzels",7.7333
A.08.08.003,"Processed cheese, sliceable",0.2006
A.08.08.004,"Processed cheese, spreadable",1.23
A.01.06.001.002,"Processed mixed cereal-based flakes",4.7515
A.01.06.001.016,"Rice rolled grains",0.1696
I.02.14.013,"Processed tomato products",0.0551
A.01.06.001.020,"Processed wheat-based flakes",2.4843
A.01.07.001.029,"Profiterole",0.1081
A.04.04.009,"Pumpkin seeds",0.0647
A.02.03.010,"Pumpkins and similar-",0.7798
A.08.08.001,"Quark",5.3189
A.01.07.001.022,"Quinces",0.0064
A.02.01.008,"Small radishes",0.596
A.11.04.013,"Rape seed oil, edible",0.2579
A.05.04.006,"Raspberries and similar-",1.0365
A.02.04.004,"White cabbage",2.4937
A.02.07.007,"Rhubarbs",0.2309
A.01.03.006.001,"Rice flour",0.0226
A.01.02.009.003,"Rice grain",12.1039
A.01.03.006.004,"Rice starch",0.004
A.01.06.004.004,"Rice, popped",0.1949
A.08.08.144,"Ricotta",0.0831
A.06.03.004,"Roe deer meat",0.2227
A.02.05.007,"Roman rocket and similar-",0.098
I.16.01.023,"Rosemary, dry",0.0024
A.01.07.001.035,"Sponge cake dough (génoise)",0.0698
A.14.06.005,"Rum",0.0093
A.01.04.005.005,"Rusk, refined flour",0.3633
A.01.04.002.001,"Rye bread and rolls, refined flour",0.8927
A.01.04.002.003,"Rye bread and rolls, wholemeal",3.028
A.01.04.005.001,"Rye crisp bread",0.1488
A.01.03.002.002,"Rye flour",0.1162
A.01.03.002.004,"Rye flour, wholemeal",0.005
A.11.04.014,"Safflower seed oil, edible",0.1111
A.16.02.029,"Saffron and similar-",0.0001
A.16.01.006,"Sage",0.0003
A.16.06.001,"Salad dressing",0.0252
A.06.09.006.001,"Salami-type sausage",7.618
A.16.04.001,"Salt",0.5804
A.16.04.006,"Salt, flavoured",0.008
A.16.04.003,"Salt, iodised",0.2192
A.16.04.005,"Salt, iodised and fluoridated",0.0087
A.07.01.003,"Sardines and sardine-type fishes",0.0848
A.16.05.011,"Teriyaki sauce",0.056
A.02.14.006,"Sauerkraut",1.0693
A.16.04.007,"Sea salt",0.0079
A.02.14.011,"Sesame paste (tahini) (sesamus indicum)",0.0105
A.11.04.015,"Sesame seed oil, edible",0.0022
A.04.04.004,"Sesame seeds",0.0099
A.02.02.003,"Shallots and similar-",0.115
A.06.01.004,"Lamb fresh meat",0.2801
A.14.03.002,"Sherry",0.0184
A.11.03.004,"Shortening and similar baking fats",0.2316
A.07.04.005,"White shrimp",0.0951
A.02.02.002,"Welsh onions",0.1873
I.08.08.189,"Soft-ripened cheese with natural rind and other soft-ripened cheeses",1.1546
A.13.01.002.010,"Soft drinks with minor amounts of fruits or flavours",30.8179
A.13.01.002.011,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",107.7873
I.08.08.190,"Soft-ripened cheese with white and blue mould (cambozola type)",0.017
