Code,Name,Amount
A.01.07.001.012,"Croissant",2.8444
A.01.07.001.013,"Puff-pastry croissant, filled with chocolate",2.4125
A.01.07.001.014,"Croissant, filled with cream",1.0882
A.01.07.001.015,"Croissant, filled with jam",0.9563
A.01.04.007.002,"Croutons",0.3229
A.02.03.006,"Cucurbits fruiting vegetables",3.317
A.16.02.017,"Cumin seed",0.0041
A.06.08.011,"Tiroler speck",0.7899
A.16.03.002,"Curry powder",0.0123
A.20.02.004,"Custard",0.1748
A.02.05.002,"Romaines",25.7175
A.07.05.003,"Cuttlefishes",0.797
I.20.02.001.008,"Dairy snacks",1.2817
A.18.05,"Formulations containing special fatty acids (e.g. Omega-3, essential fatty acids)",0.0188
A.01.07.001.017,"Doughnuts-berliner",0.3598
A.05.07.007,"Dried dates",0.0758
A.05.07.002,"Dried figs",0.0441
A.01.05.005,"Fresh spiced sausages in casing",25.3837
A.05.07.003,"Dried prunes",0.1653
A.02.14.007,"Sun-dried tomatoes",0.1264
A.05.07.001,"Dried vine fruits (raisins etc.)",0.1034
A.06.02.003,"Duck fresh meat",0.1702
A.01.07.001.045,"Durum wheat grain",0.0079
I.13.06,"Isotonic and sport drinks",1.7769
A.18.02.009,"Enzyme-based formulations",0.0014
A.02.05.004,"Escaroles and similar-",1.5246
I.08.08.193,"Ripened cheese",8.7723
A.01.04.006.003,"Puffs/curls-type extruded snack",0.1047
A.16.02.019,"Fennel seed",0.0019
I.19.04.002.003,"Meat imitates",0.0517
A.18.02.006,"Fiber supplements",0.0055
A.05.06.002,"Figs",1.6157
A.19.01.003.005,"Pasta, filled, cooked",6.4903
I.10.03.005.002,"Gianduja chocolate",0.7832
A.08.08.011,"Firm-ripened cheese with added herbs, spices or other ingredients",0.655
I.08.08.191,"Firm/semi-hard cheese (gouda and edam type)",4.2406
A.07.02.003,"Fish fingers, breaded",1.3417
I.07.02.004.003,"Fish paste or surimi",0.2234
I.07.02.004.002,"Fish roe",0.0098
I.01.07.001.064,"Flan tart",0.062
A.08.01.001.003,"Flavoured milks",0.1791
A.02.07.004,"Florence fennels",7.7614
A.06.09.004.005,"Sliceable or firm cooked sausages",1.2046
A.02.06.001,"Slicing bean (young pods)",6.0148
I.08.08.188,"Fresh uncured cheese",0.7536
A.19.08.006,"Hardened egg products",3.5482
A.01.07.001.020,"Fruit cake",1.7756
I.12.02.024,"Fruit juices (100% from named source)",3.562
I.14.05.001.003,"Marsala",0.6376
I.12.03.016,"Fruit nectars (min. 25-50% fruit as defined in EU legislation)",3.1336
A.17.06.005,"Fruit or fruit-vegetable puree",0.2824
A.01.07.001.023,"Fruit pie-tarts",0.7218
I.08.02.003,"Fruit smoothies",1.2672
I.16.02.033,"Garlic and similar-",0.3406
A.16.02.022,"Ginger roots",0.0174
A.02.10.013,"Ginseng infusion roots",0.0194
A.02.07.005,"Globe artichokes",2.0496
A.01.04.001.018,"Gluten free bread",0.0193
A.01.04.001.005,"Gluten free bread, brown",0.0241
A.01.04.001.002,"Gluten free bread, white",0.0138
A.06.01.005,"Goat fresh meat",0.7708
A.08.01.005,"Goat milk",0.4077
A.05.04.006,"Raspberries and similar-",0.1515
A.06.02.004,"Goose fresh meat",0.018
A.05.06.018,"Pome fruits",0.6786
A.20.02.007,"Granita",0.4408
A.05.01.001,"Grapefruits and similar-",0.3306
A.06.02.006,"Guinea-fowl fresh meat",0.0557
A.06.08.002,"Ham, beef",1.8067
I.08.08.192,"Other processed cheese",0.9004
A.04.03.007,"Primary derivatives from nuts and similar seeds",1.3871
A.02.04.004,"White cabbage",2.4772
A.09.01.003,"Hen egg white",0.2703
A.09.01.002,"Hen egg yolk",0.0402
A.14.05.002,"Other liqueurs",0.7478
A.13.02.004,"Wormwoods infusion leaves",21.0541
I.16.01.018,"Herbs/spices sauces",0.0041
A.06.01.006,"Horse meat, dried",0.3427
I.20.02.001.007,"Ice cream, milk-based",8.3533
I.20.02.002.003,"Ice cream, milk-imitate based",0.0854
A.08.09.002,"Imitation cream",0.1714
A.02.12.007,"Instant coffee powder, decaffeinated",0.0149
A.06.09.006.001,"Salami-type sausage",7.5768
A.05.08.001.001,"Jam, strawberries",4.5661
A.10.04.013,"Soft candies and analogues",0.2131
A.12.01.001,"Other fruit juices",0.2204
A.12.01.013,"Juice, apricot",0.1653
A.12.01.006,"Juice, grape",0.2204
A.12.01.003,"Juice, grapefruit",0.6336
A.12.01.010,"Juice, lemon",2.0127
A.12.01.002,"Juice, orange",12.374
A.12.01.009,"Juice, peach",0.1963
A.12.01.012,"Juice, pear",0.1377
A.12.01.004,"Juice, pineapple",1.8278
A.12.01.008,"Juice, pomegranate",0.3306
A.12.06.001,"Juice, tomato",0.2853
A.05.06.006,"Kaki",4.6694
A.08.06.007,"Kefir",1.2156
A.05.06.008,"Sweetsops",7.2897
A.05.06.004,"Kumquats and similar-",0.1033
A.06.01.004,"Lamb fresh meat",2.1084
A.02.07.006,"Leeks and similar-",0.4448
A.05.01.003,"Lemons and similar-",1.2342
I.04.02.023,"Lentils (dry)",1.663
A.04.04.001,"Linseeds",0.0555
I.14.05.001.001,"Liqueurs",0.0519
I.14.05.001.002,"Liquid drink bases (including concentrates and home-made preparations)",0.0579
A.10.04.011,"Liquorice candies",0.1268
A.06.10.005,"Liver cheese",0.0441
A.05.02.005,"Loquats",0.916
A.07.01.013,"Smoked mackerel",0.8456
A.01.03.004.001,"Maize, milled",0.4967
A.11.04.003,"Maize oil, edible",0.0424
A.05.06.016,"Mangoes",0.1377
A.07.01.001,"Smoked herring",0.3842
A.06.01.003,"Porchetta",12.2659
A.02.14.008,"Mashed vegetable puree",1.2282
A.16.06.005,"Mayonnaise, hollandaise and related sauces",0.7359
A.16.04.013,"Meat extract",0.0447
A.02.03.009,"Melons and similar-",11.8983
I.01.07.001.075,"Meringue",0.0138
I.10.03.008.002,"Milk chocolate",0.3974
A.08.09.004,"Spelt drink",3.6123
A.08.03.003.003,"Milk powder, skimmed",0.0564
A.18.02.002,"Zinc",0.1103
I.16.01.014,"Mints",0.0096
A.01.06.005.001,"Processed and mixed breakfast cereals",1.0277
A.02.13.008,"Mixed coffee imitates",0.0293
A.05.09.001,"Mixed dried fruits",0.1515
A.12.07.003,"Mixed vegetable juice",1.0744
I.12.03.015,"Mixed fruit nectars",0.1102
I.16.03.003.001,"Mixed herbs and spices",0.0258
A.01.04.003.001,"Mixed wheat and rye bread and rolls",1.4876
A.01.02.010.001,"Mixture of grains",0.4848
A.06.09.005.008,"Mortadella-type sausage",1.3478
A.08.08.120,"Mozzarella",24.5918
A.01.07.001.036,"Muffins",0.0585
A.07.01.016,"Mullets",0.4016
A.01.04.004.001,"Multigrain (not only rye-wheat) bread and rolls",2.3865
A.01.04.004.002,"Multigrain bread and rolls",0.0362
I.12.04.011,"Multivitamin juices",5.0012
I.16.08.010.003,"Mustard and related sauces",0.0261
I.12.03.008,"Nectar, apricot",0.1377
A.12.03.004,"Nectar, orange",0.9118
A.12.03.002,"Nectar, peach",0.2244
A.12.03.003,"Nectar, pear",0.1102
A.03.01.001,"New potatoes",0.0877
A.13.02.001,"Tea infusion with added flavouring ingredients",22.0386
A.10.04.014,"White nougat mass",0.0482
I.04.03.015,"Nut/seeds paste/emulsion/mass",0.0551
A.18.05.002,"Nutritionally incomplete formulae",0.0771
A.01.02.008,"Oat popped",0.0126
A.07.05.002,"Octopuses",2.1173
A.04.04.005,"Sunflower seeds",0.1598
A.11.04.008,"Olive pomace oil",27.926
A.05.05.001,"Olives, processed",1.4488
A.02.02.002,"Welsh onions",5.7251
A.05.01.002,"Shaddocks",20.2928
I.16.01.013,"Oregano",0.0347
A.01.07.001.028,"Pancakes",0.6061
A.16.01.005,"Root parsley leaves",0.4299
A.17.05.004,"Pasta for children (dry, to be cooked)",0.0286
A.01.05.013,"Pasta wholemeal",1.8766
A.01.05.015,"Pasta, gluten free",0.1764
A.01.05.006,"Pasta-like products",0.152
I.01.07.001.051,"Shortcrust (pies -tarts)",4.8675
A.11.03.001,"Peanut butter",0.26
A.11.04.011,"Peanut oil, edible",0.0613
A.04.02.021,"Peanuts and similar-",0.5886
A.05.02.002,"Pears",7.8374
A.16.02.028,"Sichuan pepper fruit",0.0342
A.07.01.010,"Perch",0.1057
I.16.08.006.002,"Pesto",0.2884
A.02.14.005,"Processed or preserved vegetables and similar",0.4043
A.06.06.003,"Pig stomach",0.1666
A.04.03.010,"Pine nut kernels and similar-",0.1068
A.05.06.021,"Pineapples",1.6747
A.04.03.011,"Pistachios",0.1812
I.19.01.002.009,"Yeast bread – pizza dough",27.5026
A.07.01.021,"Pleurotus",0.1377
