Code,Name,Amount
A.20.01.002,"Corn chips",0.2257
A.10.06.004,"Corn syrup",0.0024
I.08.08.187,"Cottage cheese",0.3171
A.02.03.008,"Courgettes and similar-",0.8822
A.01.03.001.007,"Couscous",0.2244
A.08.01.001.002,"Cow milk",210.9317
A.05.04.009,"Cranberries and similar-",0.0706
A.01.07.001.008,"Spice cakes",2.8057
A.08.08.113,"Mascarpone",0.0072
A.14.05.007,"Cream liqueur",0.2117
I.16.08.003.002,"Cream with other ingredients",0.2831
A.08.05.001.003,"Cream, plain",1.8331
I.16.08.003.009,"Tzatziki",0.0012
A.08.05.004.005,"Créme fraiche and other mild variants of sour cream",0.2141
A.01.04.005.001,"Rye crisp bread",0.4927
A.01.04.005.003,"Wheat crisp bread",0.1234
A.02.05.002,"Romaines",6.4958
A.01.07.001.012,"Croissant",0.7231
A.01.07.001.013,"Puff-pastry croissant, filled with chocolate",0.2072
A.01.07.001.014,"Croissant, filled with cream",0.0942
A.02.03.006,"Cucurbits fruiting vegetables",2.0184
A.16.02.017,"Cumin seed",0.0308
A.02.04.006,"Kales and similar-",0.0314
A.05.04.010,"Currants and similar-",0.0333
A.16.03.002,"Curry powder",0.0701
A.16.05.012,"Curry sauce",3.69
A.20.02.004,"Custard",1.3432
A.05.06.001,"Dates",0.0068
I.10.04.015.004,"Dessert halva",0.0406
A.16.02.018,"Dill leaves",0.0002
A.01.07.001.017,"Doughnuts-berliner",0.7681
A.10.04.008,"Dragée, sugar coated",0.156
A.05.07.004,"Dried apricots",0.0876
A.05.07.008,"Dried bananas",0.0053
A.05.07.007,"Dried dates",0.1283
I.16.01.018,"Herbs/spices sauces",0.4598
A.01.05.005,"Fresh spiced sausages in casing",0.0136
A.05.07.005,"Dried pears",0.002
A.05.07.003,"Dried prunes",0.1932
A.02.14.007,"Sun-dried tomatoes",0.2645
A.05.07.001,"Dried vine fruits (raisins etc.)",0.6962
A.15,"Water based beverages",543.1171
A.09.01.005,"Duck eggs",0.0412
A.06.02.003,"Duck fresh meat",0.8728
A.01.07.001.018,"Éclair",0.237
A.07.04.001,"Freshwater crabs",0.2074
I.13.06,"Isotonic and sport drinks",17.7567
A.08.03.001,"Evaporated milk (liquid, unsweetened)",0.0583
I.08.08.193,"Ripened cheese",0.1383
A.16.02.019,"Fennel seed",0.0001
A.13.02.001,"Tea infusion with added flavouring ingredients",405.8034
A.18.02.006,"Fiber supplements",0.0098
A.05.06.002,"Figs",0.0053
I.10.03.005.002,"Gianduja chocolate",1.1207
A.08.08.011,"Firm-ripened cheese with added herbs, spices or other ingredients",0.0455
I.08.08.191,"Firm/semi-hard cheese (gouda and edam type)",0.4899
I.19.06.003.001,"Fish and vegetables meal",0.0436
A.07.02.001,"Fish balls",0.0152
I.07.02.004.003,"Fish paste or surimi",0.0798
I.07.02.005.002,"Fish pâté",0.0108
I.01.07.001.064,"Flan tart",0.2333
A.08.01.001.003,"Flavoured milks",0.3964
A.08.05.003.006,"Flavoured sour cream",0.1232
A.02.07.004,"Florence fennels",0.0186
A.10.04.010,"Foamed sugar products (marshmallows)",0.082
A.18.05,"Formulations containing special fatty acids (e.g. Omega-3, essential fatty acids)",0.3525
A.06.09.004.005,"Sliceable or firm cooked sausages",0.3172
A.06.09.001.002,"Teewurst-type sausage",1.1614
A.19.01.003.005,"Pasta, filled, cooked",0.1272
A.19.08.006,"Hardened egg products",5.5049
A.03.01.003,"Fries (finger chips)",32.9531
A.01.07.001.020,"Fruit cake",3.5512
A.05.09.007.004,"Fruit compote, apricot",0.0216
A.05.09.007.003,"Fruit compote, pear",0.0202
A.05.09.007.005,"Fruit compote, plum",0.0604
I.12.02.024,"Fruit juices (100% from named source)",2.1478
I.14.05.001.003,"Marsala",0.0096
A.01.07.001.023,"Fruit pie-tarts",4.0657
A.05.09.002,"Fruit salad",1.2785
A.05.09.005,"Fruiting vegetables",0.1605
I.08.02.003,"Fruit smoothies",4.5067
A.10.04.007,"Fudge",0.0094
I.16.02.033,"Garlic and similar-",0.3938
I.20.02.006.001,"Gelatine dessert",0.5981
A.11.01.003,"Ghee",0.0626
A.16.02.022,"Ginger roots",0.0857
A.01.07.001.024,"Gingerbread",0.0952
A.02.07.005,"Globe artichokes",0.0207
A.10.01.008,"Glucose",0.0014
A.01.04.001.005,"Gluten free bread, brown",0.0226
A.01.04.001.002,"Gluten free bread, white",1.168
A.08.01.005,"Goat milk",0.1305
A.05.04.006,"Raspberries and similar-",0.4349
A.05.04.011,"Gooseberries and similar-",0.0051
A.01.07.001.025,"Gougere",0.0512
A.05.06.018,"Pome fruits",0.0699
A.11.04.005,"Grape seed oil",0.0039
A.05.01.001,"Grapefruits and similar-",0.6341
A.16.04.011,"Stock cubes or granulate, meat",0.3751
