Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2743,Cream,2020,2020,kg,6.98,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2743,Cream,2021,2021,kg,6.88,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2017,2017,kg,3.22,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2018,2018,kg,3.07,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2019,2019,kg,2.54,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2020,2020,kg,2.77,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2021,2021,kg,3.44,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2781,"Fish, Body Oil",2017,2017,kg,0.31,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2781,"Fish, Body Oil",2018,2018,kg,0.31,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2781,"Fish, Body Oil",2019,2019,kg,0.27,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2781,"Fish, Body Oil",2020,2020,kg,0.27,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2781,"Fish, Body Oil",2021,2021,kg,0.27,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2017,2017,kg,0.02,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2018,2018,kg,0.06,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2019,2019,kg,0.06,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2020,2020,kg,0.06,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2021,2021,kg,0.06,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2017,2017,kg,12.59,E,Estimated value
