SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,MA,0.192,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,ES,0.603,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.082,0.07,0
01640,Cocoa beans,Stimulants,GH,0.245,0.07,0
01640,Cocoa beans,Stimulants,CI,0.497,0.07,0
01640,Cocoa beans,Stimulants,RoW,0.258,0.07,0
01460,"Coconut, in shell",Nuts,PF,0.107,0.06,0
01460,"Coconut, in shell",Nuts,ID,0.144,0.06,0
01460,"Coconut, in shell",Nuts,PH,0.638,0.06,0
01460,"Coconut, in shell",Nuts,RoW,0.112,0.06,0
01610,"Coffee, green",Stimulants,BR,0.336,0.07,0
01610,"Coffee, green",Stimulants,RoW,0.664,0.07,0
01355.02,Cranberries,Berries,RoW,1,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,FR,0.651,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,ES,0.238,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.112,0.07,0
01351.01,Currants,Berries,FR,0.949,0.07,0
01351.01,Currants,Berries,RoW,0.051,0.07,0
01314,Dates,Fruits,DZ,0.334,0.07,0
01314,Dates,Fruits,TN,0.554,0.07,0
01314,Dates,Fruits,RoW,0.112,0.07,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,FR,0.879,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.121,0.24,0
01233,Eggplants (aubergines),Vegetables,FR,0.35,0.07,0
01233,Eggplants (aubergines),Vegetables,ES,0.589,0.07,0
01233,Eggplants (aubergines),Vegetables,RoW,0.061,0.07,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,RoW,1,0.017,0
01315,Figs,Fruits,TR,0.784,0.07,0
01315,Figs,Fruits,RoW,0.216,0.07,0
01193,Fonio,Cereals,RoW,1,0.045,0
21170.02,"game meat, fresh, chilled or frozen",Meat,DE,0.116,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,NZ,0.226,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,ES,0.387,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,GB,0.103,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,RoW,0.167,0.057,0
01351.02,Gooseberries,Berries,RoW,1,0.07,0
01330,Grapes,Fruits,FR,0.882,0.07,0
01330,Grapes,Fruits,RoW,0.118,0.07,0
01290.01,Green corn (maize),Vegetables,FR,0.902,0.07,0
01290.01,Green corn (maize),Vegetables,RoW,0.098,0.07,0
01252,Green garlic,Vegetables,FR,0.474,0.07,0
01252,Green garlic,Vegetables,ES,0.317,0.07,0
01252,Green garlic,Vegetables,RoW,0.209,0.07,0
0142,"Groundnuts, excluding shelled",Nuts,ES,0.274,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,US,0.584,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,RoW,0.142,0.06,0
01374,"Hazelnuts, in shell",Nuts,FR,0.285,0.06,0
01374,"Hazelnuts, in shell",Nuts,TR,0.581,0.06,0
01374,"Hazelnuts, in shell",Nuts,RoW,0.134,0.06,0
0231,"hen eggs in shell, fresh",Dairy,FR,0.919,0.017,0
0231,"hen eggs in shell, fresh",Dairy,RoW,0.081,0.017,0
21118.01,"horse meat, fresh or chilled",Meat,AR,0.101,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,CA,0.151,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,FR,0.277,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,MX,0.141,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,RoW,0.329,0.057,0
01352,Kiwi fruit,Fruits,FR,0.526,0.07,0
01352,Kiwi fruit,Fruits,IT,0.203,0.07,0
01352,Kiwi fruit,Fruits,NZ,0.159,0.07,0
01352,Kiwi fruit,Fruits,RoW,0.112,0.07,0
01379.02,Kola nuts,Nuts,CI,0.948,0.06,0
