"SUA Code","SUA Name","Category","Exact match with Kastner naming?","Kastner  Name"
"01371","Almonds, in shell","Nuts","No","Almonds, with shell"
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Vegetables","No","Anise, badian, fennel, coriander"
"01341","Apples","Fruits","Yes",
"01343","Apricots","Fruits","Yes",
"01379.01","Areca nuts","Nuts","Yes",
"01216","Artichokes","Vegetables","Yes",
"01211","Asparagus","Vegetables","Yes",
"01311","Avocados","Vegetables","Yes",
"01312","Bananas","Fruits","Yes",
"0115","Barley, average","Cereals, incl feed","No","Barley"
"01701","Beans, dry","Pulses","Yes",
"01355.01","Blueberries","Berries","Yes",
"01377","Brazil nuts, in shell","Nuts","No","Almonds, with shell"
"01702","Broad beans and horse beans, dry","Pulses, incl feed","No","Broad beans, horse beans, dry"
"01243","Broad beans and horse beans, green","Vegetables","No","Broad beans, horse beans, dry"
"01192","Buckwheat","Seeds","Yes",
"01212","Cabbages","Vegetables","No","Cabbages and other brassicas"
"01195","Canary seed","Nuts","Yes",
"01229","Cantaloupes and other melons","Fruits","No","Melons, other (inc.cantaloupes)"
"01251","Carrots and turnips","Vegetables","Yes",
"01372","Cashew nuts, in shell","Nuts","No","Cashew nuts, with shell"
"01520.01","Cassava, fresh","Vegetables","No","Cassava"
"01213","Cauliflowers and broccoli, average","Vegetables","No","Melons, other (inc.cantaloupes)"
"01199.90","Cereals n.e.c.","Cereals","No","Grain, mixed"
"01344.02","Cherries","Berries","Yes",
"01373","Chestnuts, in shell","Nuts","No","Chestnut"
"01703","Chick peas, dry","Pulses","No","Chick peas"
"01231","chillies and peppers, green (capsicum spp. and pimenta spp.)","Spices","No","Chillies and peppers, green"
"01652","Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw","Spices","No","Chillies and peppers, green"
"01640","Cocoa beans","Stimulants","No","Cocoa, beans"
"01460","Coconut, in shell","Nuts","No","Coconuts"
"01610","Coffee, green","Stimulants","Yes",
"01355.02","Cranberries","Berries","Yes",
"01232","Cucumbers and gherkins, averrage","Vegetables","No","Cucumbers and gherkins"
"01351.01","Currants","Berries","Yes",
"01314","Dates","Fruits","Yes",
"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Roots","No","Roots and tubers nes"
"01233","Eggplants (aubergines)","Vegetables","Yes",
"0232","eggs from other birds in shell, fresh, n.e.c.","Dairy","No","Eggs, other bird, in shell"
"01315","Figs","Fruits","Yes",
"01193","Fonio","Cereals","Yes",
"21170.02","game meat, fresh, chilled or frozen","Meat","No","Meat, game"
"01351.02","Gooseberries","Berries","Yes",
"01330","Grapes","Fruits","Yes",
"01290.01","Green corn (maize)","Vegetables","No","Maize, green"
"01252","Green garlic","Vegetables","No","Garlic"
"0142","Groundnuts, excluding shelled","Nuts","No","Almonds, with shell"
"01374","Hazelnuts, in shell","Nuts","No","Hazelnuts, with shell"
"0231","hen eggs in shell, fresh","Dairy","No","Eggs, hen, in shell"
"21118.01","horse meat, fresh or chilled","Meat","No","Meat, horse"
"01352","Kiwi fruit","Fruits","Yes",
"01379.02","Kola nuts","Nuts","Yes",
"01254","Leeks and other alliaceous vegetables","Vegetables","No","Leeks, other alliaceous vegetables"
"01322","Lemons and limes","Fruits","Yes",
"01704","Lentils, dry (organic)","Pulses","No","Lentils"
"01214","Lettuce and chicory","Vegetables","Yes",
"01441","Linseed","Seeds","Yes",
"01709.02","Lupins","Pulses","No","Broad beans, horse beans, dry"
"0112","Maize (corn)","Cereals, incl feed","No","Maize"
"01316","Mangoes, guavas and mangosteens","Fruits","No","Mangoes, mangosteens, guavas"
"01630","Maté leaves","Stimulants","No","Maté"
"21118.02","meat of asses, fresh or chilled","Meat","No","Meat, ass"
"21111.01","meat of cattle with the bone, fresh or chilled","Meat","No","Meat, cattle"
"21121","meat of chickens, fresh or chilled","Meat","No","Meat, chicken"
"21122","meat of ducks, fresh or chilled","Meat","No","Meat, duck"
"21123","meat of geese, fresh or chilled","Meat","No","Meat, goose and guinea fowl"
"21116","meat of goat, fresh or chilled","Meat","No","Meat, goat"
"21114","meat of rabbits and hares, fresh or chilled","Meat","No","Meat, rabbit"
"21115","meat of sheep, fresh or chilled","Meat","No","Meat, sheep"
"21124","meat of turkeys, fresh or chilled","Meat","No","Meat, turkey"
"0118","Millet","Cereals","Yes",
"01199.02","Mixed grain","Cereals","No","Grain, mixed"
"01270","Mushrooms and truffles","Mushrooms","Yes",
"01442","Mustard seed","Seeds","Yes",
"02910","natural honey","Other","No","Honey, natural"
"01653","nutmeg, mace, cardamoms, raw","Spices","No","Nutmeg, mace and cardamoms"
"0117","Oats","Cereals, incl feed","Yes",
"01491.01","Oil palm fruit","Oil crops, tree","No","Oilseeds nes"
"01450","Olives","Oil crops, tree","Yes",
"01253.02","Onions and shallots, dry (excluding dehydrated)","Vegetables","No","Onions, dry"
"01323","Oranges","Fruits","Yes",
"01241.90","Other beans, green","Vegetables","No","Beans, green"
"01359.90","Other fruits, n.e.c.","Fruits","No","Fruit, fresh nes"
"01449.90","Other oil seeds, n.e.c.","Oil crops","No","Oilseeds nes"
"01709.90","Other pulses n.e.c.","Pulses","No","Beans, dry"
"01699","Other stimulant, spice and aromatic crops, n.e.c.","Stimulants","No","Spices nes"
"01290.90","Other vegetables, fresh n.e.c.","Vegetables","No","Vegetables, fresh nes"
"01317","Papayas","Fruits","Yes",
"01345","Peaches and nectarines","Fruits","Yes",
"01342.01","Pears","Fruits","Yes",
"01705","Peas, dry","Pulses, incl feed","Yes",
"01242","Peas, green","Vegetables","Yes",
"01651","Pepper (Piper spp.), raw","Vegetables","No","Pepper (piper spp.)"
"01359.01","Persimmons","Fruits","Yes",
"21181","pig meat, cuts, salted, dried or smoked (bacon and ham)","Meat","No","Meat, pig"
"01318","Pineapples","Fruits","Yes",
"01375","pistachios, in shell","Nuts","No","Pistachios"
"01313","Plantains and others","Fruits","Yes",
"01346","Plums and sloes","Fruits","Yes",
"01321","Pomelos and grapefruits","Fruits","No","Grapefruit (inc. pomelos)"
"01448","Poppy seed","Seeds","Yes",
"01510","Potatoes","Roots","Yes",
"01235","Pumpkins, squash and gourds","Vegetables","Yes",
"01342.02","Quinces","Other","Yes",
"01194","Quinoa","Seeds","Yes",
"01443","rapeseed or colza seed","Seeds","No","Rapeseed"
"01353.01","Raspberries","Berries","No","Blueberries"
"02211","raw milk of cattle","Dairy","No","Milk, whole fresh cow"
"02291","raw milk of sheep","Dairy","No","Milk, whole fresh sheep"
"0113","Rice","Cereals","No","Grain, mixed"
"0116","Rye","Cereals, incl feed","Yes",
"01444","Sesame seed","Seeds","Yes",
"0114","Sorghum","Cereals","Yes",
"01344.01","Sour cherries","Fruits","No","Cherries, sour"
"0141","Soya beans","Pulses","No","Soybeans"
"01215","Spinach","Vegetables","Yes",
"01354","Strawberries","Fruits","Yes",
"01801","Sugar beet","Sugar crops","Yes",
"01802","Sugar cane","Sugar crops","No","Sugar beet"
"01445","Sunflower seed","Oil crops","Yes",
"01530","Sweet potatoes","Roots","Yes",
"01324","Tangerines, mandarins, clementines","Fruits","No","Tangerines, mandarins, clementines, satsumas"
"01234","Tomatoes, average","Vegetables","No","Tomatoes"
"01191","Triticale","Cereals","Yes",
"01929.02","True hemp, raw or retted","Other","No","Grain, mixed"
"01376","Walnuts, in shell","Nuts","No","Walnuts, with shell"
"01221","Watermelons","Fruits","Yes",
"01709.01","Vetches","Other","Yes",
"0111","Wheat, average","Cereals, incl feed","No","Wheat"
"01319","Other tropical fruits, n.e.c.","Fruits","No","Fruit, tropical fresh nes"
"01379.90","Nuts nes","Nuts","No","Nuts nes"
"01620","Tea leaves","Stimulants","No","Tea"
"01655","Cinnamon and cinnamon-tree flowers, raw","Spices","No","Cinnamon (cannella)"
"01656","Cloves (whole stems), raw","Spices","No","Cloves"
"01657","Ginger, raw","Spices","No","Ginger"
"01658","Water buffalo milk","Dairy","No","Milk, whole fresh cow"
"02212","Vanilla, raw","Spices","No","Vanilla"
"02292","Goat milk","Dairy","No","Milk, whole fresh sheep"
"21113.01","Pig meat","Meat","No","Meat, pig"
"21170.01","Pigeon fresh meat","Meat","No","Meat nes"
"21170.92","Other meat n.e.c, fresh, chilled or frozen","Meat","No","Meat nes"
"A02DE","Herrings","Fish","No","Fish"
"A02ES","Herring roe","Fish","No","Fish"
"A02DH","Sprat","Fish","No","Fish"
"A02DB","European sardine","Fish","No","Fish"
"A02DD","Anchovies","Fish","No","Fish"
"A029M","Char","Fish","No","Fish"
"A029B","Smelt","Fish","No","Fish"
"A029Q","Whitefishes or coregonus","Fish","No","Fish"
"A027N","Perch","Fish","No","Fish"
"A029T","Sea bass","Fish","No","Fish"
"A02CT","Mackerel","Fish","No","Fish"
"A02DR","Tuna and bonito (generic)","Fish","No","Fish"
"A02AD","Mullets","Fish","No","Fish"
"A02CB","Hakes","Fish","No","Fish"
"A02AT","Flounders","Fish","No","Fish"
"A02AY","Halibut","Fish","No","Fish"
"A02BC","Plaice","Fish","No","Fish"
"A02BF","Sole","Fish","No","Fish"
"A027C","Carps","Fish","No","Fish"
"A027B","Freshwater bream - Europe","Fish","No","Fish"
"A028G","River eels","Fish","No","Fish"
"A02BJ","Anglerfish and monkfish","Fish","No","Fish"
"A02DJ","Sharks","Fish","No","Fish"
"A02DQ","Rays","Fish","No","Fish"
"A02FA","Sturgeon roe","Fish","No","Fish"
"A02DS","Bonito","Fish","No","Fish"
"A02DA","Sardines and sardine-type fishes","Fish","No","Fish"
"A07Y0","Swordfish","Fish","No","Fish"
"A02FF","Freshwater crabs","Fish","No","Fish"
"A02FP","Lobsters","Fish","No","Fish"
"A02FS","Lobster, norway","Fish","No","Fish"
"A02FY","Prawn, giant tiger","Fish","No","Fish"
"A02GA","White shrimp","Fish","No","Fish"
"A02FV","Spiny and rock lobsters","Fish","No","Fish"
"A02FG","Freshwater crayfishes","Fish","No","Fish"
"A02JH","Squids","Fish","No","Fish"
"A02JD","Octopuses","Fish","No","Fish"
"A02JA","Cuttlefishes","Fish","No","Fish"
"A02HA","Clams","Fish","No","Fish"
"A02HE","Cockles","Fish","No","Fish"
"A02HF","Mussels","Fish","No","Fish"
"A02HG","Oysters","Fish","No","Fish"
"A02HN","Scallops, pectens","Fish","No","Fish"
"A02GX","Water snails, conches and whelks","Fish","No","Fish"
"A02GX","Water snails, conches and whelks","Fish","No","Fish"
"A02KR","Frogs (legs)","Fish","No","Fish"
"A02LK","Snails","Fish","No","Fish"
"A0C75","Salmons","Fish","No","Fish"
"A029F","Trouts","Fish","No","Fish"
"A027J","Catfishes (freshwater)","Fish","No","Fish"
"A029Z","Wolffish","Fish","No","Fish"
"A02BV","Cod","Fish","No","Fish"
"A02EL","Cod liver","Fish","No","Fish"
"A02EP","Cod roe","Fish","No","Fish"
"A02CG","Whiting","Fish","No","Fish"
"A02CA","Haddock","Fish","No","Fish"
"A0F7F","Lumpfish roe","Fish","No","Fish"
