"Food code (level 2)","Food name (level 2)","Country ","Country code","Retail waste","Consumer waste"
"A.04.02","Legumes, beans, dried","Italy","IT",0.01,0.04
"A.04.03","Tree nuts","Italy","IT",0.01,0.04
"A.04.04","Oilseeds","Italy","IT",0.01,0.04
"A.04.05","Other seeds","Italy","IT",0.01,0.04
"A.05","Fruit and fruit products","Italy","IT",0.1,0.19
"A.05.01","Citrus fruits","Italy","IT",0.1,0.19
"A.05.02","Pome fruits","Italy","IT",0.1,0.19
"A.05.03","Stone fruits","Italy","IT",0.1,0.19
"A.05.04","Berries and small fruits","Italy","IT",0.1,0.19
"A.05.05","Oilfruits","Italy","IT",0.1,0.19
"A.05.06","Miscellaneous fruits","Italy","IT",0.1,0.19
"A.05.07","Dried fruits","Italy","IT",0.1,0.19
"A.05.08","Jam, marmalade and other fruit spreads","Italy","IT",0.1,0.19
"A.05.09","Other fruit products (excluding beverages)","Italy","IT",0.1,0.19
"A.06","Meat and meat products (including edible offal)","Italy","IT",0.04,0.11
"A.06.01","Livestock meat","Italy","IT",0.04,0.11
"A.06.02","Poultry","Italy","IT",0.04,0.11
"A.06.03","Game mammals","Italy","IT",0.04,0.11
"A.06.04","Game birds","Italy","IT",0.04,0.11
"A.06.05","Mixed meat","Italy","IT",0.04,0.11
"A.06.06","Edible offal, farmed animals","Italy","IT",0.04,0.11
"A.06.07","Edible offal, game animals","Italy","IT",0.04,0.11
"A.06.08","Preserved meat","Italy","IT",0.04,0.11
"A.06.09","Sausages","Italy","IT",0.04,0.11
"A.06.10","Meat specialities","Italy","IT",0.04,0.11
"A.06.11","Pastes, pâtés and terrines","Italy","IT",0.04,0.11
"A.06.12","Meat imitates","Italy","IT",0.04,0.11
"A.07","Fish and other seafood (including amphibians, reptiles, snails and insects)","Italy","IT",0.09,0.11
"A.07.01","Fish meat","Italy","IT",0.09,0.11
"A.07.02","Fish products","Italy","IT",0.09,0.11
"A.07.03","Fish offal","Italy","IT",0.09,0.11
"A.07.04","Crustaceans","Italy","IT",0.09,0.11
"A.07.05","Water molluscs","Italy","IT",0.09,0.11
"A.07.06","Amphibians, reptiles, snails, insects","Italy","IT",0.09,0.11
"A.08","Milk and dairy products","Italy","IT",0.005,0.07
"A.08.01","Liquid milk","Italy","IT",0.005,0.07
"A.08.02","Milk based beverages","Italy","IT",0.005,0.07
"A.08.03","Concentrated milk","Italy","IT",0.005,0.07
"A.08.04","Whey and whey products (excluding whey cheese)","Italy","IT",0.005,0.07
"A.08.05","Cream and cream products","Italy","IT",0.005,0.07
"A.08.06","Fermented milk products","Italy","IT",0.005,0.07
"A.08.07","Milk derivatives","Italy","IT",0.005,0.07
"A.08.08","Cheese","Italy","IT",0.005,0.07
"A.08.09","Milk and milk product imitates","Italy","IT",0.005,0.07
"A.09","Eggs and egg products","Italy","IT",0.005,0.07
"A.09.01","Eggs, fresh","Italy","IT",0.005,0.07
"A.09.02","Eggs, powder","Italy","IT",0.005,0.07
"A.10","Sugar and confectionary","Italy","IT",0.01,0.04
"A.10.01","Sugars","Italy","IT",0.01,0.04
"A.10.02","Sugar substitutes","Italy","IT",0.01,0.04
"A.10.03","Chocolate (Cocoa) products","Italy","IT",0.01,0.04
"A.10.04","Confectionery (non-chocolate)","Italy","IT",0.01,0.04
"A.10.05","Dessert sauces","Italy","IT",0.01,0.04
"A.10.06","Molasses and other syrups","Italy","IT",0.01,0.04
"A.10.07","Honey","Italy","IT",0.01,0.04
"A.11","Animal and vegetable fats and oils","Italy","IT",0.01,0.04
"A.11.01","Animal fat","Italy","IT",0.04,0.11
"A.11.02","Fish oil","Italy","IT",0.09,0.11
"A.11.03","Vegetable fat","Italy","IT",0.01,0.04
"A.11.04","Vegetable oil","Italy","IT",0.01,0.04
"A.11.05","Fats of mixed origin","Italy","IT",0.01,0.04
"A.11.06","Margarine and similar products","Italy","IT",0.01,0.04
"A.12","Fruit and vegetable juices","Italy","IT",0.1,0.19
"A.12.01","Fruit juice","Italy","IT",0.1,0.19
"A.12.02","Concentrated fruit juice","Italy","IT",0.1,0.19
"A.12.03","Fruit nectar","Italy","IT",0.1,0.19
"A.12.04","Mixed fruit juice","Italy","IT",0.1,0.19
"A.12.05","Dehydrated/powdered fruit juice","Italy","IT",0.1,0.19
"A.12.06","Vegetable juice","Italy","IT",0.1,0.19
"A.12.07","Mixed vegetable juice","Italy","IT",0.1,0.19
"A.12.08","Mixed fruit and vegetable juice","Italy","IT",0.1,0.19
"A.13","Non-alcoholic beverages (excepting milk based beverages)","Italy","IT",0.01,0.04
"A.13.01","Soft drinks","Italy","IT",0.01,0.04
"A.13.02","Tea (Infusion)","Italy","IT",0.01,0.04
"A.13.03","Coffee (Beverage)","Italy","IT",0.01,0.04
"A.13.04","Coffee imitates beverage","Italy","IT",0.01,0.04
"A.13.05","Cocoa beverage","Italy","IT",0.01,0.04
