RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.02.03.006,Cucumbers,Spain,ES,0.238,0.07,01232
A.02.03.006,Cucumbers,Rest of World,RoW,0.112,0.07,01232
A.02.03.007,Gherkins,France,FR,0.651,0.07,01232
A.02.03.007,Gherkins,Spain,ES,0.238,0.07,01232
A.02.03.007,Gherkins,Rest of World,RoW,0.112,0.07,01232
A.02.03.008,Courgettes,France,FR,0.394,0.07,01235
A.02.03.008,Courgettes,Morocco,MA,0.147,0.07,01235
A.02.03.008,Courgettes,Spain,ES,0.399,0.07,01235
A.02.03.008,Courgettes,Rest of World,RoW,0.06,0.07,01235
A.02.03.009,Melons,France,FR,0.609,0.07,01229
A.02.03.009,Melons,Morocco,MA,0.11,0.07,01229
A.02.03.009,Melons,Spain,ES,0.242,0.07,01229
A.02.03.009,Melons,Rest of World,RoW,0.039,0.07,01229
A.02.03.010,Pumpkins,France,FR,0.394,0.07,01235
A.02.03.010,Pumpkins,Morocco,MA,0.147,0.07,01235
A.02.03.010,Pumpkins,Spain,ES,0.399,0.07,01235
A.02.03.010,Pumpkins,Rest of World,RoW,0.06,0.07,01235
A.02.03.011,Watermelons,France,FR,0.115,0.07,01221
A.02.03.011,Watermelons,Italy,IT,0.131,0.07,01221
A.02.03.011,Watermelons,Spain,ES,0.627,0.07,01221
A.02.03.011,Watermelons,Rest of World,RoW,0.126,0.07,01221
A.02.03.012,Sweet corn,France,FR,0.902,0.07,01290.01
A.02.03.012,Sweet corn,Rest of World,RoW,0.098,0.07,01290.01
A.02.04.001,Broccoli,France,FR,0.609,0.07,01213
A.02.04.001,Broccoli,Morocco,MA,0.11,0.07,01213
A.02.04.001,Broccoli,Spain,ES,0.242,0.07,01213
A.02.04.001,Broccoli,Rest of World,RoW,0.039,0.07,01213
A.02.04.002,Cauliflowers,France,FR,0.609,0.07,01213
A.02.04.002,Cauliflowers,Morocco,MA,0.11,0.07,01213
A.02.04.002,Cauliflowers,Spain,ES,0.242,0.07,01213
A.02.04.002,Cauliflowers,Rest of World,RoW,0.039,0.07,01213
A.02.04.003,Brussels sprouts,France,FR,0.786,0.07,01212
A.02.04.003,Brussels sprouts,Rest of World,RoW,0.214,0.07,01212
A.02.04.004,Head cabbages,France,FR,0.786,0.07,01212
A.02.04.004,Head cabbages,Rest of World,RoW,0.214,0.07,01212
A.02.04.005,Chinese cabbages,France,FR,0.786,0.07,01212
A.02.04.005,Chinese cabbages,Rest of World,RoW,0.214,0.07,01212
A.02.04.006,Kales and similar-,France,FR,0.786,0.07,01212
A.02.04.006,Kales and similar-,Rest of World,RoW,0.214,0.07,01212
A.02.04.007,Kohlrabies,France,FR,0.786,0.07,01212
A.02.04.007,Kohlrabies,Rest of World,RoW,0.214,0.07,01212
A.02.05.001,Lamb's lettuces,France,FR,0.719,0.07,01214
A.02.05.001,Lamb's lettuces,Spain,ES,0.208,0.07,01214
A.02.05.001,Lamb's lettuces,Rest of World,RoW,0.073,0.07,01214
A.02.05.002,Head lettuces,France,FR,0.719,0.07,01214
A.02.05.002,Head lettuces,Spain,ES,0.208,0.07,01214
A.02.05.002,Head lettuces,Rest of World,RoW,0.073,0.07,01214
A.02.05.003,Crisp lettuces,France,FR,0.719,0.07,01214
A.02.05.003,Crisp lettuces,Spain,ES,0.208,0.07,01214
A.02.05.003,Crisp lettuces,Rest of World,RoW,0.073,0.07,01214
A.02.05.004,Escaroles,France,FR,0.719,0.07,01214
A.02.05.004,Escaroles,Spain,ES,0.208,0.07,01214
A.02.05.004,Escaroles,Rest of World,RoW,0.073,0.07,01214
A.02.05.005,Cresses,France,FR,0.786,0.07,01212
A.02.05.005,Cresses,Rest of World,RoW,0.214,0.07,01212
A.02.05.006,Land cresses,France,FR,0.786,0.07,01212
A.02.05.006,Land cresses,Rest of World,RoW,0.214,0.07,01212
A.02.05.007,Roman rocket,France,FR,0.786,0.07,01212
A.02.05.007,Roman rocket,Rest of World,RoW,0.214,0.07,01212
A.02.05.010,Spinaches,France,FR,0.971,0.07,01215
A.02.05.010,Spinaches,Rest of World,RoW,0.029,0.07,01215
A.02.05.012,Purslanes,France,FR,0.971,0.07,01215
A.02.05.012,Purslanes,Rest of World,RoW,0.029,0.07,01215
A.02.05.013,Chards,France,FR,0.932,0.045,01801
A.02.05.013,Chards,Rest of World,RoW,0.068,0.045,01801
A.02.05.014,Grape leaves,Spain,ES,0.213,0.07,01359.90
A.02.05.014,Grape leaves,Rest of World,RoW,0.787,0.07,01359.90
