SUA Code,SUA Name,Producer Country Name,Producer Country Code,Share,Waste
"01314","Dates","Tunisia","TN",0.413,0.07
"01314","Dates","Rest of World","RoW",0.365,0.07
"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","China","CN",0.406,0.24
"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Togo","TG",0.189,0.24
"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Rest of World","RoW",0.405,0.24
"01233","Eggplants (aubergines)","Netherlands","NL",0.538,0.07
"01233","Eggplants (aubergines)","Spain","ES",0.401,0.07
"01233","Eggplants (aubergines)","Rest of World","RoW",0.061,0.07
"0232","eggs from other birds in shell, fresh, n.e.c.","United Kingdom","GB",0.882,0.017
"0232","eggs from other birds in shell, fresh, n.e.c.","Rest of World","RoW",0.118,0.017
"01315","Figs","Spain","ES",0.148,0.07
"01315","Figs","Turkey","TR",0.754,0.07
"01315","Figs","Rest of World","RoW",0.098,0.07
"01193","Fonio","Guinea","GN",0.674,0.045
"01193","Fonio","Mali","ML",0.308,0.045
"01193","Fonio","Rest of World","RoW",0.017,0.045
"21170.02","game meat, fresh, chilled or frozen","Rest of World","RoW",1,0.057
"01351.02","Gooseberries","Rest of World","RoW",1,0.07
"01330","Grapes","Chile","CL",0.134,0.07
"01330","Grapes","France","FR",0.13,0.07
"01330","Grapes","Italy","IT",0.138,0.07
"01330","Grapes","Spain","ES",0.129,0.07
"01330","Grapes","Turkey","TR",0.19,0.07
"01330","Grapes","Rest of World","RoW",0.278,0.07
"01290.01","Green corn (maize)","France","FR",0.444,0.07
"01290.01","Green corn (maize)","Hungary","HU",0.366,0.07
"01290.01","Green corn (maize)","Rest of World","RoW",0.19,0.07
"01252","Green garlic","Spain","ES",0.376,0.07
"01252","Green garlic","Rest of World","RoW",0.624,0.07
"0142","Groundnuts, excluding shelled","USA","US",0.792,0.06
"0142","Groundnuts, excluding shelled","Rest of World","RoW",0.208,0.06
"01374","Hazelnuts, in shell","Georgia","GE",0.185,0.06
"01374","Hazelnuts, in shell","Turkey","TR",0.643,0.06
"01374","Hazelnuts, in shell","Rest of World","RoW",0.172,0.06
"0231","hen eggs in shell, fresh","Ireland","IE",0.881,0.017
"0231","hen eggs in shell, fresh","Rest of World","RoW",0.119,0.017
"21118.01","horse meat, fresh or chilled","Ireland","IE",0.988,0.057
"21118.01","horse meat, fresh or chilled","Rest of World","RoW",0.012,0.057
"01352","Kiwi fruit","Chile","CL",0.211,0.07
"01352","Kiwi fruit","Italy","IT",0.49,0.07
"01352","Kiwi fruit","New Zealand","NZ",0.187,0.07
"01352","Kiwi fruit","Rest of World","RoW",0.112,0.07
"01379.02","Kola nuts","Cameroon","CM",0.236,0.06
"01379.02","Kola nuts","Ghana","GH",0.101,0.06
"01379.02","Kola nuts","Cote d'Ivoire","CI",0.649,0.06
"01379.02","Kola nuts","Rest of World","RoW",0.014,0.06
"01254","Leeks and other alliaceous vegetables","Ireland","IE",0.468,0.07
"01254","Leeks and other alliaceous vegetables","Netherlands","NL",0.213,0.07
"01254","Leeks and other alliaceous vegetables","United Kingdom","GB",0.16,0.07
"01254","Leeks and other alliaceous vegetables","Rest of World","RoW",0.16,0.07
"01322","Lemons and limes","Argentina","AR",0.392,0.07
"01322","Lemons and limes","Spain","ES",0.334,0.07
"01322","Lemons and limes","Rest of World","RoW",0.274,0.07
"01704","Lentils, dry (organic)","Canada","CA",0.612,0.06
"01704","Lentils, dry (organic)","Turkey","TR",0.246,0.06
"01704","Lentils, dry (organic)","Rest of World","RoW",0.142,0.06
"01214","Lettuce and chicory","Ireland","IE",0.368,0.07
"01214","Lettuce and chicory","Spain","ES",0.373,0.07
"01214","Lettuce and chicory","Rest of World","RoW",0.259,0.07
"01441","Linseed","Canada","CA",0.218,0.06
"01441","Linseed","Russia","RU",0.184,0.06
"01441","Linseed","United Kingdom","GB",0.44,0.06
"01441","Linseed","Rest of World","RoW",0.158,0.06
"01709.02","Lupins","Germany","DE",0.867,0.06
"01709.02","Lupins","Rest of World","RoW",0.133,0.06
"0112","Maize (corn)","France","FR",0.144,0.045
"0112","Maize (corn)","Ukraine","UA",0.229,0.045
"0112","Maize (corn)","USA","US",0.294,0.045
"0112","Maize (corn)","Rest of World","RoW",0.333,0.045
"01316","Mangoes, guavas and mangosteens","Brazil","BR",0.286,0.07
"01316","Mangoes, guavas and mangosteens","Pakistan","PK",0.133,0.07
"01316","Mangoes, guavas and mangosteens","Peru","PE",0.263,0.07
"01316","Mangoes, guavas and mangosteens","Rest of World","RoW",0.318,0.07
"01630","Maté leaves","Argentina","AR",0.431,0.07
"01630","Maté leaves","Brazil","BR",0.512,0.07
"01630","Maté leaves","Rest of World","RoW",0.057,0.07
"21118.02","meat of asses, fresh or chilled","Rest of World","RoW",1,0.057
"21111.02","meat of cattle with the bone, fresh or chilled","Ireland","IE",0.96,0.057
"21111.02","meat of cattle with the bone, fresh or chilled","Rest of World","RoW",0.04,0.057
"21121","meat of chickens, fresh or chilled","Ireland","IE",0.507,0.057
"21121","meat of chickens, fresh or chilled","Netherlands","NL",0.117,0.057
"21121","meat of chickens, fresh or chilled","United Kingdom","GB",0.181,0.057
"21121","meat of chickens, fresh or chilled","Rest of World","RoW",0.195,0.057
"21122","meat of ducks, fresh or chilled","France","FR",0.11,0.057
"21122","meat of ducks, fresh or chilled","Ireland","IE",0.797,0.057
"21122","meat of ducks, fresh or chilled","Rest of World","RoW",0.093,0.057
"21123","meat of geese, fresh or chilled","Ireland","IE",0.919,0.057
"21123","meat of geese, fresh or chilled","Rest of World","RoW",0.081,0.057
"21116","meat of goat, fresh or chilled","Rest of World","RoW",1,0.057
"21114","meat of rabbits and hares, fresh or chilled","France","FR",0.36,0.057
"21114","meat of rabbits and hares, fresh or chilled","Italy","IT",0.538,0.057
"21114","meat of rabbits and hares, fresh or chilled","Rest of World","RoW",0.102,0.057
"21115","meat of sheep, fresh or chilled","Ireland","IE",0.927,0.057
"21115","meat of sheep, fresh or chilled","Rest of World","RoW",0.073,0.057
"21124","meat of turkeys, fresh or chilled","Ireland","IE",0.72,0.057
"21124","meat of turkeys, fresh or chilled","Rest of World","RoW",0.28,0.057
"0118","Millet","France","FR",0.253,0.045
"0118","Millet","Russia","RU",0.324,0.045
"0118","Millet","Ukraine","UA",0.138,0.045
"0118","Millet","Rest of World","RoW",0.285,0.045
"01199.02","Mixed grain","United Kingdom","GB",0.826,0.045
"01199.02","Mixed grain","Rest of World","RoW",0.174,0.045
"01270","Mushrooms and truffles","Ireland","IE",0.958,0.07
"01270","Mushrooms and truffles","Rest of World","RoW",0.042,0.07
"01442","Mustard seed","Canada","CA",0.55,0.06
"01442","Mustard seed","Rest of World","RoW",0.45,0.06
"02910","natural honey","Hungary","HU",0.117,0.06
"02910","natural honey","Rest of World","RoW",0.883,0.06
"01653","nutmeg, mace, cardamoms, raw","Guatemala","GT",0.351,0.07
"01653","nutmeg, mace, cardamoms, raw","Indonesia","ID",0.482,0.07
"01653","nutmeg, mace, cardamoms, raw","Rest of World","RoW",0.167,0.07
"0117","Oats","Ireland","IE",0.979,0.045
"0117","Oats","Rest of World","RoW",0.021,0.045
"01491.02","Oil palm seeds","India","IN",0.108,0.06
"01491.02","Oil palm seeds","Malaysia","MY",0.141,0.06
"01491.02","Oil palm seeds","Ethiopia","ET",0.109,0.06
"01491.02","Oil palm seeds","Rest of World","RoW",0.642,0.06
"01450","Olives","Italy","IT",0.284,0.06
"01450","Olives","Spain","ES",0.587,0.06
"01450","Olives","Rest of World","RoW",0.129,0.06
"01253.02","Onions and shallots, dry (excluding dehydrated)","Ireland","IE",0.123,0.07
"01253.02","Onions and shallots, dry (excluding dehydrated)","Netherlands","NL",0.386,0.07
"01253.02","Onions and shallots, dry (excluding dehydrated)","Spain","ES",0.181,0.07
"01253.02","Onions and shallots, dry (excluding dehydrated)","Rest of World","RoW",0.309,0.07
"01323","Oranges","Brazil","BR",0.313,0.07
"01323","Oranges","Spain","ES",0.103,0.07
"01323","Oranges","USA","US",0.396,0.07
"01323","Oranges","Rest of World","RoW",0.188,0.07
"01241.90","Other beans, green","Ireland","IE",0.529,0.07
"01241.90","Other beans, green","Kenya","KE",0.21,0.07
"01241.90","Other beans, green","Rest of World","RoW",0.261,0.07
"01359.90","Other fruits, n.e.c.","Ireland","IE",0.141,0.07
