RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
"A.16.02.004","Allspice fruit","Rest of World","RoW",0.255,0.07,01699
"A.16.02.006","Anise seed","India","IN",0.259,0.07,01654
"A.16.02.006","Anise seed","Syrian Arab Republic","SY",0.123,0.07,01654
"A.16.02.006","Anise seed","Turkey","TR",0.359,0.07,01654
"A.16.02.006","Anise seed","Rest of World","RoW",0.259,0.07,01654
"A.16.02.008","Black caraway seed","India","IN",0.259,0.07,01654
"A.16.02.008","Black caraway seed","Syrian Arab Republic","SY",0.123,0.07,01654
"A.16.02.008","Black caraway seed","Turkey","TR",0.359,0.07,01654
"A.16.02.008","Black caraway seed","Rest of World","RoW",0.259,0.07,01654
"A.16.02.009","Capers buds","India","IN",0.514,0.07,01699
"A.16.02.009","Capers buds","Spain","ES",0.122,0.07,01699
"A.16.02.009","Capers buds","Turkey","TR",0.11,0.07,01699
"A.16.02.009","Capers buds","Rest of World","RoW",0.255,0.07,01699
"A.16.02.010","Caraway fruit","India","IN",0.259,0.07,01654
"A.16.02.010","Caraway fruit","Syrian Arab Republic","SY",0.123,0.07,01654
"A.16.02.010","Caraway fruit","Turkey","TR",0.359,0.07,01654
"A.16.02.010","Caraway fruit","Rest of World","RoW",0.259,0.07,01654
"A.16.02.011","Cardamom fruit","India","IN",0.514,0.07,01699
"A.16.02.011","Cardamom fruit","Spain","ES",0.122,0.07,01699
"A.16.02.011","Cardamom fruit","Turkey","TR",0.11,0.07,01699
"A.16.02.011","Cardamom fruit","Rest of World","RoW",0.255,0.07,01699
"A.16.02.014","Cinnamon bark","India","IN",0.514,0.07,01699
"A.16.02.014","Cinnamon bark","Spain","ES",0.122,0.07,01699
"A.16.02.014","Cinnamon bark","Turkey","TR",0.11,0.07,01699
"A.16.02.014","Cinnamon bark","Rest of World","RoW",0.255,0.07,01699
"A.16.02.015","Cloves buds","India","IN",0.514,0.07,01699
"A.16.02.015","Cloves buds","Spain","ES",0.122,0.07,01699
"A.16.02.015","Cloves buds","Turkey","TR",0.11,0.07,01699
"A.16.02.015","Cloves buds","Rest of World","RoW",0.255,0.07,01699
"A.16.02.016","Coriander seed","India","IN",0.259,0.07,01654
"A.16.02.016","Coriander seed","Syrian Arab Republic","SY",0.123,0.07,01654
"A.16.02.016","Coriander seed","Turkey","TR",0.359,0.07,01654
"A.16.02.016","Coriander seed","Rest of World","RoW",0.259,0.07,01654
"A.16.02.017","Cumin seed","India","IN",0.259,0.07,01654
"A.16.02.017","Cumin seed","Syrian Arab Republic","SY",0.123,0.07,01654
"A.16.02.017","Cumin seed","Turkey","TR",0.359,0.07,01654
"A.16.02.017","Cumin seed","Rest of World","RoW",0.259,0.07,01654
"A.16.02.018","Dill seed (Anethum graveolens)","India","IN",0.259,0.07,01654
"A.16.02.018","Dill seed (Anethum graveolens)","Syrian Arab Republic","SY",0.123,0.07,01654
"A.16.02.018","Dill seed (Anethum graveolens)","Turkey","TR",0.359,0.07,01654
"A.16.02.018","Dill seed (Anethum graveolens)","Rest of World","RoW",0.259,0.07,01654
"A.16.02.019","Fennel seed","India","IN",0.259,0.07,01654
"A.16.02.019","Fennel seed","Syrian Arab Republic","SY",0.123,0.07,01654
"A.16.02.019","Fennel seed","Turkey","TR",0.359,0.07,01654
"A.16.02.019","Fennel seed","Rest of World","RoW",0.259,0.07,01654
"A.16.02.020","Fenugreek seed","India","IN",0.514,0.07,01699
"A.16.02.020","Fenugreek seed","Spain","ES",0.122,0.07,01699
"A.16.02.020","Fenugreek seed","Turkey","TR",0.11,0.07,01699
"A.16.02.020","Fenugreek seed","Rest of World","RoW",0.255,0.07,01699
"A.16.02.022","Ginger roots","India","IN",0.514,0.07,01699
"A.16.02.022","Ginger roots","Spain","ES",0.122,0.07,01699
"A.16.02.022","Ginger roots","Turkey","TR",0.11,0.07,01699
"A.16.02.022","Ginger roots","Rest of World","RoW",0.255,0.07,01699
"A.16.02.024","Juniper berry","India","IN",0.514,0.07,01699
"A.16.02.024","Juniper berry","Spain","ES",0.122,0.07,01699
"A.16.02.024","Juniper berry","Turkey","TR",0.11,0.07,01699
"A.16.02.024","Juniper berry","Rest of World","RoW",0.255,0.07,01699
"A.16.02.025","Mace aril","India","IN",0.514,0.07,01699
"A.16.02.025","Mace aril","Spain","ES",0.122,0.07,01699
"A.16.02.025","Mace aril","Turkey","TR",0.11,0.07,01699
"A.16.02.025","Mace aril","Rest of World","RoW",0.255,0.07,01699
"A.16.02.027","Nutmeg seed","India","IN",0.514,0.07,01699
"A.16.02.027","Nutmeg seed","Spain","ES",0.122,0.07,01699
"A.16.02.027","Nutmeg seed","Turkey","TR",0.11,0.07,01699
"A.16.02.027","Nutmeg seed","Rest of World","RoW",0.255,0.07,01699
"A.16.02.028","Peppercorn (black, green and white)","India","IN",0.514,0.07,01699
"A.16.02.028","Peppercorn (black, green and white)","Spain","ES",0.122,0.07,01699
"A.16.02.028","Peppercorn (black, green and white)","Turkey","TR",0.11,0.07,01699
"A.16.02.028","Peppercorn (black, green and white)","Rest of World","RoW",0.255,0.07,01699
"A.16.02.029","Saffron","India","IN",0.514,0.07,01699
"A.16.02.029","Saffron","Spain","ES",0.122,0.07,01699
"A.16.02.029","Saffron","Turkey","TR",0.11,0.07,01699
"A.16.02.029","Saffron","Rest of World","RoW",0.255,0.07,01699
"A.16.02.030","Tamarind","India","IN",0.514,0.07,01699
"A.16.02.030","Tamarind","Spain","ES",0.122,0.07,01699
