no.csv,Code,Name,Category,Country_name,Country_code,Carbon_Footprint,Carbon_Dioxide,Methane_fossil,Methane_bio,Nitrous_Oxide,HFC,Land,N_input,P_input,Water,Pesticides,Biodiversity,Ammonia,Labour,Animal_Welfare,Antibiotics
375,1251,Carrots and turnips,Vegetables,Ireland,IE,8.83E-02,6.33E-02,1.38E-04,0,7.64E-05,NA,0.150119991,1.33E-03,4.76E-04,2.10E-02,6.50E-02,5.32E-12,8.08E-05,4.43E-03,,
376,1213,"Cauliflowers and broccoli, average",Vegetables,Ireland,IE,0.34023788,0.145949729,2.59E-04,0,6.83E-04,NA,0.825705194,1.62E-02,1.85E-03,2.10E-02,0.245234442,2.93E-11,9.82E-04,6.75E-02,,
377,1199.9,Cereals n.e.c.,Cereals,Ireland,IE,0.838629135,0.347053734,5.22E-04,0,1.74E-03,NA,5.155702207,4.54E-02,1.55E-02,0.114,28.28309689,1.83E-10,2.76E-03,2.62E-02,,
378,1232,"Cucumbers and gherkins, averrage",Vegetables,Ireland,IE,4.551994249,4.182358097,9.20E-03,0,3.50E-04,NA,5.52E-02,3.18E-03,1.54E-03,2.10E-02,8.84E-04,2.36E-12,1.94E-04,5.55E-03,,
379,1351.01,Currants,Berries,Ireland,IE,0.348350909,0.233073882,2.86E-04,0,3.91E-04,NA,1.953125,8.00E-03,5.00E-03,0.247,0.314832771,6.93E-11,4.86E-04,0.482039063,,
380,1254,Leeks and other alliaceous vegetables,Vegetables,Ireland,IE,0.185179135,9.74E-02,1.89E-04,0,3.01E-04,NA,0.420252118,7.53E-03,1.51E-03,2.10E-02,0.167260343,1.49E-11,4.57E-04,9.15E-02,,
381,1214,Lettuce and chicory,Vegetables,Ireland,IE,0.189893459,9.26E-02,1.81E-04,0,3.37E-04,NA,0.387530208,6.60E-03,1.33E-03,2.10E-02,8.91E-02,1.37E-11,4.01E-04,3.12E-02,,
382,117,Oats,"Cereals, incl feed",Ireland,IE,0.381284757,0.161747567,2.60E-04,0,7.76E-04,NA,1.305646661,1.81E-02,3.82E-03,0,0.385165765,4.63E-11,1.10E-03,6.48E-03,,
383,1253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,Ireland,IE,0.118524574,7.52E-02,1.52E-04,0,1.42E-04,NA,0.303111316,3.14E-03,9.60E-04,1.00E-02,0.707158701,1.08E-11,1.91E-04,1.75E-02,,
384,1241.9,"Other beans, green",Vegetables,Ireland,IE,0.141173851,7.42E-02,1.36E-04,0,2.30E-04,NA,1.240756365,3.76E-03,1.56E-03,0,0.681175244,4.40E-11,4.76E-05,6.32E-03,,
385,1359.9,"Other fruits, n.e.c.",Fruits,Ireland,IE,0.287236473,0.181946547,2.73E-04,0,3.56E-04,NA,0.70814007,7.06E-03,3.57E-03,0.247,4.566696613,2.51E-11,4.29E-04,6.87E-02,,
386,1290.9,"Other vegetables, fresh n.e.c.",Vegetables,Ireland,IE,0.278502045,0.121912547,2.28E-04,0,5.49E-04,NA,0.566440657,1.25E-02,2.83E-03,2.10E-02,9.52E-02,2.01E-11,7.57E-04,4.55E-02,,
387,1705,"Peas, dry","Pulses, incl feed",Ireland,IE,0.173543316,0.112987244,1.38E-04,0,2.07E-04,NA,2.640403454,1.66E-02,1.69E-03,7.00E-03,0.355315678,9.36E-11,0,1.19E-02,,
388,1242,"Peas, green",Vegetables,Ireland,IE,0.152287867,9.18E-02,1.40E-04,0,2.06E-04,NA,2.389657562,1.51E-02,1.24E-03,7.00E-03,0.321573128,8.48E-11,0,1.22E-02,,
389,1510,Potatoes,Roots,Ireland,IE,0.112740622,7.16E-02,1.48E-04,0,1.35E-04,NA,0.248013413,2.94E-03,1.19E-03,4.00E-03,0.257933949,8.80E-12,1.79E-04,8.93E-03,,
390,1235,"Pumpkins, squash and gourds",Vegetables,Ireland,IE,0.118090245,7.94E-02,1.42E-04,0,1.26E-04,NA,0.636267907,7.82E-04,0,2.10E-02,0.106893008,2.26E-11,4.75E-05,3.15E-02,,
391,1443,"Rape or colza seed, average",Oil crops,Ireland,IE,1.363178119,0.470658232,7.81E-04,0,3.18E-03,NA,2.403811483,8.52E-02,9.27E-03,2.20E-02,0.649029101,8.53E-11,5.18E-03,1.25E-02,,
392,1353.01,Raspberries,Berries,Ireland,IE,0.526552248,0.207327018,3.90E-04,0,1.13E-03,NA,0.647598769,2.84E-02,3.55E-03,0.247,6.01E-02,2.30E-11,1.73E-03,0.372731947,,
393,116,Rye,"Cereals, incl feed",Ireland,IE,0.382231948,0.184780339,2.59E-04,0,6.95E-04,NA,2.999580059,1.59E-02,1.17E-03,3.00E-03,0,1.06E-10,9.68E-04,1.57E-02,,
394,1215,Spinach,Vegetables,Ireland,IE,0.287073283,0.127838714,2.32E-04,0,5.58E-04,NA,0.699402431,1.27E-02,2.54E-03,2.10E-02,0.456709787,2.48E-11,7.72E-04,5.34E-03,,
395,1354,Strawberries,Fruits,Ireland,IE,0.183745603,0.10922614,2.24E-04,0,2.49E-04,NA,0.296093461,4.14E-03,1.76E-03,0.247,0.19334903,1.05E-11,2.52E-04,7.81E-02,,
396,1801,Sugar beet,Sugar crops,Ireland,IE,9.05E-02,6.32E-02,1.35E-04,0,8.54E-05,NA,0.174666692,1.58E-03,3.60E-04,1.00E-03,4.51E-02,6.19E-12,9.58E-05,1.71E-03,,
397,1234,"Tomatoes, average",Vegetables,Ireland,IE,2.309571418,2.100094048,4.62E-03,0,2.63E-04,NA,2.74E-02,2.70E-03,7.46E-04,6.00E-03,7.13E-02,1.17E-12,1.64E-04,1.06E-02,,
398,111,"Wheat, average","Cereals, incl feed",Ireland,IE,0.451615652,0.179632163,2.99E-04,0,9.64E-04,NA,1.092616752,2.35E-02,2.15E-03,1.00E-03,0.535352643,3.88E-11,1.43E-03,5.55E-03,,
399,1311,Avocados,Vegetables,Israel,IL,0.397023719,0.301576264,6.94E-04,0,2.74E-04,NA,0.763286529,1.04E-02,5.88E-03,0.137,1.100759639,2.48E-10,6.31E-04,0.151634502,,
400,1314,Dates,Fruits,Israel,IL,0.541649932,0.48633699,1.01E-03,0,9.27E-05,NA,1.065135144,0,2.74E-02,1.585,4.27317175,3.45E-10,0,0.260316899,,
401,1316,"Mangoes, guavas and mangosteens",Fruits,Israel,IL,0.372863466,0.313986746,7.62E-04,0,1.33E-04,NA,0.444948324,2.46E-03,3.70E-04,0.65,0.154678927,1.44E-10,1.50E-04,8.84E-02,,
402,1321,Pomelos and grapefruits,Fruits,Israel,IL,0.274604005,0.220931789,6.12E-04,0,1.30E-04,NA,0.123236121,2.46E-03,3.70E-04,0.12,0.154678927,4.00E-11,1.50E-04,2.45E-02,,
403,1530,Sweet potatoes,Roots,Israel,IL,0.370473484,0.300942256,6.87E-04,0,1.80E-04,NA,0.669829153,8.37E-03,3.35E-03,0.188,0.156520228,2.17E-10,5.09E-04,4.06E-02,,
404,1371,"Almonds, in shell",Nuts,Italy,IT,1.76494811,1.309027369,1.24E-03,0,1.54E-03,NA,7.036307346,8.02E-02,0,0.691,7.559427865,8.27E-09,4.88E-03,0.278905151,,
405,1341,Apples,Fruits,Italy,IT,0.130828716,9.11E-02,2.36E-04,0,1.20E-04,NA,0.242555958,2.17E-03,3.17E-04,4.60E-02,0.338611946,2.85E-10,1.32E-04,1.14E-02,,
406,1343,Apricots,Fruits,Italy,IT,0.242804957,0.178576804,3.14E-04,0,2.01E-04,NA,0.782916143,6.78E-03,9.92E-04,0.108,1.213132999,9.20E-10,4.12E-04,4.14E-02,,
407,1216,Artichokes,Vegetables,Italy,IT,0.134472346,9.85E-02,2.38E-04,0,1.06E-04,NA,1.03526742,1.33E-03,4.76E-04,6.10E-02,0.546258355,1.22E-09,8.08E-05,4.04E-02,,
408,1211,Asparagus,Vegetables,Italy,IT,0.246267317,0.157169065,3.25E-04,0,2.91E-04,NA,1.490357388,1.21E-02,2.42E-03,6.10E-02,4.71E-02,1.75E-09,7.34E-04,8.33E-02,,
409,1312,Bananas,Fruits,Italy,IT,0.152214697,0.113336062,2.48E-04,0,1.15E-04,NA,0.425656895,1.87E-03,0,6.40E-02,7.92E-02,5.00E-10,1.14E-04,2.00E-02,,
410,115,"Barley, average","Cereals, incl feed",Italy,IT,0.331936594,0.192295707,3.13E-04,0,4.77E-04,NA,2.412545235,2.05E-02,3.05E-03,3.00E-03,0.158872902,2.84E-09,1.25E-03,6.12E-03,,
411,1701,"Beans, dry",Pulses,Italy,IT,0.359800541,0.225652255,3.06E-04,0,4.58E-04,NA,5.369415808,3.01E-02,5.56E-03,4.00E-03,1.052455134,6.31E-09,1.01E-03,1.17E-02,,
412,1355.01,Blueberries,Berries,Italy,IT,0.41602369,0.248624625,3.78E-04,0,5.72E-04,NA,1.292796966,2.84E-02,3.55E-03,0.108,5.47E-02,1.52E-09,1.73E-03,0.212167374,,
413,1702,"Broad beans and horse beans, dry","Pulses, incl feed",Italy,IT,0.215426363,0.158361762,1.87E-04,0,1.89E-04,NA,5.125313925,1.33E-02,2.02E-03,4.00E-03,1.052455134,6.02E-09,6.14E-05,1.12E-02,,
414,1243,"Broad beans and horse beans, green",Vegetables,Italy,IT,0.151156626,0.116785662,2.32E-04,0,1.01E-04,NA,1.669945326,5.02E-03,2.02E-03,4.00E-03,0.430587291,1.96E-09,6.14E-05,3.64E-03,,
415,1212,Cabbages,Vegetables,Italy,IT,0.155341084,9.70E-02,2.63E-04,0,1.85E-04,NA,0.514760765,5.97E-03,4.77E-04,6.10E-02,0.141846598,6.05E-10,3.63E-04,1.34E-02,,
416,1229,Cantaloupes and other melons,Fruits,Italy,IT,0.183250043,0.126867212,2.83E-04,0,1.76E-04,NA,0.398068254,5.37E-03,1.95E-03,0.108,0.534839249,4.68E-10,3.27E-04,1.29E-02,,
417,1251,Carrots and turnips,Vegetables,Italy,IT,8.80E-02,6.84E-02,2.24E-04,0,4.71E-05,NA,0.229502448,1.33E-03,4.76E-04,6.10E-02,0.619652841,2.70E-10,8.08E-05,3.28E-03,,
418,1213,"Cauliflowers and broccoli, average",Vegetables,Italy,IT,0.241500545,0.133153751,3.37E-04,0,3.60E-04,NA,0.42617099,1.62E-02,1.85E-03,6.10E-02,0.103728623,5.01E-10,9.82E-04,1.69E-02,,
419,1199.9,Cereals n.e.c.,Cereals,Italy,IT,0.410255895,0.243185684,4.00E-04,0,5.68E-04,NA,3.2008399,2.82E-02,9.60E-03,0.101,0.271031327,3.76E-09,1.71E-03,7.88E-03,,
420,1344.02,Cherries,Berries,Italy,IT,0.534099324,0.36432425,4.29E-04,0,5.75E-04,NA,2.73594817,2.84E-02,3.55E-03,0.108,0.876716664,3.22E-09,1.73E-03,0.233141087,,
421,1373,"Chestnuts, in shell",Nuts,Italy,IT,3.085206568,1.893603508,2.40E-03,0,4.10E-03,NA,7.097635068,0.229376258,0,0.691,2.091343739,8.34E-09,1.39E-02,6.46E-02,,
422,1703,"Chick peas, dry",Pulses,Italy,IT,0.226449575,0.173523679,2.02E-04,0,1.72E-04,NA,5.970149254,3.76E-02,1.69E-03,6.80E-02,1.541284404,7.02E-09,0,1.30E-02,,
423,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Italy,IT,0.242412798,0.159962004,3.40E-04,0,2.65E-04,NA,0.405614023,1.05E-02,0,0.485,0.566123905,4.77E-10,6.41E-04,1.98E-02,,
424,1232,"Cucumbers and gherkins, averrage",Vegetables,Italy,IT,0.476877925,0.396302958,1.33E-03,0,1.50E-04,NA,0.349310566,3.18E-03,1.54E-03,6.10E-02,1.82E-03,4.68E-10,1.94E-04,1.70E-02,,
425,1351.01,Currants,Berries,Italy,IT,0.289148858,0.220929307,2.50E-04,0,2.23E-04,NA,1.931725108,8.00E-03,1.10E-02,0.108,0.314453125,2.27E-09,4.86E-04,0.231262266,,
426,1233,Eggplants (aubergines),Vegetables,Italy,IT,0.107099202,7.17E-02,2.26E-04,0,1.05E-04,NA,0.318349473,1.33E-03,4.76E-04,6.10E-02,2.51E-04,3.74E-10,8.08E-05,1.55E-02,,
427,1315,Figs,Fruits,Italy,IT,0.356010446,0.298215241,3.57E-04,0,1.73E-04,NA,1.836931883,4.94E-03,8.21E-03,0.108,0.903703704,2.16E-09,3.00E-04,6.48E-02,,
428,1330,Grapes,Fruits,Italy,IT,0.196790804,0.160775392,2.58E-04,0,1.04E-04,NA,0.863619013,1.12E-03,7.77E-04,3.30E-02,2.427924952,1.02E-09,6.83E-05,4.56E-02,,
429,1252,Green garlic,Vegetables,Italy,IT,0.4612118,0.252236506,5.24E-04,0,7.08E-04,NA,1.171882324,3.97E-02,1.21E-02,6.10E-02,0.117591211,1.38E-09,2.42E-03,3.28E-02,,
430,1374,"Hazelnuts, in shell",Nuts,Italy,IT,3.033856233,1.843286483,2.38E-03,0,4.10E-03,NA,6.679223607,0.229376258,0,0.691,2.091343739,7.85E-09,1.39E-02,4.34E-02,,
431,1352,Kiwi fruit,Fruits,Italy,IT,0.182073871,0.132541719,2.78E-04,0,1.51E-04,NA,0.491621298,3.93E-03,6.54E-03,0.108,0.719728627,5.78E-10,2.39E-04,2.05E-02,,
432,1254,Leeks and other alliaceous vegetables,Vegetables,Italy,IT,0.148820169,9.87E-02,2.73E-04,0,1.54E-04,NA,0.397977954,7.53E-03,1.51E-03,6.10E-02,0.119936571,4.68E-10,4.57E-04,4.20E-02,,
433,1322,Lemons and limes,Fruits,Italy,IT,0.275919247,0.175609164,3.43E-04,0,3.30E-04,NA,0.551277641,1.43E-02,4.13E-03,0.05,0.406336054,6.48E-10,8.71E-04,2.36E-02,,
434,1704,"Lentils, dry",Pulses,Italy,IT,0.416521305,0.359770638,2.85E-04,0,1.77E-04,NA,13.59804188,8.57E-02,0,6.80E-02,1.467391304,1.60E-08,0,2.96E-02,,
435,1214,Lettuce and chicory,Vegetables,Italy,IT,0.157098531,9.57E-02,2.66E-04,0,1.96E-04,NA,0.41524204,6.60E-03,1.33E-03,6.10E-02,0.555485312,4.88E-10,4.01E-04,1.62E-02,,
436,1441,Linseed,Seeds,Italy,IT,0.386460868,0.352020251,3.31E-04,0,9.00E-05,NA,14.99925004,0,0,0.297,1.187810731,1.76E-08,0,3.78E-02,,
437,1709.02,Lupins,Pulses,Italy,IT,0.239923559,0.180392503,2.13E-04,0,1.95E-04,NA,6.070539671,1.59E-02,2.67E-03,6.80E-02,2.041484716,7.13E-09,8.13E-05,1.50E-02,,
438,112,Maize (corn),"Cereals, incl feed",Italy,IT,0.293541059,0.170291902,3.21E-04,0,4.16E-04,NA,0.97208559,2.00E-02,5.60E-03,1.00E-01,0.186493086,1.14E-09,1.21E-03,2.14E-03,,
439,1199.02,Mixed grain,Cereals,Italy,IT,0.360825877,0.216191285,3.63E-04,0,4.90E-04,NA,2.686583203,2.36E-02,8.06E-03,0.101,0.314542484,3.16E-09,1.44E-03,6.62E-03,,
440,117,Oats,"Cereals, incl feed",Italy,IT,0.347984148,0.22485297,3.37E-04,0,4.14E-04,NA,4.30878475,1.81E-02,3.82E-03,0.111,0,5.06E-09,1.10E-03,1.04E-02,,
441,1450,Olives,"Oil crops, tree",Italy,IT,0.917298167,0.795281163,6.15E-04,0,3.80E-04,NA,5.076554441,1.62E-02,1.62E-02,0.284,0.305314984,5.97E-09,9.88E-04,0.445467652,,
442,1253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,Italy,IT,0.107369966,7.88E-02,2.42E-04,0,7.84E-05,NA,0.296930628,3.14E-03,9.60E-04,7.20E-02,4.71E-02,3.49E-10,1.91E-04,8.30E-03,,
443,1323,Oranges,Fruits,Italy,IT,0.257616103,0.164140911,3.31E-04,0,3.06E-04,NA,0.498674523,1.30E-02,3.74E-03,5.20E-02,0.199636497,5.86E-10,7.88E-04,2.53E-02,,
444,1241.9,"Other beans, green",Vegetables,Italy,IT,0.128039002,7.20E-02,2.10E-04,0,1.82E-04,NA,1.136596122,3.51E-03,1.56E-03,4.00E-03,0.292503596,1.34E-09,4.76E-05,2.81E-03,,
445,1359.9,"Other fruits, n.e.c.",Fruits,Italy,IT,0.57697966,0.428152853,5.18E-04,0,4.89E-04,NA,2.329373399,2.32E-02,1.18E-02,0.108,6.883924661,2.74E-09,1.41E-03,0.109599348,,
446,1449.9,"Other oil seeds, n.e.c.",Oil crops,Italy,IT,0.997422267,0.547159456,9.00E-04,0,1.55E-03,NA,5.905453686,8.52E-02,9.27E-03,0.297,0.974745237,6.94E-09,5.18E-03,1.49E-02,,
447,1709.9,Other pulses n.e.c.,Pulses,Italy,IT,0.220499168,0.161358985,2.04E-04,0,1.94E-04,NA,4.943593597,1.32E-02,2.67E-03,6.80E-02,1.731481481,5.81E-09,8.13E-05,1.22E-02,,
448,1290.9,"Other vegetables, fresh n.e.c.",Vegetables,Italy,IT,0.218142955,0.127867443,3.14E-04,0,2.96E-04,NA,0.668087466,1.25E-02,2.83E-03,6.10E-02,0.281105991,7.85E-10,7.57E-04,2.61E-02,,
449,1345,Peaches and nectarines,Fruits,Italy,IT,0.158368367,0.125623705,2.55E-04,0,9.21E-05,NA,0.544869455,4.90E-04,1.85E-03,0.108,0.86984544,6.40E-10,2.98E-05,2.88E-02,,
450,1342.01,Pears,Fruits,Italy,IT,0.177280182,0.132074821,2.73E-04,0,1.36E-04,NA,0.516469702,3.04E-03,4.14E-04,0.108,0.701963397,6.07E-10,1.85E-04,2.34E-02,,
451,1705,"Peas, dry","Pulses, incl feed",Italy,IT,0.178697291,0.126320082,1.69E-04,0,1.73E-04,NA,3.41962179,2.15E-02,1.69E-03,1.30E-02,0.494971205,4.02E-09,0,7.45E-03,,
452,1242,"Peas, green",Vegetables,Italy,IT,0.136582233,8.32E-02,2.13E-04,0,1.72E-04,NA,1.903695835,1.20E-02,1.24E-03,1.30E-02,9.86E-02,2.24E-09,0,4.70E-03,,
453,1346,Plums and sloes,Fruits,Italy,IT,0.227619329,0.163696753,3.08E-04,0,2.01E-04,NA,0.659181007,6.78E-03,9.92E-04,0.108,1.010564847,7.75E-10,4.12E-04,3.48E-02,,
454,1321,Pomelos and grapefruits,Fruits,Italy,IT,0.222655634,0.154355195,3.09E-04,0,2.16E-04,NA,0.551668743,7.72E-03,1.77E-03,0.107,0.154678927,6.48E-10,4.70E-04,2.37E-02,,
455,1510,Potatoes,Roots,Italy,IT,0.104307196,7.70E-02,2.33E-04,0,7.48E-05,NA,0.347334624,2.94E-03,1.19E-03,3.90E-02,8.88E-02,4.08E-10,1.79E-04,6.06E-03,,
456,1235,"Pumpkins, squash and gourds",Vegetables,Italy,IT,0.102741813,7.00E-02,2.22E-04,0,9.55E-05,NA,0.330007953,7.82E-04,0,6.10E-02,0.106890628,3.88E-10,4.75E-05,7.94E-03,,
457,1342.02,Quinces,Other,Italy,IT,0.190504399,0.151904557,1.86E-04,0,1.21E-04,NA,0.901526284,2.17E-03,3.17E-04,0.108,1.123500591,1.06E-09,1.32E-04,3.18E-02,,
458,1443,"Rape or colza seed, average",Oil crops,Italy,IT,0.959276851,0.509755058,8.84E-04,0,1.55E-03,NA,3.55396338,8.52E-02,9.27E-03,0.301,0.669888423,4.18E-09,5.18E-03,8.95E-03,,
459,1353.01,Raspberries,Berries,Italy,IT,0.437395302,0.269566181,3.87E-04,0,5.72E-04,NA,1.554006384,2.84E-02,3.55E-03,0.108,0.198900842,1.83E-09,1.73E-03,0.433863042,,
460,113,Rice,Cereals,Italy,IT,1.390732566,0.20452952,4.40E-04,0.04,3.41E-04,NA,1.495358408,1.91E-02,1.42E-02,0.725,6.41E-02,1.76E-09,8.64E-04,3.68E-03,,
461,116,Rye,"Cereals, incl feed",Italy,IT,0.296908562,0.186531512,2.85E-04,0,3.73E-04,NA,3.106014486,1.59E-02,1.17E-03,4.00E-03,0,3.65E-09,9.68E-04,7.88E-03,,
462,114,Sorghum,Cereals,Italy,IT,0.242533703,0.148016321,2.58E-04,0,3.18E-04,NA,1.485010306,1.31E-02,4.46E-03,3.30E-02,0.140469167,1.75E-09,7.94E-04,2.74E-03,,
463,1344.01,Sour cherries,Fruits,Italy,IT,0.646219899,0.475713563,5.64E-04,0,5.63E-04,NA,2.587087845,2.75E-02,3.57E-03,0.108,0.998900918,3.04E-09,1.67E-03,0.220456104,,
464,141,Soya beans,Pulses,Italy,IT,0.181203862,0.125050037,1.90E-04,0,1.85E-04,NA,2.81343019,7.09E-02,6.19E-03,8.90E-02,0.676147938,3.31E-09,5.13E-05,6.34E-03,,
465,1215,Spinach,Vegetables,Italy,IT,0.218821257,0.127319795,3.15E-04,0,3.01E-04,NA,0.628014469,1.27E-02,2.54E-03,6.10E-02,1.63E-04,7.38E-10,7.72E-04,2.33E-03,,
466,1354,Strawberries,Fruits,Italy,IT,0.155004659,0.105051057,2.67E-04,0,1.54E-04,NA,0.384691139,4.14E-03,1.76E-03,0.108,0.156898997,4.52E-10,2.52E-04,4.92E-02,,
467,1801,Sugar beet,Sugar crops,Italy,IT,8.33E-02,6.30E-02,2.13E-04,0,5.12E-05,NA,0.165741003,1.58E-03,3.60E-04,1.40E-02,4.51E-02,1.95E-10,9.58E-05,7.85E-04,,
468,1445,Sunflower seed,Oil crops,Italy,IT,0.687329447,0.389335687,6.02E-04,0,1.03E-03,NA,4.20744381,5.47E-02,3.37E-02,4.70E-02,2.33E-04,4.94E-09,3.33E-03,9.68E-03,,
469,1530,Sweet potatoes,Roots,Italy,IT,0.131629895,9.07E-02,2.52E-04,0,1.23E-04,NA,0.456792041,5.71E-03,2.28E-03,2.60E-02,8.88E-02,5.37E-10,3.47E-04,5.98E-03,,
470,1324,"Tangerines, mandarins, clementines",Fruits,Italy,IT,0.234659569,0.152519368,3.13E-04,0,2.67E-04,NA,0.47588138,1.07E-02,3.08E-03,5.20E-02,0.199636497,5.59E-10,6.49E-04,1.61E-02,,
471,1234,"Tomatoes, average",Vegetables,Italy,IT,0.272535597,0.214215289,7.27E-04,0,1.34E-04,NA,0.163345419,2.70E-03,7.46E-04,3.10E-02,8.91E-02,2.19E-10,1.64E-04,3.08E-02,,
472,1191,Triticale,Cereals,Italy,IT,0.307428217,0.184302988,3.07E-04,0,4.17E-04,NA,2.242866563,1.94E-02,7.52E-03,2.00E-02,0.227042195,2.64E-09,1.18E-03,5.69E-03,,
473,1929.02,"True hemp, raw or retted",Other,Italy,IT,0.185423644,0.102941314,2.16E-04,0,2.79E-04,NA,1.302358049,1.15E-02,3.91E-03,0.101,0.213888889,1.53E-09,6.97E-04,3.21E-03,,
474,1709.01,Vetches,Other,Italy,IT,0.238298856,0.181258871,1.84E-04,0,1.89E-04,NA,8.599931201,1.01E-03,2.02E-03,6.80E-02,3.286467487,1.01E-08,6.14E-05,2.12E-02,,
475,1376,"Walnuts, in shell",Nuts,Italy,IT,2.652102113,1.469214314,2.21E-03,0,4.09E-03,NA,3.568624652,0.229376258,0,0.691,2.091343739,4.19E-09,1.39E-02,3.25E-02,,
476,1221,Watermelons,Fruits,Italy,IT,0.148907002,9.96E-02,2.64E-04,0,1.52E-04,NA,0.214161837,4.03E-03,1.46E-03,0.108,0.319799378,2.87E-10,2.45E-04,6.96E-03,,
477,111,"Wheat, average","Cereals, incl feed",Italy,IT,0.354540635,0.208092082,3.41E-04,0,4.99E-04,NA,2.532081472,2.35E-02,2.15E-03,0.02,0.10403672,2.98E-09,1.43E-03,6.24E-03,,
478,1491.01,Oil palm fruit,"Oil crops, tree",Malaysia,MY,0.909203504,0.81892585,2.88E-04,0,2.99E-04,NA,0.530989052,5.31E-03,2.39E-03,0,7.10E-02,1.17E-09,3.23E-04,0.12466561,,
479,1449.9,"Other oil seeds, n.e.c.",Oil crops,Malaysia,MY,11.1320935,10.20570422,1.13E-03,0,3.27E-03,NA,7.927573687,8.52E-02,9.27E-03,0.374,0.974745237,1.75E-08,5.18E-03,9.25E-02,,
480,1355.01,Blueberries,Berries,Morocco,MA,0.587756803,0.402668338,6.81E-04,0,6.04E-04,NA,2.246716424,2.84E-02,3.55E-03,0.99,5.47E-02,4.45E-10,1.73E-03,1.707459548,,
481,1229,Cantaloupes and other melons,Fruits,Morocco,MA,0.444359828,0.370099473,9.35E-04,0,1.70E-04,NA,0.326947183,4.41E-03,1.60E-03,0.99,0.534839249,6.47E-11,2.68E-04,4.92E-02,,
482,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Morocco,MA,0.239802969,0.176018098,3.73E-04,0,1.93E-04,NA,0.231225955,6.01E-03,0,0.143,0.566123905,4.58E-11,3.65E-04,5.22E-02,,
483,1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,Morocco,MA,0.35311283,0.309887814,6.91E-04,0,8.29E-05,NA,1.544740314,2.94E-03,1.19E-03,4.10E-02,0.162962963,3.06E-10,1.79E-04,9.37E-02,,
484,1699,"Other stimulant, spice and aromatic crops, n.e.c.",Stimulants,Morocco,MA,0.574532177,0.519606234,3.41E-04,0,1.64E-04,NA,10.47142349,3.99E-03,0,0.143,0.566156588,2.07E-09,2.43E-04,2.363923852,,
485,1235,"Pumpkins, squash and gourds",Vegetables,Morocco,MA,0.30728662,0.260285057,6.57E-04,0,1.00E-04,NA,0.402476033,7.82E-04,0,5.40E-02,0.106890628,7.97E-11,4.75E-05,4.48E-02,,
486,1324,"Tangerines, mandarins, clementines",Fruits,Morocco,MA,0.468493725,0.366842334,8.28E-04,0,2.82E-04,NA,0.538597514,1.07E-02,3.08E-03,0.291,0.199636497,1.07E-10,6.49E-04,8.43E-02,,
487,1234,"Tomatoes, average",Vegetables,Morocco,MA,0.407029893,0.343608151,8.73E-04,0,1.37E-04,NA,0.111224412,2.70E-03,7.46E-04,5.10E-02,0.129441538,2.46E-11,1.64E-04,9.71E-02,,
488,1211,Asparagus,Vegetables,Netherlands,NL,0.321317405,0.166539185,2.77E-04,0,5.37E-04,NA,1.621029289,1.21E-02,2.42E-03,2.40E-02,4.71E-02,4.13E-11,7.34E-04,0.117103156,,
489,115,"Barley, average","Cereals, incl feed",Netherlands,NL,0.41378393,0.177305928,2.93E-04,0,8.34E-04,NA,1.46823043,2.05E-02,3.05E-03,7.00E-03,0.314456728,3.74E-11,1.25E-03,4.81E-03,,
490,1355.01,Blueberries,Berries,Netherlands,NL,0.549498255,0.230189969,3.88E-04,0,1.13E-03,NA,0.986117439,2.84E-02,3.55E-03,0.19,5.47E-02,2.51E-11,1.73E-03,0.209142689,,
491,1702,"Broad beans and horse beans, dry","Pulses, incl feed",Netherlands,NL,0.178382757,0.108410429,1.52E-04,0,2.40E-04,NA,2.004932133,5.82E-03,2.02E-03,9.00E-03,1.052256313,5.11E-11,6.14E-05,5.64E-03,,
492,1251,Carrots and turnips,Vegetables,Netherlands,NL,9.66E-02,7.05E-02,1.74E-04,0,7.68E-05,NA,0.164769619,1.33E-03,4.76E-04,2.40E-02,0.619652841,4.20E-12,8.08E-05,3.04E-03,,
493,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Netherlands,NL,0.138798318,9.64E-02,2.06E-04,0,1.33E-04,NA,3.63E-02,9.43E-04,0,0.285,0.566123905,9.24E-13,5.73E-05,2.28E-03,,
494,1232,"Cucumbers and gherkins, averrage",Vegetables,Netherlands,NL,1.388419532,1.192402942,4.19E-03,0,2.61E-04,NA,1.47E-02,3.18E-03,1.54E-03,2.40E-02,1.82E-03,4.57E-13,1.94E-04,9.26E-04,,
495,1351.01,Currants,Berries,Netherlands,NL,0.242341624,0.129576479,2.27E-04,0,3.88E-04,NA,0.71551845,8.00E-03,1.10E-02,0.19,0.314453125,1.82E-11,4.86E-04,0.110700006,,
