no.csv,Code,Name,Category,Country_name,Country_code,Carbon_Footprint,Carbon_Dioxide,Methane_fossil,Methane_bio,Nitrous_Oxide,HFC,Land,N_input,P_input,Water,Pesticides,Biodiversity,Ammonia,Labour,Animal_Welfare,Antibiotics
28,1445,Sunflower seed,Oil crops,Bulgaria,BG,0.699626391,0.396777155,5.80E-04,0,1.05E-03,NA,4.298708668,5.59E-02,3.44E-02,1.20E-02,0.603464294,2.01E-09,3.40E-03,3.10E-02,,
29,111,"Wheat, average","Cereals, incl feed",Bulgaria,BG,0.344806812,0.199460997,3.08E-04,0,4.99E-04,NA,1.947761049,2.35E-02,2.15E-03,1.00E-03,0.178703633,9.10E-10,1.43E-03,1.51E-02,,
30,1701,"Beans, dry",Pulses,Canada,CA,0.432183053,0.208916632,3.12E-04,0,7.84E-04,NA,4.173030538,2.71E-02,5.56E-03,6.00E-03,0.417303054,7.03E-11,1.01E-03,2.80E-03,,
31,1703,"Chick peas, dry",Pulses,Canada,CA,0.273135187,0.175530847,1.76E-04,0,3.38E-04,NA,6.50702759,4.10E-02,1.69E-03,1.00E-03,0.650702759,1.10E-10,0,4.36E-03,,
32,1704,"Lentils, dry",Pulses,Canada,CA,0.312885109,0.214427742,1.95E-04,0,3.39E-04,NA,7.019612798,0,0,9.00E-03,0.70196128,1.18E-10,0,4.70E-03,,
33,1441,Linseed,Seeds,Canada,CA,0.25869719,0.207019266,2.16E-04,0,1.66E-04,NA,7.56177974,0,0,0.124,1.187810731,1.27E-10,0,5.86E-03,,
34,1705,"Peas, dry","Pulses, incl feed",Canada,CA,0.236075752,0.137661919,1.59E-04,0,3.43E-04,NA,4.264865188,2.69E-02,1.69E-03,1.00E-03,0.426486519,7.18E-11,0,2.86E-03,,
35,1311,Avocados,Vegetables,Chile,CL,0.533114876,0.367558762,5.86E-04,0,5.43E-04,NA,1.84847667,2.51E-02,1.42E-02,0.212,1.419630083,6.92E-10,1.53E-03,0.452390635,,
36,1330,Grapes,Fruits,Chile,CL,0.28403685,0.245989145,3.24E-04,0,1.04E-04,NA,0.751300125,9.77E-04,6.76E-04,5.00E-03,0.392178665,2.81E-10,5.94E-05,0.183616248,,
37,1352,Kiwi fruit,Fruits,Chile,CL,0.308113688,0.251188142,4.11E-04,0,1.64E-04,NA,0.531827199,4.25E-03,7.07E-03,0.281,7.39E-02,1.99E-10,2.59E-04,0.102451192,,
38,1346,Plums and sloes,Fruits,Chile,CL,0.314599277,0.24480251,4.27E-04,0,2.09E-04,NA,0.408514087,6.78E-03,9.92E-04,0.281,1.010564847,1.53E-10,4.12E-04,1.00E-01,,
39,1701,"Beans, dry",Pulses,China,CN,0.516363553,0.283579098,6.17E-04,0,7.85E-04,NA,5.715984178,3.10E-02,5.56E-03,0,1.052455134,1.10E-09,1.01E-03,5.77E-02,,
40,1192,Buckwheat,Seeds,China,CN,1.388275668,0.680497532,1.31E-03,0,2.45E-03,NA,12.39433827,8.52E-02,9.27E-03,0.107,0.974745237,2.39E-09,5.18E-03,0.10602117,,
41,1373,"Chestnuts, in shell",Nuts,China,CN,3.162234043,1.332592751,2.63E-03,0,6.41E-03,NA,1.74346028,0.229376258,0,9.10E-02,2.091343739,3.36E-10,1.39E-02,7.35E-02,,
42,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,China,CN,0.334405913,0.18810669,5.55E-04,0,4.75E-04,NA,0.448568081,1.17E-02,0,0.109,0.566123905,8.64E-11,7.09E-04,0.101264244,,
43,1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,China,CN,0.296499793,0.228911395,1.10E-03,0,1.28E-04,NA,0.67387806,2.94E-03,1.19E-03,8.00E-03,0.162962963,1.30E-10,1.79E-04,4.09E-02,,
44,1252,Green garlic,Vegetables,China,CN,0.721146456,0.374779416,1.42E-03,0,1.11E-03,NA,0.402339362,3.97E-02,1.21E-02,5.00E-03,0.117591211,7.75E-11,2.42E-03,5.21E-02,,
45,1704,"Lentils, dry",Pulses,China,CN,0.303759171,0.197674642,4.59E-04,0,3.38E-04,NA,3.966176447,2.50E-02,0,1.00E-03,1.467391304,7.64E-10,0,4.00E-02,,
46,118,Millet,Cereals,China,CN,0.606372971,0.307098989,7.33E-04,0,1.02E-03,NA,3.420019426,3.01E-02,1.03E-02,0.04,0.180013623,6.58E-10,1.83E-03,2.93E-02,,
47,1359.9,"Other fruits, n.e.c.",Fruits,China,CN,0.971409681,0.667597552,1.49E-03,0,9.51E-04,NA,2.910530299,2.90E-02,1.47E-02,4.70E-02,6.883924661,5.60E-10,1.76E-03,0.634146341,,
48,1449.9,"Other oil seeds, n.e.c.",Oil crops,China,CN,1.343825269,0.636927031,1.29E-03,0,2.45E-03,NA,7.617074434,8.52E-02,9.27E-03,0.107,0.974745237,1.47E-09,5.18E-03,8.88E-02,,
49,1699,"Other stimulant, spice and aromatic crops, n.e.c.",Stimulants,China,CN,0.239167375,0.159689353,1.92E-04,0,2.70E-04,NA,3.00920214,3.99E-03,0,4.30E-02,0.566156588,5.79E-10,2.43E-04,0.679327383,,
50,1290.9,"Other vegetables, fresh n.e.c.",Vegetables,China,CN,0.438777969,0.26762723,1.18E-03,0,4.98E-04,NA,0.618036276,1.25E-02,2.83E-03,5.00E-03,0.281105991,1.19E-10,7.57E-04,0.111617351,,
51,1321,Pomelos and grapefruits,Fruits,China,CN,0.330474489,0.2314522,1.10E-03,0,2.42E-04,NA,0.206367085,2.89E-03,6.60E-04,3.90E-02,0.154678927,3.97E-11,1.76E-04,4.10E-02,,
52,1530,Sweet potatoes,Roots,China,CN,0.320458003,0.23225877,1.12E-03,0,2.01E-04,NA,0.454433912,5.68E-03,2.27E-03,4.00E-03,0.156520228,8.75E-11,3.45E-04,2.76E-02,,
53,1376,"Walnuts, in shell",Nuts,China,CN,3.269673784,1.437870506,2.68E-03,0,6.42E-03,NA,2.618897968,0.229376258,0,9.10E-02,2.091343739,5.04E-10,1.39E-02,0.11036036,,
54,1312,Bananas,Fruits,Costa Rica,CR,8.02E-02,4.91E-02,1.43E-04,0,9.85E-05,NA,0.19313192,0,1.93E-03,6.30E-02,1.228319011,1.43E-09,0,4.53E-02,,
55,1229,Cantaloupes and other melons,Fruits,Costa Rica,CR,0.192059413,0.107552453,1.90E-04,0,2.89E-04,NA,0.378396296,5.11E-03,1.85E-03,2.00E-02,0.534839249,2.80E-09,3.11E-04,5.69E-02,,
56,1318,Pineapples,Fruits,Costa Rica,CR,0.127506972,6.87E-02,1.58E-04,0,1.98E-04,NA,0.134215541,2.68E-03,1.34E-03,6.00E-03,1.228320908,9.93E-10,1.63E-04,3.15E-02,,
57,1312,Bananas,Fruits,Cote d'Ivoire,CI,0.210966608,0.159320533,5.53E-04,0,1.29E-04,NA,0.225426993,7.66E-04,0,2.00E-03,5.55E-02,6.52E-11,4.66E-05,5.29E-02,,
58,1372,"Cashew nuts, in shell",Nuts,Cote d'Ivoire,CI,2.12249188,1.24611467,1.29E-03,0,3.07E-03,NA,NA,NA,NA,NA,2.822299652,6.85E-09,NA,4.345066755,,
59,1640,Cocoa beans,Stimulants,Cote d'Ivoire,CI,1.420789463,0.861734502,5.57E-04,0,1.99E-03,NA,20.35167698,5.09E-02,1.02E-02,0,16.9732986,5.89E-09,3.09E-03,4.778166721,,
60,1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,Cote d'Ivoire,CI,0.249489029,0.193847646,5.79E-04,0,1.41E-04,NA,0.594693667,2.94E-03,1.19E-03,1.00E-03,0.162962963,1.72E-10,1.79E-04,3.61E-02,,
