"Code","Name","Category","Country_name","Country_code","CO2_rm_fert_prod","CO2_rm_cap_goods","CO2_field_ops","CO2_gh","CO2_irr","CO2_postharvest","CO2_rm_LUC","CH4_fossil_rm_fert_prod","CH4_fossil_rm_cap_goods","CH4_field_ops","CH4_gh","CH4_irr","CH4_postharvest","CH4_bio_rm_soils_dir","CH4_bio_rm_ent_ferm","CH4_bio_rm_manure","N2O_rm_fert_prod","N2O_rm_cap_goods","N2O_soils_min_fert","N2O_soils_crop_res","N2O_soils_indirect","N2O_field_ops","N2O_gh","N2O_irr","N2O_postharvest","N2O_rm_manure","Land","N_input","P_input","Water","Pesticides","Biodiversity","Ammonia"
"0115","Barley","Cereals, incl feed","Brazil","BR",0.0969126722347845,0.027,0.0529482019614966,0,2.86493826085294e-07,0.038415165018306,0.395326625855672,0,9.5e-05,2.34542680711951e-05,0,8.464191153936e-10,3.2157852151338e-05,0,0,0,2.68809074781039e-05,1.1e-06,0.000406482970958089,0.00019908944,6.05572410958089e-05,1.42273883036687e-06,0,1.2315171596448e-11,1.868203937e-06,0,2.75181895232749,0.0258670981518784,0.00192627326662924,3.6274224e-06,0.331503082672262,3.03789415254689e-10,0.00382079514007538
"0115","Barley","Cereals, incl feed","Denmark","DK",0.095923455349377,0.027,0.0335565033589352,0,0,0.040440240704548,0.00143248890702816,0,9.5e-05,1.48643994726158e-05,0,0,2.2767488329408e-05,0,0,0,4.33346937593971e-05,1.1e-06,0.000773935340622238,0.000119453664,8.93389004622238e-05,9.01676328401314e-07,0,0,1.550839283e-06,0,1.74399542375601,0.0307815192292935,0.00340079107632422,0,0.135159645341091,6.21821243373343e-12,0.00181838347417504
"0115","Barley","Cereals, incl feed","France","FR",0.0500916782797011,0.027,0.0322511495062051,0,2.14172233739949e-07,0.03477185390735,0.00142680370396456,0,9.5e-05,1.42861717320031e-05,0,6.327517597886e-10,1.7947524263628e-05,0,0,0,1.48476732581079e-05,1.1e-06,0.000396146953662492,0.000119453664,5.15600617662492e-05,8.6660096144176e-07,0,9.206368757548e-12,1.33285388142e-06,0,1.67615369658936,0.01575584474794,0.00117330758761255,2.7117274e-06,0.378180166408539,2.01497820214561e-11,0.00151608279480189
"0115","Barley","Cereals, incl feed","Germany","DE",0.0449809504115892,0.027,0.0287029909570167,0,3.26422856216014e-05,0.042299667932672,0.00172216000733945,0,9.5e-05,1.27144571375721e-05,0,9.64385686693138e-08,3.0278621340888e-05,0,0,0,1.49552156590464e-05,1.1e-06,0.000352564252831873,0.000119453664,4.72017916831873e-05,7.71260557854507e-07,0,1.40315536367128e-09,1.584746006e-06,0,1.49174913553138,0.0140224418739949,0.00104422439487196,0.0004132981142,0.341339501218759,1.36821682915835e-11,0.00115765213590243
"0115","Barley","Cereals, incl feed","Greece","GR",0.11185874155109,0.027,0.0675194924413627,0,0,0.045828859604042,0.0023059550807409,0,9.5e-05,2.990885841416e-05,0,0,3.7954324525698e-05,0,0,0,1.05371357003096e-05,1.1e-06,0.000518346664634721,0.00019908944,7.17436104634721e-05,1.81427508667518e-06,0,0,1.6100212846e-06,0,3.50911668514801,0.0329856968403913,0.00245638167960361,0,0.370771865306065,1.65213527785294e-10,0.00431716349068335
"0115","Barley","Cereals, incl feed","Hungary","HU",0.0535175091557594,0.027,0.0347512918967928,0,0,0.04177263695601,0.00627808350643717,0,9.5e-05,1.53936505069697e-05,0,0,3.4620999775328e-05,0,0,0,2.08404554245507e-05,1.1e-06,0.000426856674305571,0.000119453664,5.46310338305571e-05,9.33780762242587e-07,0,0,1.4758894788e-06,0,1.80609086081903,0.0169772540916988,0.00126426360257332,0,0.2387843563634,2.26804674792707e-11,0.00122371001490015
"0115","Barley","Cereals, incl feed","Ireland","IE",0.0407449929366896,0.027,0.0260383091821435,0,0,0.0408670402024948,0.00434505738223088,0,9.5e-05,1.15340929635865e-05,0,0,2.09922809419311e-05,0,0,0,1.42900987499634e-05,1.1e-06,0.000319833463890756,0.000119453664,4.39287127890756e-05,6.99659519646637e-07,0,0,1.457486617e-06,0,1.35326054595943,0.0127206491320187,0.000947282382171604,0,0.494299119298037,5.94892987244085e-12,0.00102054190700288
"0115","Barley","Cereals, incl feed","Italy","IT",0.0778945111004151,0.027,0.0460733796274125,0,0,0.040589126687164,0.0185513353047189,0,9.5e-05,2.04089535941765e-05,0,0,4.5408968802156e-05,0,0,0,3.46044228265834e-06,1.1e-06,0.000565928013847175,0.000119453664,6.85381677847175e-05,1.23800967386619e-06,0,0,1.498533912e-06,0,2.3945213351851,0.0225085005507399,0.00167616493462957,0,0.253004166467123,1.28856664783665e-10,0.00348132674750867
"0115","Barley","Cereals, incl feed","Netherlands (Kingdom of the)","NL",0.0444060993202327,0.027,0.0287394321766562,0,1.36800051961635e-06,0.042964237864228,0,0,9.5e-05,1.27305993690852e-05,0,4.041629118133e-09,3.2215449062452e-05,0,0,0,1.73482804959206e-05,1.1e-06,0.000353011867207451,0.000119453664,4.72465531207451e-05,7.7223974763407e-07,0,5.880462198194e-11,1.568414641e-06,0,1.49364305515725,0.0140402447184782,0.00104555013861008,1.7320847e-05,0.250552050473186,1.2094539383455e-11,0.000860120340032452
"0115","Barley","Cereals, incl feed","New Zealand","NZ",0.0414735199252478,0.027,0.026335248773651,0,0,0.0427312775784927,0.271652732718768,0,9.5e-05,1.16656271899089e-05,0,0,3.58084194727903e-05,0,0,0,1.18190742431897e-06,1.1e-06,0.000323480828911803,0.000119453664,4.42934492911803e-05,7.07638402242467e-07,0,0,1.762810929736e-06,0,1.36869306236861,0.0128657147862649,0.000958085143658024,0,0.164882202378746,1.25196122722333e-11,0.0021526808760773
