RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.02.15.001,Common mushrooms,Poland,PL,0.088,0.07,01270
A.02.15.001,Common mushrooms,Spain,ES,0.011,0.07,01270
A.02.16.002,Honey mushroom,China,CN,0.013,0.07,01270
A.02.16.002,Honey mushroom,Germany,DE,0.013,0.07,01270
A.02.16.002,Honey mushroom,Hungary,HU,0.77,0.07,01270
A.02.16.002,Honey mushroom,Netherlands,NL,0.105,0.07,01270
A.02.16.002,Honey mushroom,Poland,PL,0.088,0.07,01270
A.02.16.002,Honey mushroom,Spain,ES,0.011,0.07,01270
A.02.16.003,Ceps,China,CN,0.013,0.07,01270
A.02.16.003,Ceps,Germany,DE,0.013,0.07,01270
A.02.16.003,Ceps,Hungary,HU,0.77,0.07,01270
A.02.16.003,Ceps,Netherlands,NL,0.105,0.07,01270
A.02.16.003,Ceps,Poland,PL,0.088,0.07,01270
A.02.16.003,Ceps,Spain,ES,0.011,0.07,01270
A.02.16.004,Truffles,China,CN,0.013,0.07,01270
A.02.16.004,Truffles,Germany,DE,0.013,0.07,01270
A.02.16.004,Truffles,Hungary,HU,0.77,0.07,01270
A.02.16.004,Truffles,Netherlands,NL,0.105,0.07,01270
A.02.16.004,Truffles,Poland,PL,0.088,0.07,01270
A.02.16.004,Truffles,Spain,ES,0.011,0.07,01270
A.02.16.005,Morels,China,CN,0.013,0.07,01270
A.02.16.005,Morels,Germany,DE,0.013,0.07,01270
A.02.16.005,Morels,Hungary,HU,0.77,0.07,01270
A.02.16.005,Morels,Netherlands,NL,0.105,0.07,01270
A.02.16.005,Morels,Poland,PL,0.088,0.07,01270
A.02.16.005,Morels,Spain,ES,0.011,0.07,01270
A.02.16.006,Chanterelles,China,CN,0.013,0.07,01270
A.02.16.006,Chanterelles,Germany,DE,0.013,0.07,01270
A.02.16.006,Chanterelles,Hungary,HU,0.77,0.07,01270
A.02.16.006,Chanterelles,Netherlands,NL,0.105,0.07,01270
A.02.16.006,Chanterelles,Poland,PL,0.088,0.07,01270
A.02.16.006,Chanterelles,Spain,ES,0.011,0.07,01270
A.02.16.007,Saffron milk cap,China,CN,0.013,0.07,01270
A.02.16.007,Saffron milk cap,Germany,DE,0.013,0.07,01270
A.02.16.007,Saffron milk cap,Hungary,HU,0.77,0.07,01270
A.02.16.007,Saffron milk cap,Netherlands,NL,0.105,0.07,01270
A.02.16.007,Saffron milk cap,Poland,PL,0.088,0.07,01270
A.02.16.007,Saffron milk cap,Spain,ES,0.011,0.07,01270
A.02.05.022,Alfalfa sprouts,Argentina,AR,0.021,0.06,01709.90
A.02.05.022,Alfalfa sprouts,Canada,CA,0.115,0.06,01709.90
A.02.05.022,Alfalfa sprouts,China,CN,0.237,0.06,01709.90
A.02.05.022,Alfalfa sprouts,Egypt,EG,0.034,0.06,01709.90
A.02.05.022,Alfalfa sprouts,France,FR,0.015,0.06,01709.90
A.02.05.022,Alfalfa sprouts,Hungary,HU,0.108,0.06,01709.90
A.02.05.022,Alfalfa sprouts,USA,US,0.325,0.06,01709.90
A.02.05.022,Alfalfa sprouts,Ethiopia,ET,0.145,0.06,01709.90
A.04.02.014,Carobs,Argentina,AR,0.021,0.06,01709.90
A.04.02.014,Carobs,Canada,CA,0.115,0.06,01709.90
A.04.02.014,Carobs,China,CN,0.237,0.06,01709.90
A.04.02.014,Carobs,Egypt,EG,0.034,0.06,01709.90
A.04.02.014,Carobs,France,FR,0.015,0.06,01709.90
A.04.02.014,Carobs,Hungary,HU,0.108,0.06,01709.90
A.04.02.014,Carobs,USA,US,0.325,0.06,01709.90
A.04.02.014,Carobs,Ethiopia,ET,0.145,0.06,01709.90
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Argentina,AR,0.049,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Sri Lanka,LK,0.166,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",China,CN,0.187,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",India,IN,0.187,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Indonesia,ID,0.093,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Iran,IR,0.015,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Kenya,KE,0.185,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Malawi,MW,0.04,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Zimbabwe,ZW,0.012,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",United Republic of Tanzania,TZ,0.026,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Turkey,TR,0.018,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Uganda,UG,0.022,0.07,01620
A.06.02.005,Pigeon fresh meat,Argentina,AR,0.022,0.057,21170.01
A.06.02.005,Pigeon fresh meat,China,CN,0.147,0.057,21170.01
A.06.02.005,Pigeon fresh meat,France,FR,0.214,0.057,21170.01
A.06.02.005,Pigeon fresh meat,Hungary,HU,0.29,0.057,21170.01
A.06.02.005,Pigeon fresh meat,Croatia,HR,0.016,0.057,21170.01
A.06.02.005,Pigeon fresh meat,Italy,IT,0.03,0.057,21170.01
A.06.02.005,Pigeon fresh meat,Republic of Korea,KR,0.02,0.057,21170.01
A.06.02.005,Pigeon fresh meat,Lithuania,LT,0.015,0.057,21170.01
A.06.02.005,Pigeon fresh meat,New Zealand,NZ,0.194,0.057,21170.01
A.06.02.005,Pigeon fresh meat,Norway,NO,0.013,0.057,21170.01
A.06.02.005,Pigeon fresh meat,Poland,PL,0.04,0.057,21170.01
