Food code,Component code,Facet(s) code,Percentage,Probability,Reference link (1),Reference link (2)
A.01.02.001,A.01.02.001,F28.A07XD,100.00,1.00,,
A.01.02.001.001,A.01.02.001,F28.A0C03$F02.A068A,100.00,1.00,,
A.01.02.001.002,A.01.02.001.002,F28.A07XD,100.00,1.00,,
A.01.02.001.003,A.01.02.001.003,F28.A07XD,100.00,1.00,,
A.01.02.001.004,A.01.02.001.004,F28.A07XD,100.00,1.00,,
A.01.02.002.001,A.01.02.002.001,F28.A07XD,100.00,1.00,,
A.01.02.002.002,A.01.02.002.001,F28.A0BZV,100.00,1.00,,
A.01.02.003,A.01.02.003,F28.A07XD,100.00,1.00,,
A.01.02.004,A.01.02.004,F28.A07XD,100.00,1.00,,
A.01.02.005,A.01.02.005,F28.A07XD,100.00,1.00,,
A.01.02.005.001,A.01.02.005,F28.A07XD,100.00,1.00,,
A.01.02.005.002,A.01.02.005,F28.A07XD,100.00,1.00,,
A.01.02.006,A.01.02.006,F28.A07XD,100.00,1.00,,
A.01.02.007,A.01.02.007,F28.A07XD,100.00,1.00,,
A.01.02.008,A.01.02.008,F28.A07XD,100.00,1.00,,
A.01.02.009.001,A.01.02.009,F28.A07XD,100.00,1.00,,
A.01.02.009.002,A.01.02.009,F28.A0BZV,100.00,1.00,,
A.01.02.009.003,A.01.02.009.001,To be further disaggregated (d),25.00,1.00,,
A.01.02.009.003,A.01.02.009.002,To be further disaggregated (d),25.00,1.00,,
A.01.02.009.003,A.01.02.009.006,To be further disaggregated (d),25.00,1.00,,
A.01.02.009.003,A.01.02.009.007,F28.A07XD,25.00,1.00,,
A.01.02.009.004,A.01.02.009,F28.A0BZV$F28.A07LK,100.00,1.00,,
A.01.02.009.006,A.01.02.009,F28.A0BZV,100.00,1.00,,
A.01.02.009.007,A.01.02.009.007,F28.A07GG,100.00,1.00,,
A.01.02.010.001,A.01.02.001.002,F28.A07XD,20.00,1.00,,
A.01.02.010.001,A.01.02.001.003,F28.A07XD,20.00,1.00,,
A.01.02.010.001,A.01.02.002.001,F28.A07XD,20.00,1.00,,
A.01.02.010.001,A.01.02.004,F28.A07XD,20.00,1.00,,
A.01.02.010.001,A.01.02.008,F28.A07XD,20.00,1.00,,
A.01.03.001.001,A.01.02.001,F28.A0C03$F02.A067Z$F10.A0EZZ,100.00,1.00,,
A.01.03.001.002,A.01.02.001.002,F28.A0C03$F02.A067Z$F10.A07XK,100.00,1.00,,
A.01.03.001.003,A.01.02.001,F28.A0C03$F02.A067Z$F10.A07XK,100.00,1.00,,
A.01.03.001.004,A.01.02.001,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,
A.01.03.001.005,A.01.02.001,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,
A.01.03.001.006,I.01.03.008.008,To be further disaggregated (d),100.00,1.00,,
A.01.03.001.007,A.01.03.001.012,To be further disaggregated (d),100.00,1.00,,
A.01.03.001.008,A.01.02.001,F28.A0C03$F02.A067Y,100.00,1.00,,
A.01.03.001.009,A.01.02.001.002,F28.A07LA,100.00,1.00,,
A.01.03.001.012,A.01.02.001.002,F28.A0C03$F02.A068C,100.00,1.00,,
A.01.03.001.013,A.01.02.001.003,F28.A0C03$F02.A068C,100.00,1.00,,
A.01.03.001.014,A.01.02.001,F28.A0C0B,100.00,1.00,,
A.01.03.002.002,A.01.02.004,F28.A0C03$F02.A067Z$F10.A07XK,100.00,1.00,,
A.01.03.002.003,A.01.02.004,F28.A0C03$F02.A067Z$F10.A0EZZ,100.00,1.00,,
A.01.03.002.004,A.01.02.004,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,
A.01.03.002.005,A.01.02.004,F28.A07LA,100.00,1.00,,
A.01.03.002.006,A.01.02.004,F28.A0C0B,100.00,1.00,,
A.01.03.002.007,A.01.02.004,F28.A0C03$F02.A067Y,100.00,1.00,,
A.01.03.003.001,A.01.02.006,F28.A0C03$F02.A067Z,100.00,1.00,,
A.01.03.003.002,A.01.02.006,F28.A07LA,100.00,1.00,,
A.01.03.004.001,A.01.02.003,F28.A0C03$F02.A067Z,100.00,1.00,,
A.01.03.004.002,A.01.02.003,F28.A0C03$F02.A068C,100.00,1.00,,
A.01.03.004.003,A.01.02.003,F28.A0C0B,100.00,1.00,,
A.01.03.004.004,A.01.02.003,F28.A0C03$F02.A068C,100.00,1.00,,
A.01.03.005.001,A.01.02.008,F28.A0C03$F02.A067Y,100.00,1.00,,
A.01.03.005.002,A.01.02.008,F28.A0C03$F02.A067Z,100.00,1.00,,
A.01.03.005.003,A.01.02.008,F28.A07LA,100.00,1.00,,
A.01.03.006.001,A.01.02.009,F28.A0C03$F02.A067Z,100.00,1.00,,
A.01.03.006.003,A.01.02.009,F28.A0C03$F02.A067Z,100.00,1.00,,
A.01.03.006.004,A.01.02.009,F28.A0C0B,100.00,1.00,,
A.01.03.007.003,A.01.02.005,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,
A.01.03.008.002,A.01.02.002.001,F28.A0C03$F02.A067Z,100.00,1.00,,
A.01.03.008.003,A.01.02.001.002,F28.A0C03$F02.A067Z$F10.A06HR,100.00,1.00,,
A.01.03.008.004,A.01.03.001.003,To be further disaggregated (d),25.00,1.00,,
A.01.03.008.004,A.01.03.002.003,To be further disaggregated (d),25.00,1.00,,
A.01.03.008.004,A.01.03.005.002,To be further disaggregated (d),25.00,1.00,,
A.01.03.008.004,A.01.03.008.002,To be further disaggregated (d),25.00,1.00,,
A.01.03.008.005,A.01.02.007,F28.A0C03$F02.A067Z,100.00,1.00,,
A.01.03.008.006,A.01.02.007,F28.A07LA,100.00,1.00,,
A.01.04.001.001,A.16.10.001,F28.A07XD,1.14,1.00,http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,A.16.04.001,F28.A07XD,1.71,1.00,http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,A.11.04.017,To be further disaggregated (d),2.86,1.00,http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,A.15.01,F28.A07XD,20.00,1.00,http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.001,A.01.03.001.003,To be further disaggregated (d),74.29,1.00,http://allrecipes.co.uk/recipe/1239/ciabatta-bread.aspx,
A.01.04.001.002,A.01.04.001.018,To be further disaggregated (d),100.00,1.00,,
A.01.04.001.003,A.04.04.004,F28.A07XD,0.20,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,A.04.04.003,F28.A07XD,0.80,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,A.04.04.005,F28.A07XD,2.40,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,A.01.02.007,F28.A07XD,2.70,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,A.04.04.001,F28.A07XD,4.00,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.003,A.01.04.001.001,To be further disaggregated (d),89.90,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.001.004,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.001.004,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.001.004,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.001.004,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.001.004,A.01.03.001.001,To be further disaggregated (d),74.29,1.00,,
A.01.04.001.005,A.01.04.001.018,To be further disaggregated (d),100.00,1.00,,
A.01.04.001.006,A.04.04.004,F28.A07XD,0.20,1.00,,
A.01.04.001.006,A.04.04.003,F28.A07XD,0.80,1.00,,
A.01.04.001.006,A.04.04.005,F28.A07XD,2.40,1.00,,
A.01.04.001.006,A.01.02.007,F28.A07XD,2.70,1.00,,
A.01.04.001.006,A.04.04.001,F28.A07XD,4.00,1.00,,
A.01.04.001.006,A.01.04.001.004,To be further disaggregated (d),89.90,1.00,,
A.01.04.001.007,A.01.03.001.008,To be further disaggregated (d),2.30,1.00,http://www.gnpd.com/sinatra/recordpage/5568485/,
A.01.04.001.007,A.01.04.001.004,To be further disaggregated (d),97.70,1.00,http://www.gnpd.com/sinatra/recordpage/5568485/,
A.01.04.001.008,A.04.04.004,F28.A07XD,0.20,1.00,,
A.01.04.001.008,A.04.04.003,F28.A07XD,0.80,1.00,,
A.01.04.001.008,A.04.04.005,F28.A07XD,2.40,1.00,,
A.01.04.001.008,A.01.02.007,F28.A07XD,2.70,1.00,,
A.01.04.001.008,A.04.04.001,F28.A07XD,4.00,1.00,,
A.01.04.001.008,A.01.04.001.001,To be further disaggregated (d),89.90,1.00,,
A.01.04.001.009,A.01.02.001.001,To be further disaggregated (d),5.00,1.00,http://www.gnpd.com/sinatra/recordpage/5344573/,
A.01.04.001.009,A.01.04.001.004,To be further disaggregated (d),95.00,1.00,http://www.gnpd.com/sinatra/recordpage/5344573/,
A.01.04.001.010,A.16.04.001,F28.A07XD,0.60,1.00,,
A.01.04.001.010,A.16.10.001,F28.A07XD,1.40,1.00,,
A.01.04.001.010,A.11.04.017,To be further disaggregated (d),1.70,1.00,,
A.01.04.001.010,A.15.01,F28.A07XD,24.30,1.00,,
A.01.04.001.010,A.01.03.001.003,To be further disaggregated (d),72.00,1.00,,
A.01.04.001.012,A.04.04.004,F28.A07XD,0.20,1.00,,
A.01.04.001.012,A.04.04.003,F28.A07XD,0.80,1.00,,
A.01.04.001.012,A.04.04.005,F28.A07XD,2.40,1.00,,
A.01.04.001.012,A.01.02.007,F28.A07XD,2.70,1.00,,
A.01.04.001.012,A.04.04.001,F28.A07XD,4.00,1.00,,
A.01.04.001.012,A.01.04.001.001,To be further disaggregated (d),89.90,1.00,,
A.01.04.001.013,A.16.04.001,F28.A07XD,0.60,1.00,,
A.01.04.001.013,A.16.10.001,F28.A07XD,1.40,1.00,,
A.01.04.001.013,A.11.04.017,To be further disaggregated (d),1.70,1.00,,
A.01.04.001.013,A.15.01,F28.A07XD,24.30,1.00,,
A.01.04.001.013,A.01.03.001.001,To be further disaggregated (d),72.00,1.00,,
A.01.04.001.016,A.01.04.001.001,To be further disaggregated (d),100.00,1.00,,
A.01.04.001.017,A.01.04.001.004,To be further disaggregated (d),100.00,1.00,,
A.01.04.001.018,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.001.018,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.001.018,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.001.018,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.001.018,I.01.03.008.008,To be further disaggregated (d),74.29,1.00,,
A.01.04.002.001,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.002.001,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.002.001,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.002.001,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.002.001,A.01.03.002.002,To be further disaggregated (d),74.29,1.00,,
A.01.04.002.002,A.04.04.004,F28.A07XD,0.20,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,A.04.04.003,F28.A07XD,0.80,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,A.04.04.005,F28.A07XD,2.40,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,A.01.02.007,F28.A07XD,2.70,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,A.04.04.001,F28.A07XD,4.00,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.002,A.01.04.002.001,To be further disaggregated (d),89.90,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.002.003,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.002.003,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.002.003,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.002.003,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.002.003,A.01.03.002.004,To be further disaggregated (d),74.29,1.00,,
A.01.04.002.004,A.04.04.004,F28.A07XD,0.20,1.00,,
A.01.04.002.004,A.04.04.003,F28.A07XD,0.80,1.00,,
A.01.04.002.004,A.04.04.005,F28.A07XD,2.40,1.00,,
A.01.04.002.004,A.01.02.007,F28.A07XD,2.70,1.00,,
A.01.04.002.004,A.04.04.001,F28.A07XD,4.00,1.00,,
A.01.04.002.004,A.01.04.002.003,To be further disaggregated (d),89.90,1.00,,
A.01.04.002.005,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.002.005,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.002.005,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.002.005,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.002.005,A.01.03.002.002,To be further disaggregated (d),74.29,1.00,,
A.01.04.002.007,A.16.04.001,F28.A07XD,0.60,1.00,,
A.01.04.002.007,A.16.10.001,F28.A07XD,1.40,1.00,,
A.01.04.002.007,A.11.04.017,To be further disaggregated (d),1.70,1.00,,
A.01.04.002.007,A.15.01,F28.A07XD,24.30,1.00,,
A.01.04.002.007,A.01.03.002.004,To be further disaggregated (d),72.00,1.00,,
A.01.04.002.008,A.04.04.004,F28.A07XD,0.20,1.00,,
A.01.04.002.008,A.04.04.003,F28.A07XD,0.80,1.00,,
A.01.04.002.008,A.04.04.005,F28.A07XD,2.40,1.00,,
A.01.04.002.008,A.01.02.007,F28.A07XD,2.70,1.00,,
A.01.04.002.008,A.04.04.001,F28.A07XD,4.00,1.00,,
A.01.04.002.008,A.01.04.002.003,To be further disaggregated (d),89.90,1.00,,
A.01.04.002.009,A.01.04.002.001,To be further disaggregated (d),100.00,1.00,,
A.01.04.002.010,A.01.04.002.003,To be further disaggregated (d),100.00,1.00,,
A.01.04.003.001,A.11.04.013,To be further disaggregated (d),1.29,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.001,A.11.04.017,To be further disaggregated (d),1.29,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.001,A.16.04.001,F28.A07XD,1.50,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.001,A.16.10.001,F28.A07XD,1.50,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.001,A.10.01.001,To be further disaggregated (d),2.70,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.001,A.15.01,F28.A07XD,22.72,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.001,A.01.03.001.003,To be further disaggregated (d),32.50,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.001,A.01.03.002.002,To be further disaggregated (d),36.50,1.00,http://www.gnpd.com/sinatra/recordpage/1775006/,
A.01.04.003.002,A.11.04.013,To be further disaggregated (d),1.29,1.00,,
A.01.04.003.002,A.11.04.017,To be further disaggregated (d),1.29,1.00,,
A.01.04.003.002,A.16.04.001,F28.A07XD,1.50,1.00,,
A.01.04.003.002,A.16.10.001,F28.A07XD,1.50,1.00,,
A.01.04.003.002,A.10.01.001,To be further disaggregated (d),2.70,1.00,,
A.01.04.003.002,A.15.01,F28.A07XD,22.72,1.00,,
A.01.04.003.002,A.01.03.001.004,To be further disaggregated (d),32.50,1.00,,
A.01.04.003.002,A.01.03.002.004,To be further disaggregated (d),36.50,1.00,,
A.01.04.003.003,A.04.04.004,F28.A07XD,0.20,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.003,A.04.04.003,F28.A07XD,0.80,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.003,A.04.04.005,F28.A07XD,2.40,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.003,A.01.02.007,F28.A07XD,2.70,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.003,A.04.04.001,F28.A07XD,4.00,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.003,A.01.04.003.001,To be further disaggregated (d),89.90,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.004,A.01.04.003.001,To be further disaggregated (d),100.00,1.00,,
A.01.04.003.006,A.04.04.004,F28.A07XD,0.20,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.006,A.04.04.003,F28.A07XD,0.80,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.006,A.04.04.005,F28.A07XD,2.40,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.006,A.01.02.007,F28.A07XD,2.70,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.006,A.04.04.001,F28.A07XD,4.00,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.006,A.01.04.003.007,To be further disaggregated (d),89.90,1.00,http://www.gnpd.com/sinatra/recordpage/5482891/,
A.01.04.003.007,A.11.04.013,To be further disaggregated (d),1.29,1.00,,
A.01.04.003.007,A.11.04.017,To be further disaggregated (d),1.29,1.00,,
A.01.04.003.007,A.16.04.001,F28.A07XD,1.50,1.00,,
A.01.04.003.007,A.16.10.001,F28.A07XD,1.50,1.00,,
A.01.04.003.007,A.10.01.001,To be further disaggregated (d),2.70,1.00,,
A.01.04.003.007,A.15.01,F28.A07XD,22.72,1.00,,
A.01.04.003.007,A.01.03.002.002,To be further disaggregated (d),32.50,1.00,,
A.01.04.003.007,A.01.03.001.003,To be further disaggregated (d),36.50,1.00,,
A.01.04.003.008,A.11.04.013,To be further disaggregated (d),1.29,1.00,,
A.01.04.003.008,A.11.04.017,To be further disaggregated (d),1.29,1.00,,
A.01.04.003.008,A.16.04.001,F28.A07XD,1.50,1.00,,
A.01.04.003.008,A.16.10.001,F28.A07XD,1.50,1.00,,
A.01.04.003.008,A.10.01.001,To be further disaggregated (d),2.70,1.00,,
A.01.04.003.008,A.15.01,F28.A07XD,22.72,1.00,,
A.01.04.003.008,A.01.03.002.004,To be further disaggregated (d),32.50,1.00,,
A.01.04.003.008,A.01.03.001.004,To be further disaggregated (d),36.50,1.00,,
A.01.04.003.009,A.01.04.003.007,To be further disaggregated (d),100.00,1.00,,
A.01.04.004.001,A.16.04.001,F28.A07XD,2.00,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.16.10.001,F28.A07XD,2.00,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.10.01.001,To be further disaggregated (d),2.30,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.04.04.001,F28.A07XD,2.80,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.04.04.004,F28.A07XD,3.30,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.01.03.002.003,To be further disaggregated (d),4.00,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.01.03.006.001,To be further disaggregated (d),4.00,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.11.04.010,To be further disaggregated (d),4.20,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.01.03.008.002,To be further disaggregated (d),5.50,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.15.01,F28.A07XD,11.90,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.001,A.01.03.001.003,To be further disaggregated (d),58.00,1.00,http://www.gnpd.com/sinatra/recordpage/3031205/,
A.01.04.004.002,A.01.04.004.001,To be further disaggregated (d),100.00,1.00,,
A.01.04.004.003,A.01.04.004.001,To be further disaggregated (d),100.00,1.00,,
A.01.04.005.001,A.16.04.001,F28.A07XD,1.40,1.00,,
A.01.04.005.001,A.01.03.002.004,To be further disaggregated (d),98.60,1.00,,
A.01.04.005.002,A.16.04.001,F28.A07XD,1.40,1.00,http://www.gnpd.com/sinatra/recordpage/3799663/,
A.01.04.005.002,A.01.03.002.002,To be further disaggregated (d),98.60,1.00,http://www.gnpd.com/sinatra/recordpage/3799663/,
A.01.04.005.003,A.01.03.001.004,To be further disaggregated (d),100.00,1.00,,
A.01.04.005.004,A.01.03.001.003,To be further disaggregated (d),100.00,1.00,http://www.gnpd.com/sinatra/recordpage/1353982/,
A.01.04.005.005,A.16.10.001,F28.A07XD,0.02,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,
A.01.04.005.005,A.16.04.001,F28.A07XD,0.98,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,
A.01.04.005.005,A.11.04.017,To be further disaggregated (d),7.00,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,
A.01.04.005.005,A.01.03.001.003,To be further disaggregated (d),92.00,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,
A.01.04.005.006,A.16.10.001,F28.A07XD,0.02,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,http://www.gnpd.com/sinatra/recordpage/1660918/
A.01.04.005.006,A.16.04.001,F28.A07XD,0.98,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,http://www.gnpd.com/sinatra/recordpage/1660918/
A.01.04.005.006,A.11.04.017,To be further disaggregated (d),7.00,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,http://www.gnpd.com/sinatra/recordpage/1660918/
A.01.04.005.006,A.01.03.001.003,To be further disaggregated (d),12.00,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,http://www.gnpd.com/sinatra/recordpage/1660918/
A.01.04.005.006,A.01.03.001.004,To be further disaggregated (d),80.00,1.00,http://www.gnpd.com/sinatra/recordpage/4881887/,http://www.gnpd.com/sinatra/recordpage/1660918/
A.01.04.005.007,A.16.04.001,F28.A07XD,1.11,1.00,http://www.gnpd.com/sinatra/recordpage/5187431/,
A.01.04.005.007,A.10.01.001,To be further disaggregated (d),1.61,1.00,http://www.gnpd.com/sinatra/recordpage/5187431/,
A.01.04.005.007,A.16.10.001,F28.A07XD,2.00,1.00,http://www.gnpd.com/sinatra/recordpage/5187431/,
A.01.04.005.007,A.15.01,F28.A07XD,25.28,1.00,http://www.gnpd.com/sinatra/recordpage/5187431/,
A.01.04.005.007,A.01.03.001.003,To be further disaggregated (d),70.00,1.00,http://www.gnpd.com/sinatra/recordpage/5187431/,
A.01.04.005.008,A.15.01,F28.A07XD,8.00,1.00,http://www.gnpd.com/sinatra/recordpage/4150075/,
A.01.04.005.008,A.01.03.001.003,To be further disaggregated (d),92.00,1.00,http://www.gnpd.com/sinatra/recordpage/4150075/,
A.01.04.005.009,A.11.04.013,To be further disaggregated (d),7.00,1.00,http://www.gnpd.com/sinatra/recordpage/5597963/,
A.01.04.005.009,A.15.01,F28.A07XD,28.00,1.00,http://www.gnpd.com/sinatra/recordpage/5597963/,
A.01.04.005.009,A.01.03.001.003,To be further disaggregated (d),65.00,1.00,http://www.gnpd.com/sinatra/recordpage/5597963/,
A.01.04.006.001,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.006.001,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.006.001,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.006.001,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.006.001,A.01.03.003.001,To be further disaggregated (d),74.29,1.00,,
A.01.04.006.002,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.006.002,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.006.002,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.006.002,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.006.002,A.01.03.004.001,To be further disaggregated (d),74.29,1.00,,
A.01.04.006.003,A.16.04.001,F28.A07XD,1.00,1.00,http://www.gnpd.com/sinatra/recordpage/3485887/,
A.01.04.006.003,A.01.02.007,F28.A07LA,20.00,1.00,http://www.gnpd.com/sinatra/recordpage/3485887/,
A.01.04.006.003,A.01.03.004.001,To be further disaggregated (d),79.00,1.00,http://www.gnpd.com/sinatra/recordpage/3485887/,
A.01.04.006.004,A.16.04.001,F28.A07XD,0.84,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.16.10.001,F28.A07XD,0.84,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.04.03.007,F28.A07XD,1.30,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.04.04.004,F28.A07XD,1.30,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.01.06.001.011,To be further disaggregated (d),2.50,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.04.04.009,F28.A07XD,2.50,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.10.01.001,To be further disaggregated (d),3.00,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.01.02.005,F28.A07XD,3.80,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.04.04.001,F28.A07XD,5.00,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.04.04.005,F28.A07XD,5.00,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.01.02.004,F28.A07XD,6.30,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.05.07.001,To be further disaggregated (d),7.40,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.01.03.001.001,To be further disaggregated (d),27.40,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.004,A.15.01,F28.A07XD,32.82,1.00,http://www.gnpd.com/sinatra/recordpage/5760063/,
A.01.04.006.005,A.16.10.001,F28.A07XD,1.14,1.00,,
A.01.04.006.005,A.16.04.001,F28.A07XD,1.71,1.00,,
A.01.04.006.005,A.11.04.017,To be further disaggregated (d),2.86,1.00,,
A.01.04.006.005,A.15.01,F28.A07XD,20.00,1.00,,
A.01.04.006.005,A.01.03.005.002,To be further disaggregated (d),74.29,1.00,,
A.01.04.006.006,A.16.04.001,F28.A07XD,1.20,1.00,http://www.gnpd.com/sinatra/recordpage/1671960/,
A.01.04.006.006,A.01.03.001.003,To be further disaggregated (d),19.50,1.00,http://www.gnpd.com/sinatra/recordpage/1671960/,
A.01.04.006.006,A.03.01.004,To be further disaggregated (d),26.00,1.00,http://www.gnpd.com/sinatra/recordpage/1671960/,
A.01.04.006.006,A.15.01,F28.A07XD,53.30,1.00,http://www.gnpd.com/sinatra/recordpage/1671960/,
A.01.04.006.007,A.16.04.001,F28.A07XD,1.50,1.00,http://www.gnpd.com/sinatra/recordpage/5361399/,
A.01.04.006.007,A.03.01.011,To be further disaggregated (d),3.00,1.00,http://www.gnpd.com/sinatra/recordpage/5361399/,
A.01.04.006.007,A.01.03.002.002,To be further disaggregated (d),8.00,1.00,http://www.gnpd.com/sinatra/recordpage/5361399/,
A.01.04.006.007,A.15.01,F28.A07XD,37.50,1.00,http://www.gnpd.com/sinatra/recordpage/5361399/,
A.01.04.006.007,A.01.03.001.003,To be further disaggregated (d),50.00,1.00,http://www.gnpd.com/sinatra/recordpage/5361399/,
A.01.04.006.008,A.16.04.001,F28.A07XD,0.20,1.00,http://www.gnpd.com/sinatra/recordpage/1630239/,
A.01.04.006.008,A.01.06.004.004,To be further disaggregated (d),99.80,1.00,http://www.gnpd.com/sinatra/recordpage/1630239/,
