Long Code,Name,Short Code,,,,,,,
"A.01.03.001.004","Wheat flour, wholemeal","A004B",,,,"Wheat wholemeal flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.005","Graham flour","A003Z",,,,"Graham flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.006","Wheat flour, gluten free","A003X#A0B8L",,,,"Wheat flour#gluten free","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.007","Couscous","A008C",,,,"Couscous","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.008","Wheat bran","A004P",,,,"Wheat bran","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.009","Wheat groats","A004E",,,,"Wheat groats","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.012","Wheat semolina, Durum","A004F#F01.A05AH",,,,"wheat semolina#durum wheat","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.013","Wheat semolina, soft wheat","A004F#F01.A05AG",,,,"wheat semolina#soft wheat","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.001.014","Wheat starch","A004M",,,,"Wheat starch","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002","Rye milling products","A003H",,,,"Rye milling products and derivatives","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002.001","Rye flour, gluten free","A003N",,,,"Rye flour, gluten free","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002.002","Rye flour, light","A003K",,,,"Rye flour, light","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002.003","Rye flour, medium","A003L",,,,"Rye flour, medium","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002.004","Rye flour, wholemeal","A003M",,,,"Rye flour, wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002.005","Rye groats","A003P",,,,"Rye groats","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002.006","Rye starch","A003R",,,,"Rye starch","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.002.007","Rye bran","A003Q",,,,"Rye bran","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.003","Buckwheat milling products","A002F",,,,"Buckwheat milling products and derivatives","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.003.001","Buckwheat flour","A002G",,,,"Buckwheat flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.003.002","Buckwheat groats","A002H",,,,"Buckwheat groats","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.003.003","Buckwheat semolina","A002F#F02.A068C",,,,"Buckwheat milling products and derivatives#semolina","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.004","Corn milling products","A002M",,,,"Maize milling products and derivatives","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.004.001","Corn flour","A002Q",,,,"Maize flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.004.002","Corn semolina","A002N",,,,"Maize semolina","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.004.003","Corn starch","A002R",,,,"Maize starch","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.004.004","Cornmeal","A002P",,,,"Maize meal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.005","Oat milling products","A002X",,,,"Oat milling products and derivatives","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.005.001","Oat bran","A003B",,,,"Oat bran","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.005.002","Oat flour","A002Y",,,,"Oat flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.005.003","Oat groats","A002Z",,,,"Oat groats","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.005.004","Oat starch","A003A",,,,"Oat starch","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.006","Rice milling products","A003C",,,,"Rice milling products and derivatives","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.006.001","Rice flour","A003F_R",,,,"Rice flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.006.002","Rice flour white","A003F",,,,"Rice flour","Included in another FoodEx code",,
