Food code (level 3),Food name (level 3),Processing facet code,Processing name,Comment
A.18.01.001,Products presented as a replacement for the whole of the daily diet,F28.A0BA1,Cooking and similar thermal preparation processes,
A.18.01.002,Products presented as a replacement for one or more meals of the daily diet,F28.A0BA1,Cooking and similar thermal preparation processes,
A.18.04.001,Fine bakery products for diabetics,F28.A0BA1,Cooking and similar thermal preparation processes,
A.18.04.003,Chocolate and chocolate products for diabetics,F28.A0BA1,Cooking and similar thermal preparation processes,
A.18.04.008,"Jam, marmalade and other fruit spreads for diabetics",F28.A0BA1,Cooking and similar thermal preparation processes,
A.18.04.011,Ready-to-eat meal for diabetics,F28.A0BA1,Cooking and similar thermal preparation processes,
A.18.04.012,Beer for diabetics,F28.A07JZ,Bacteria fermentation,These products seems to lack a lot of ingredients and related processes
A.19.01.002,Pizza and pizza-like pies,F28.A07GY,Roasting,
A.19.01.003,"Pasta, cooked",F28.A07GG,Cooking in water,
A.19.02.001,Rice and vegetables meal,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.02.002,Rice and meat meal,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.02.003,"Rice, meat, and vegetables meal",F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.03.001,Potatoes and vegetables meal,F28.A07GY,Roasting,
A.19.03.002,Potatoes and meat meal,F28.A07GY,Roasting,
A.19.03.003,"Potatoes, meat, and vegetables meal",F28.A07GY,Roasting,
A.19.03.004,Potatoes and cheese meal,F28.A07GY,Roasting,
A.19.04.001,Beans and meat meal,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.04.002,Beans and vegetables meal,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.04.003,"Beans, meat, and vegetables meal",F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.05.001,Meat burger,F28.A07GZ,Broiling/grilling,
A.19.05.002,Meat balls,F28.A07GZ,Broiling/grilling,
A.19.05.003,Goulash,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.05.004,Meat stew,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.06.001,Fish and potatoes meal,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.06.002,Fish and rice meal,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.06.003,Fish and vegetables meal,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.06.004,Seafood-based meals,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.07.006,Vegetable souffl�,F28.A07GY,Roasting,
A.19.10.001,Vegetable/herb soup,F28.A0BA1,Cooking and similar thermal preparation processes,
A.19.10.007,Milk product/egg soup,F28.A0BA1,Cooking and similar thermal preparation processes,
A.20.01.001,Potato crisps,F28.A07GR,Frying,
A.20.01.002,Corn chips,F28.A07GR,Frying,
A.20.01.003,Tortilla chips,F28.A07GR,Frying,
A.20.01.004,Corn curls,F28.A07GR,Frying,
A.20.01.005,Popcorn,F28.A07LL,Puffing / expanding,
A.20.01.006,Pretzels,F28.A07GR,Frying,
A.20.01.007,Fish-based snacks,F28.A07GR,Frying,
A.20.01.008,Seafood chips,F28.A07GR,Frying,
A.20.01.009,Cheese puffs,F28.A07LL,Puffing / expanding,
A.20.02.001,"Ice cream, milk-based",F28.A07KQ,Freezing,
A.20.02.002,"Ice cream, not milk-based",F28.A07KQ,Freezing,
A.20.02.003,Starchy pudding,F28.A0BA1,Cooking and similar thermal preparation processes,
A.20.02.004,Custard,F28.A0BA1,Cooking and similar thermal preparation processes,
A.20.02.005,Sorbet,F28.A07KQ,Freezing,
A.20.02.007,Granita,F28.A07KQ,Freezing,
I.01.05.016,"Plain pasta, cooked",F28.A0C0R,Processed,
I.02.13.009,Malted barley,F28.A0BA1,Cooking and similar thermal preparation processes,
I.03.01.015,"Potato dumpling, plain",F28.A07GV,Deep frying,
I.06.11.001,Meat paste,F28.A07GY,Roasting,
I.08.02.003,Fruit and dairy smoothie,F28.A0C0R,Processed,
I.10.05.005,"Cheese sauce, Sweet",F28.A0BA1,Cooking and similar thermal preparation processes,
I.14.01.007,Malt drink,F28.A07JZ,Bacteria fermentation,
I.16.08.001,"White sauce (Bechamel sauce, Cheese sauce)",F28.A0BA1,Cooking and similar thermal preparation processes,
I.16.08.003,Cream sauce,F28.A0BA1,Cooking and similar thermal preparation processes,
I.16.08.005,Emulsion sauce (Hollandaise sauce),F28.A0BA1,Cooking and similar thermal preparation processes,
I.16.08.006,"Oil-based sauce (Pesto, Aioli sauce)",F28.A0C0R,Processed,
I.16.08.007,Alcoholic sauce,F28.A0BA1,Cooking and similar thermal preparation processes,
I.16.08.008,Meat sauce,F28.A0BA1,Cooking and similar thermal preparation processes,"F28.A07GM stewing of the meat already included, added cooking of the sauce here"
I.16.08.009,Fish sauce,F28.A0BA1,Cooking and similar thermal preparation processes,
I.19.01.004,Grain patties,F28.A07GY,Roasting,
I.19.05.005,Pressed meat snacks,F28.A07GY,Roasting,
I.19.05.006,Schnitzel,F28.A07GY,Roasting,
I.19.05.007,Cordon bleu,F28.A07GY,Roasting,
I.19.05.008,Meat croquettes,F28.A07GR,Frying,
I.19.05.009,Offal-based meals,F28.A07GY,Roasting,
I.19.06.005,Sushi,F28.A0BA1,Cooking and similar thermal preparation processes,
I.19.06.006,Salmon en croute,F28.A0BA1,Cooking and similar thermal preparation processes,
I.19.06.007,Fish gratin,F28.A0BA1,Cooking and similar thermal preparation processes,
I.19.07.003,"Mixed vegetables, braised",F28.A07GM,Stewing,
I.19.07.005,"Vegetables, gratinated",F28.A07GY,Roasting,
I.19.10.009,Fruit soup,F28.A0BA1,Cooking and similar thermal preparation processes,
I.19.10.010,Noodle soup,F28.A0BA1,Cooking and similar thermal preparation processes,
I.20.02.006,Gelatine dessert,F28.A0BA1,Cooking and similar thermal preparation processes,
