"Food code","Food name","Component code","Component name","Facet(s) code","Facet(s) Description","Percentage","Probability","Reverse Yield Factor","Allocation Factor"
"A.01.06.002.004","Muesli with fruits","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,26.3,1,1,1
"A.01.06.002.004","Muesli with fruits","A.11.03.004","Palm fat","To be further disaggregated (d)",,5.7,1,1,1
"A.01.06.002.004","Muesli with fruits","A.01.06.004.004","Rice, popped","To be further disaggregated (d)",,11.66,1,1,1
"A.01.06.002.004","Muesli with fruits","A.01.06.001.020","Wheat flakes","To be further disaggregated (d)",,4.1,1,1,1
"A.01.06.002.004","Muesli with fruits","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,11.67,1,1,1
"A.01.06.002.004","Muesli with fruits","A.10.01.001","White sugar","To be further disaggregated (d)",,11.67,1,1,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",2,1,1,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.01.06.001.001","Barley flakes","To be further disaggregated (d)",,17.13,1,1,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.05.04.009","Cranberries (Vaccinium macrocarpon)","F28.A07KG","PROCESS=Drying (dehydration)",3,1,4,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.01.06.002.008","Muesli, mixed","To be further disaggregated (d)",,32,1,1,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,17.13,1,1,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.05.04.006","Raspberries (Rubus idaeus)","F28.A07KG","PROCESS=Drying (dehydration)",2.6,1,4,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.04.04.004","Sesame seed (Sesamum indicum syn. S. orientale)","F28.A07XD","PROCESS=Unspecified",3,1,1,1
"A.01.06.002.005","Muesli with fruits and chocolate","A.01.06.001.020","Wheat flakes","To be further disaggregated (d)",,17.13,1,1,1
"A.01.06.002.005","Muesli with fruits and chocolate","I.10.03.009.002","White chocolate, plain","To be further disaggregated (d)",,6,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",0.5,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.04.03.006","Coconuts (Cocos nucifera)","F28.A07XD","PROCESS=Unspecified",2.4,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.01.02.003","Corn grain","F28.A07LH","PROCESS=Flattening / rolling",10,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.05.07.006","Dried apples (Malus domesticus)","To be further disaggregated (d)",,3,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.05.07.008","Dried bananas (Musa Ã— paradisica)","To be further disaggregated (d)",,1.3,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,12,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",0.5,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,26,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.05.06.021","Pineapples (Ananas comosus)","F28.A07KG","PROCESS=Drying (dehydration)",1.4,1,5.67,1
"A.01.06.002.006","Muesli with fruits and nuts","A.01.06.001.020","Wheat flakes","To be further disaggregated (d)",,20,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.01.02.001","Wheat grain","F28.A07LH","PROCESS=Flattening / rolling",14,1,1,1
"A.01.06.002.006","Muesli with fruits and nuts","A.10.01.001","White sugar","To be further disaggregated (d)",,8.9,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",1,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","I.10.03.002.002","Bitter-sweet chocolate, plain","To be further disaggregated (d)",,10,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,11,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",1,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","A.08.03.003.003","Milk powder, skimmed","To be further disaggregated (d)",,2.5,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,32,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","A.01.02.001","Wheat grain","F28.A07LH","PROCESS=Flattening / rolling",33,1,1,1
"A.01.06.002.007","Muesli with fruits, nuts and chocolate","A.10.01.001","White sugar","To be further disaggregated (d)",,9.5,1,1,1
"A.01.06.002.008","Muesli, mixed","A.01.02.002.001","Barley grain, whole","F28.A07LH","PROCESS=Flattening / rolling",20,1,1,1
"A.01.06.002.008","Muesli, mixed","A.01.02.006","Buckwheat grain","F28.A07LH","PROCESS=Flattening / rolling",10,1,1,1
"A.01.06.002.008","Muesli, mixed","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,10,1,1,1
"A.01.06.002.008","Muesli, mixed","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,35,1,1,1
"A.01.06.002.008","Muesli, mixed","A.01.02.004","Rye grain","F28.A07LH","PROCESS=Flattening / rolling",15,1,1,1
"A.01.06.002.008","Muesli, mixed","A.01.06.001.020","Wheat flakes","To be further disaggregated (d)",,10,1,1,1
"A.01.06.002.009","Muesli, no added sugar","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",1.25,1,1,1
"A.01.06.002.009","Muesli, no added sugar","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,15,1,1,1
"A.01.06.002.009","Muesli, no added sugar","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",1.25,1,1,1
"A.01.06.002.009","Muesli, no added sugar","A.08.03.003.003","Milk powder, skimmed","To be further disaggregated (d)",,2.5,1,1,1
"A.01.06.002.009","Muesli, no added sugar","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,37,1,1,1
"A.01.06.002.009","Muesli, no added sugar","A.01.02.001","Wheat grain","F28.A07LH","PROCESS=Flattening / rolling",43,1,1,1
"A.01.06.003.001","Cereal bar with fruits","A.05.04.008","Blueberries (Vaccinium corymbosum)","F28.A07KG","PROCESS=Drying (dehydration)",9,0.21,4,1
"A.01.06.003.001","Cereal bar with fruits","A.01.06.003.002","Cereal bar with added sugar","To be further disaggregated (d)",,91,1,1,1
"A.01.06.003.001","Cereal bar with fruits","A.05.04.009","Cranberries (Vaccinium macrocarpon)","F28.A07KG","PROCESS=Drying (dehydration)",9,0.57,4,1
"A.01.06.003.001","Cereal bar with fruits","A.05.07.006","Dried apples (Malus domesticus)","To be further disaggregated (d)",,9,0.11,1,1
"A.01.06.003.001","Cereal bar with fruits","A.05.07.005","Dried pears  (Pyrus communis)","To be further disaggregated (d)",,9,0.11,1,1
"A.01.06.003.002","Cereal bar with added sugar","A.08.03.002.002","Condensed milk 4% fat","To be further disaggregated (d)",,12,1,1,1
"A.01.06.003.002","Cereal bar with added sugar","A.01.06.001.002","Corn flakes","To be further disaggregated (d)",,45,1,1,1
"A.01.06.003.002","Cereal bar with added sugar","A.08.03.003.003","Milk powder, skimmed","To be further disaggregated (d)",,17,1,1,1
"A.01.06.003.002","Cereal bar with added sugar","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,1,1,1,1
"A.01.06.003.002","Cereal bar with added sugar","A.11.04","Vegetable oil","To be further disaggregated (p)",,12.5,1,1,1
"A.01.06.003.002","Cereal bar with added sugar","A.10.01.001","White sugar","To be further disaggregated (d)",,12.5,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.13.05.002","Cocoa drink","To be further disaggregated (d)",,2.8,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.02.11.002","Cocoa powder","To be further disaggregated (d)",,2,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.11.04.002","Coconut oil","To be further disaggregated (d)",,12,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.08.03.002.002","Condensed milk 4% fat","To be further disaggregated (d)",,12,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.08.03.003.003","Milk powder, skimmed","To be further disaggregated (d)",,2.3,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.08.03.003.001","Milk powder, whole","To be further disaggregated (d)",,0.8,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.11.03.004","Palm fat","To be further disaggregated (d)",,6,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.01.06.004.007","Rice, popped with sugar","To be further disaggregated (d)",,44,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.1,1,1,1
"A.01.06.003.003","Cereal bar with chocolate","A.10.01.001","White sugar","To be further disaggregated (d)",,18,1,1,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.05.07.007","Dried dates (Phoenix dactylifera)","To be further disaggregated (d)",,26.67,1,1,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,53.33,1,1,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.12.01.001","Juice, Apple","To be further disaggregated (d)",,1.9,1,1,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,9,1,1,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.11.04.013","Rapeseed oil","To be further disaggregated (d)",,3.2,1,1,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.05.04.006","Raspberries (Rubus idaeus)","F28.A07KG","PROCESS=Drying (dehydration)",2,1,4,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.01.03.006.001","Rice flour","To be further disaggregated (d)",,1.9,1,1,1
"A.01.06.003.004","Cereal bar, with no added sugar","A.05.04.003","Strawberries (Fragaria Ã— ananassa)","F28.A07KG","PROCESS=Drying (dehydration)",2,1,4,1
"A.01.06.004.001","Maize, popped","A.01.02.003","Corn grain","F28.A07LL","PROCESS=Puffing / expanding",100,1,1.08,0.91
"A.01.06.004.003","Maize, popped, with sugar","A.01.03.004.001","Corn flour","To be further disaggregated (d)",,67,1,1,1
"A.01.06.004.003","Maize, popped, with sugar","A.10.01.001","White sugar","To be further disaggregated (d)",,33,1,1,1
"A.01.06.004.004","Rice, popped","A.01.02.009","Rice","F28.A07LL","PROCESS=Puffing / expanding",100,1,1.17,0.91
"A.01.06.004.005","Wheat, popped","A.01.02.001","Wheat grain","F28.A07LL","PROCESS=Puffing / expanding",100,1,1.08,0.91
"A.01.06.004.006","Wheat, popped, with sugar","A.10.07","Honey","F28.A07XD","PROCESS=Unspecified",3.8,1,1,1
"A.01.06.004.006","Wheat, popped, with sugar","A.01.02.001","Wheat grain","F28.A07LL","PROCESS=Puffing / expanding",57,1,1.08,0.91
"A.01.06.004.006","Wheat, popped, with sugar","A.10.01.001","White sugar","To be further disaggregated (d)",,39.2,1,1,1
"A.01.06.004.007","Rice, popped with sugar","A.10.07","Honey","F28.A07XD","PROCESS=Unspecified",3,1,1,1
"A.01.06.004.007","Rice, popped with sugar","A.01.06.004.004","Rice, popped","To be further disaggregated (d)",,72,1,1,1
"A.01.06.004.007","Rice, popped with sugar","A.10.01.001","White sugar","To be further disaggregated (d)",,25,1,1,1
"A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",0.56,1,1,1
"A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","A.01.06.005.002","Breakfast cereals, mixed cereals and honey","To be further disaggregated (d)",,79.1,1,1,1
"A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","A.04.03.006","Coconuts (Cocos nucifera)","F28.A07XD","PROCESS=Unspecified",2.24,1,1,1
"A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","A.05.07.006","Dried apples (Malus domesticus)","To be further disaggregated (d)",,1.12,1,1,1
"A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","A.05.07.008","Dried bananas (Musa Ã— paradisica)","To be further disaggregated (d)",,4.48,1,1,1
"A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,11.94,1,1,1
"A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",0.56,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.01.03.008.002","Barley flour","To be further disaggregated (d)",,16.4,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.01.03.004.001","Corn flour","To be further disaggregated (d)",,1.9,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.10.07","Honey","F28.A07XD","PROCESS=Unspecified",3.8,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.01.03.005.002","Oat flour","To be further disaggregated (d)",,27.2,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.01.03.006.001","Rice flour","To be further disaggregated (d)",,1.9,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.94,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.01.03.001.004","Wheat flour, wholemeal","To be further disaggregated (d)",,27.2,1,1,1
"A.01.06.005.002","Breakfast cereals, mixed cereals and honey","A.10.01.001","White sugar","To be further disaggregated (d)",,20.66,1,1,1
"A.01.06.005.003","Breakfast cereals, mixed cereals and nuts","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",3.6,1,1,1
"A.01.06.005.003","Breakfast cereals, mixed cereals and nuts","A.04.03.003","Brazil nuts (Bertholletia excelsa)","F28.A07XD","PROCESS=Unspecified",1.6,1,1,1
"A.01.06.005.003","Breakfast cereals, mixed cereals and nuts","A.01.06.005.002","Breakfast cereals, mixed cereals and honey","To be further disaggregated (d)",,88,1,1,1
"A.01.06.005.003","Breakfast cereals, mixed cereals and nuts","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",3.6,1,1,1
"A.01.06.005.003","Breakfast cereals, mixed cereals and nuts","A.04.03.009","Pecans (Carya illinoensis)","F28.A07XD","PROCESS=Unspecified",1.6,1,1,1
"A.01.06.005.003","Breakfast cereals, mixed cereals and nuts","A.04.03.012","Walnuts (Juglans regia)","F28.A07XD","PROCESS=Unspecified",1.6,1,1,1
"A.01.06.005.004","Breakfast cereals, mixed cereals with honey and fruits","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",0.56,1,1,1
"A.01.06.005.004","Breakfast cereals, mixed cereals with honey and fruits","A.01.06.005.002","Breakfast cereals, mixed cereals and honey","To be further disaggregated (d)",,79.1,1,1,1
"A.01.06.005.004","Breakfast cereals, mixed cereals with honey and fruits","A.04.03.006","Coconuts (Cocos nucifera)","F28.A07XD","PROCESS=Unspecified",2.24,1,1,1
"A.01.06.005.004","Breakfast cereals, mixed cereals with honey and fruits","A.05.07.006","Dried apples (Malus domesticus)","To be further disaggregated (d)",,1.12,1,1,1
"A.01.06.005.004","Breakfast cereals, mixed cereals with honey and fruits","A.05.07.008","Dried bananas (Musa Ã— paradisica)","To be further disaggregated (d)",,4.48,1,1,1
"A.01.06.005.004","Breakfast cereals, mixed cereals with honey and fruits","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,11.94,1,1,1
"A.01.06.005.004","Breakfast cereals, mixed cereals with honey and fruits","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",0.56,1,1,1
"A.01.06.005.005","Breakfast cereals, mixed cereals, fruits and chocolate","I.10.03.002.002","Bitter-sweet chocolate, plain","To be further disaggregated (d)",,6,1,1,1
"A.01.06.005.005","Breakfast cereals, mixed cereals, fruits and chocolate","A.01.06.005.001","Breakfast cereals, mixed cereals and fruits","To be further disaggregated (d)",,94,1,1,1
"A.01.06.005.006","Breakfast cereals, mixed cereals, fruits, nuts and chocolate","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",3.6,1,1,1
"A.01.06.005.006","Breakfast cereals, mixed cereals, fruits, nuts and chocolate","A.04.03.003","Brazil nuts (Bertholletia excelsa)","F28.A07XD","PROCESS=Unspecified",1.6,1,1,1
"A.01.06.005.006","Breakfast cereals, mixed cereals, fruits, nuts and chocolate","A.01.06.005.005","Breakfast cereals, mixed cereals, fruits and chocolate","To be further disaggregated (d)",,88,1,1,1
"A.01.06.005.006","Breakfast cereals, mixed cereals, fruits, nuts and chocolate","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",3.6,1,1,1
"A.01.06.005.006","Breakfast cereals, mixed cereals, fruits, nuts and chocolate","A.04.03.009","Pecans (Carya illinoensis)","F28.A07XD","PROCESS=Unspecified",1.6,1,1,1
"A.01.06.005.006","Breakfast cereals, mixed cereals, fruits, nuts and chocolate","A.04.03.012","Walnuts (Juglans regia)","F28.A07XD","PROCESS=Unspecified",1.6,1,1,1
"A.01.06.006.001","Barley grits","A.01.02.002.001","Barley grain, whole","F28.A0C03$F02.A068C","PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",100,1,1.85,0.91
"A.01.06.006.002","Oat grits","A.01.02.008","Oats, grain","F28.A0C03$F02.A068C","PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",100,1,1.59,0.91
"A.01.06.006.003","Rye grits","A.01.02.004","Rye grain","F28.A0C03$F02.A068C","PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",100,1,1.43,0.91
"A.01.06.006.004","Spelt grits","A.01.02.005","Spelt grain","F28.A0C03$F02.A068C","PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",100,1,1.43,0.91
"A.01.06.006.005","Wheat grits","A.01.02.001","Wheat grain","F28.A0C03$F02.A068C","PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",100,1,1.43,0.91
"A.01.06.007.001","Oat porridge","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",85,0.5,1,1
"A.01.06.007.001","Oat porridge","A.01.06.001.011","Oat flakes","To be further disaggregated (d)",,15,1,1,1
"A.01.06.007.001","Oat porridge","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",85,0.5,1,1
"A.01.06.007.002","Rice porridge","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",85,1,1,1
"A.01.06.007.002","Rice porridge","A.01.03.006.001","Rice flour","To be further disaggregated (d)",,15,1,1,1
"A.01.06.007.003","Cornmeal porridge","A.01.03.004.004","Cornmeal","To be further disaggregated (d)",,15,1,1,1
"A.01.06.007.003","Cornmeal porridge","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",85,0.31,1,1
"A.01.06.007.003","Cornmeal porridge","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",85,0.69,1,1
"A.01.06.007.004","Wheat semolina porridge","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",85,1,1,1
"A.01.06.007.004","Wheat semolina porridge","A.01.03.001.013","Wheat semolina, soft wheat","To be further disaggregated (d)",,15,1,1,1
"A.01.06.007.005","Barley porridge","A.01.02.002.002","Barley, pearled","To be further disaggregated (d)",,15,1,1,1
"A.01.06.007.005","Barley porridge","A.08.06.008","Buttermilk","To be further disaggregated (d)",,85,0.3,1,1
"A.01.06.007.005","Barley porridge","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",85,0.5,1,1
"A.01.06.007.005","Barley porridge","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",85,0.2,1,1
"A.01.07.001.002","Buns","I.10.03.004.001","Chocolate spread","To be further disaggregated (d)",,20,0.44,1,1
"A.01.07.001.002","Buns","A.05.07.001","Dried vine fruits (currants, raisins and sultanas)","To be further disaggregated (d)",,20,0.26,1,1
"A.01.07.001.002","Buns","I.10.01.005.002","Flavoured sugar, Cinnamon","To be further disaggregated (d)",,20,0.3,1,1
"A.01.07.001.002","Buns","I.01.07.001.050","Puff pastry","To be further disaggregated (d)",,75,1,1,1
"A.01.07.001.002","Buns","A.10.01.006","Sugar, icing","To be further disaggregated (d)",,5,1,1,1
"A.01.07.001.003","Cake from batter","A.01.07.001.034","Sponge cake","To be further disaggregated (d)",,100,1,1,1
"A.01.07.001.004","Cheese cream cake","A.01.07.002.001","Biscuits, sweet, plain","To be further disaggregated (d)",,7.74,1,1,1
"A.01.07.001.004","Cheese cream cake","A.11.01.001","Butter","To be further disaggregated (d)",,2.21,1,1,1
"A.01.07.001.004","Cheese cream cake","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",13.26,1,1,1
"A.01.07.001.004","Cheese cream cake","A.08.08.002","Quark with fruit","To be further disaggregated (d)",,16.73,1,1,1
"A.01.07.001.004","Cheese cream cake","A.08.05.003.004","Sour cream 20 % fat","To be further disaggregated (d)",,16.95,1,1,1
"A.01.07.001.004","Cheese cream cake","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,1.11,1,1,1
"A.01.07.001.004","Cheese cream cake","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,2.2,1,1,1
"A.01.07.001.004","Cheese cream cake","A.10.01.001","White sugar","To be further disaggregated (d)",,22.11,1,1,1
"A.01.07.001.004","Cheese cream cake","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",17.69,1,1,1
"A.01.07.001.005","Cheese cream sponge cake","A.11.01.001","Butter","To be further disaggregated (d)",,15,1,1,1
"A.01.07.001.005","Cheese cream sponge cake","A.08.08.001","Quark","To be further disaggregated (d)",,10.01,1,1,1
"A.01.07.001.005","Cheese cream sponge cake","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,0.22,1,1,1
"A.01.07.001.005","Cheese cream sponge cake","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,16.54,1,1,1
"A.01.07.001.005","Cheese cream sponge cake","A.10.01.001","White sugar","To be further disaggregated (d)",,26.47,1,1,1
"A.01.07.001.005","Cheese cream sponge cake","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",31.76,1,1,1
"A.01.07.001.006","Chocolate cake","A.16.10.003","Baking powder","To be further disaggregated (d)",,0.41,1,1,1
"A.01.07.001.006","Chocolate cake","A.11.01.001","Butter","To be further disaggregated (d)",,9.46,1,1,1
"A.01.07.001.006","Chocolate cake","A.10.03.011","Cooking chocolate","To be further disaggregated (d)",,6.99,1,1,1
"A.01.07.001.006","Chocolate cake","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",9.87,1,1,1
"A.01.07.001.006","Chocolate cake","A.08.05.003.004","Sour cream 20 % fat","To be further disaggregated (d)",,13.98,1,1,1
"A.01.07.001.006","Chocolate cake","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",1.23,1,1,1
"A.01.07.001.006","Chocolate cake","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,23.52,1,1,1
"A.01.07.001.006","Chocolate cake","A.10.01.001","White sugar","To be further disaggregated (d)",,24.67,1,1,1
"A.01.07.001.006","Chocolate cake","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",9.87,1,1,1
"A.01.07.001.007","Chocolate cake with fruits","I.10.03.002.002","Bitter-sweet chocolate, plain","To be further disaggregated (d)",,15,1,1,1
"A.01.07.001.007","Chocolate cake with fruits","A.01.07.001.006","Chocolate cake","To be further disaggregated (d)",,60,1,1,1
"A.01.07.001.007","Chocolate cake with fruits","A.05.08.001.011","Jam, Apricots (Prunus armeniaca)","To be further disaggregated (d)",,25,0.3,1,1
"A.01.07.001.007","Chocolate cake with fruits","A.05.08.001.015","Jam, Sour cherry (Prunus cerasus)","To be further disaggregated (d)",,25,0.7,1,1
"A.01.07.001.008","Cream cake","A.16.10.003","Baking powder","To be further disaggregated (d)",,1.3,1,1,1
"A.01.07.001.008","Cream cake","A.08.05.001.004","Cream 40 % fat","To be further disaggregated (d)",,33.5,1,1,1
"A.01.07.001.008","Cream cake","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.9,1,1,1
"A.01.07.001.008","Cream cake","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,0.7,1,1,1
"A.01.07.001.008","Cream cake","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,27.1,1,1,1
"A.01.07.001.008","Cream cake","A.10.01.001","White sugar","To be further disaggregated (d)",,21.4,1,1,1
"A.01.07.001.008","Cream cake","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",15.1,1,1,1
"A.01.07.001.009","Cream cheese cake","A.11.01.001","Butter","To be further disaggregated (d)",,19.7,1,1,1
"A.01.07.001.009","Cream cheese cake","A.08.05.001.004","Cream 40 % fat","To be further disaggregated (d)",,11.8,1,1,1
"A.01.07.001.009","Cream cheese cake","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,0.3,1,1,1
"A.01.07.001.009","Cream cheese cake","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,19.7,1,1,1
"A.01.07.001.009","Cream cheese cake","A.10.01.001","White sugar","To be further disaggregated (d)",,35.5,1,1,1
"A.01.07.001.009","Cream cheese cake","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",13,1,1,1
"A.01.07.001.010","Cream custard cake","I.20.02.004.002","Patisserie cream","To be further disaggregated (d)",,23,1,1,1
"A.01.07.001.010","Cream custard cake","I.01.07.001.050","Puff pastry","To be further disaggregated (d)",,59,1,1,1
"A.01.07.001.010","Cream custard cake","A.10.01.006","Sugar, icing","To be further disaggregated (d)",,18,1,1,1
"A.01.07.001.011","Cream custard sponge cake","A.08.05.001.004","Cream 40 % fat","To be further disaggregated (d)",,19,1,1,1
"A.01.07.001.011","Cream custard sponge cake","A.20.02.004","Custard","To be further disaggregated (d)",,33,1,1,1
"A.01.07.001.011","Cream custard sponge cake","I.05.08.001.021","Jam, Berries","To be further disaggregated (d)",,12,0.18,1,1
"A.01.07.001.011","Cream custard sponge cake","A.05.08.001.002","Jam, Raspberries (Rubus idaeus)","To be further disaggregated (d)",,12,0.82,1,1
"A.01.07.001.011","Cream custard sponge cake","I.20.02.006.001","Jelly dessert","To be further disaggregated (d)",,31,1,1,1
"A.01.07.001.011","Cream custard sponge cake","A.01.07.001.034","Sponge cake","To be further disaggregated (d)",,5,1,1,1
"A.01.07.001.012","Croissant","A.11.01.001","Butter","To be further disaggregated (d)",,18.68,1,1,1
