"Food code (level 2)","Food name (level 2)","Food code (level 3)","Food name (level 3)","Processing facet code","Processing name","Comment","Packaging code","Packaging name"
"A.12.06","Vegetable juice","A.12.06.004","Juice, Beetroot",,,"Assuming juicing included already but have not checked","P4",
"A.12.06","Vegetable juice","A.12.06.002","Juice, Carrot",,,,"P4",
"A.12.06","Vegetable juice","A.12.06.003","Juice, Celery",,,,"P4",
"A.12.06","Vegetable juice","A.12.06.007","Juice, Cucumber",,,,"P4",
"A.12.06","Vegetable juice","A.12.06.006","Juice, Potato",,,,"P4",
"A.12.06","Vegetable juice","A.12.06.001","Juice, Tomato",,,,"P4",
"A.12.06","Vegetable juice","A.12.06.008","Juice, Turnip",,,,"P4",
"A.12.06","Vegetable juice","A.12.06.005","Juice, White cabbage",,,,"P4",
"A.11.04","Vegetable oil","A.11.04.001","Almond oil",,,"Assuming oil production already included but have not checked","P2",
"A.11.04","Vegetable oil","A.11.04.002","Coconut oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.003","Corn oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.004","Cottonseed oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.005","Grape seed oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.006","Linseed oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.007","Oil, frying, blend",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.008","Olive oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.009","Palm kernel oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.010","Palm oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.011","Peanut oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.012","Pumpkinseed oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.013","Rapeseed oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.014","Safflower oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.015","Sesame oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.016","Soybean oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.017","Sunflower oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.018","Thistle oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.019","Walnut oil",,,,"P2",
"A.11.04","Vegetable oil","A.11.04.020","Wheat germ oil",,,,"P2",
"A.02.14","Vegetable products","A.02.14.010","Chestnut purée (Castanea vulgaris)",,,,"P5",
"A.02.14","Vegetable products","A.02.14.009","Coconut milk (Cocos nucifera)",,,,"P5",
"A.02.14","Vegetable products","A.02.14.002","Garlic purée",,,,"P5",
"A.02.14","Vegetable products","A.02.14.012","Hops (dried), including hop pellets and unconcentrated powder (Humulus lupulus)",,,,"P5",
"A.02.14","Vegetable products","A.02.14.008","Mashed vegetables",,,,"P5",
"A.02.14","Vegetable products","A.02.14.004","Mixed vegetable purée",,,,"P5",
"A.02.14","Vegetable products","A.02.14.001","Mushy peas (Pisum sativum)",,,,"P5",
"A.02.14","Vegetable products","A.02.14.005","Pickled vegetables",,,,"P5",
"A.02.14","Vegetable products","A.02.14.006","Sauerkraut",,,,"P5",
"A.02.14","Vegetable products","A.02.14.011","Sesam paste (Tahini) (Sesamus indicum)",,,,"P5",
"A.02.14","Vegetable products","A.02.14.007","Sun-dried tomatoes",,,,"P5",
"A.02.14","Vegetable products","A.02.14.003","Tomato purée",,,"F28.A0C6N mashing already included","P5",
"A.02.14","Vegetable products","I.02.14.013","Tomato, canned",,,,"P5",
"A.02.14","Vegetable products","I.02.14.014","Tomato, paste",,,,"P5",
"A.19.07","Vegetable-based meals","A.19.07.004","Mixed vegetables, boiled",,,"Finns ej!","P5",
"A.19.07","Vegetable-based meals","A.19.07.003","Mixed vegetables, braised",,,,"P5",
"A.19.07","Vegetable-based meals","A.19.07.002","Mixed vegetables, fried",,,,"P5",
"A.19.07","Vegetable-based meals","A.19.07.001","Mixed vegetables, grilled",,,,"P5",
"A.19.07","Vegetable-based meals","A.19.07.007","Ratatouille",,,,"P5",
"A.19.07","Vegetable-based meals","A.19.07.006","Vegetable soufflé",,,,"P5",
"A.19.07","Vegetable-based meals","A.19.07.005","Vegetables, gratinated",,,,"P5",
"A.07.05","Water molluscs","A.07.05.004","Abalone (Haliotis spp.)",,,"No process - raw commodity","P9",
"A.07.05","Water molluscs","A.07.05.005","Clam (Mya arenaria)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.006","Cockle (Cardium edule)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.003","Cuttlefish (Sepia officinalis)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.012","Limpet (Patella caerula)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.007","Mussel (Mytilus edulis)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.002","Octopus (Octopus vulgaris)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.008","Oyster (Ostrea edulis)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.009","Queen scallop (Chlamys opercularis)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.011","Razor clam (Solen margrinatus)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.010","Scallop (Pecten spp.)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.001","Squid (Loligo vulgaris)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.013","Whelk (Buccinum undatum, Fusus antiquus)",,,,"P9",
"A.07.05","Water molluscs","A.07.05.014","Winkle (Littorina littorea)",,,,"P9",
"A.08.04","Whey and whey products (excluding whey cheese)","A.08.04.002","Whey dried",,,"F28.A0C6E$F28.A07KG$F02.A06BB cheesemaking, drying already included","P6",
"A.08.04","Whey and whey products (excluding whey cheese)","A.08.04.001","Whey liquid",,,,"P6",
"A.14.02","Wine","A.14.02.003","Wine, red",,,"F28.A0C00$F10.A0F2S Winemaking and one other process included.","P4",
"A.14.02","Wine","A.14.02.004","Wine, red, sparkling",,,,"P4",
"A.14.02","Wine","A.14.02.001","Wine, white",,,,"P4",
"A.14.02","Wine","A.14.02.002","Wine, white, sparkling",,,,"P4",
"A.14.04","Wine-like drinks (e.g. Cider, Perry)","A.14.04.001","Cider",,,,"P4",
"A.14.04","Wine-like drinks (e.g. Cider, Perry)","A.14.04.002","Perry",,,,"P4",
"A.17.07","Yoghurt, cheese and milk-based dessert for infants and young children","A.17.07.002","Cheese preparations for infants and young children",,,,"P6",
"A.17.07","Yoghurt, cheese and milk-based dessert for infants and young children","A.17.07.003","Dessert and puddings for infants and young children",,,,"P6",
"A.17.07","Yoghurt, cheese and milk-based dessert for infants and young children","A.17.07.001","Yoghurt for infants and young children",,,,"P6",
