Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01315","Figs","2024","2024","kg/ha","5314.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2020","2020","kg/ha","10729.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2021","2021","kg/ha","10727.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2022","2022","kg/ha","9825","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2023","2023","kg/ha","11677.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2024","2024","kg/ha","11822.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01441","Linseed","2020","2020","kg/ha","1100.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01441","Linseed","2021","2021","kg/ha","994.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01441","Linseed","2022","2022","kg/ha","904.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01441","Linseed","2023","2023","kg/ha","828.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01441","Linseed","2024","2024","kg/ha","840.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1934.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1900.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","2237.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","2858.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","1925.9","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2020","2020","kg/ha","1318.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2021","2021","kg/ha","1583.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2022","2022","kg/ha","1577.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2023","2023","kg/ha","1486.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2024","2024","kg/ha","1460.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01442","Mustard seed","2020","2020","kg/ha","890.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01442","Mustard seed","2021","2021","kg/ha","1060.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01442","Mustard seed","2022","2022","kg/ha","1223.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01442","Mustard seed","2023","2023","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01442","Mustard seed","2024","2024","kg/ha","1022.2","E","Estimated value",""
