"FoodEx2 Code","Long Code ","FoodEx2 Name","Code","SUA name"
"A001N","A.01.02.001","Common wheat grain","0111","wheat"
"A001P","A.01.02.001.002","Durum wheat grain","0111","wheat"
"A001N","A.01.02.001.003","Common wheat grain","0111","wheat"
"A001P","A.01.02.001.004","Durum wheat grain","0111","wheat"
"A000P","A.01.02.002.001","Barley grains","0115","barley"
"A000T","A.01.02.003","Maize grain","0112","maize (corn)"
"A001K","A.01.02.004","Rye grain","0116","rye"
"A001R","A.01.02.005","Spelt grain","0111","wheat"
"A000N","A.01.02.006","Buckwheat","01192","buckwheat"
"A001B","A.01.02.007","Common millet grain","0118","millet"
"A000G","A.01.02.008","Oat grain","0117","oats"
"A001D","A.01.02.009","Rice grain","0113","rice"
"A001J","A.01.02.009.007","Indian rice grain","0113","rice"
"A010G","A.02.01.001","Arrowroots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh"
"A00QG","A.02.01.002","Beetroots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh"
"A00QH","A.02.01.003","Carrots","01251","carrots and turnips"
"A00QJ","A.02.01.004","Celeriacs","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh"
"A00QK","A.02.01.005","Horseradish roots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh"
"A00QS","A.02.01.006","Parsley roots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh"
"A00QR","A.02.01.007","Parsnip roots","01599.10","edible roots and tubers with high starch or inulin content, n.e.c., fresh"
"A00QV","A.02.01.008","Radishes","01212","cabbages"
"A00RA","A.02.01.009","Salsifies","01445","sunflower seed"
"A00RD","A.02.01.010","Swedes","01212","cabbages"
"A00RE","A.02.01.012","Turnips","01251","carrots and turnips"
"A00GZ","A.02.02.001","Garlic","01252","green garlic"
"A00HC","A.02.02.002","Onions","01253.02","onions and shallots, dry (excluding dehydrated)"
"A00HF","A.02.02.003","Shallots","01253.02","onions and shallots, dry (excluding dehydrated)"
"A00HH","A.02.02.004","Spring onions","01253.02","onions and shallots, dry (excluding dehydrated)"
"A00XD","A.02.02.005","Chives","01253.02","onions and shallots, dry (excluding dehydrated)"
"A0DMX","A.02.03.001","Tomatoes","01234","tomatoes"
"A00JA","A.02.03.002","Sweet peppers","01231","chillies and peppers, green (capsicum spp. and pimenta spp.)"
"A00JB","A.02.03.003","Chili peppers","01231","chillies and peppers, green (capsicum spp. and pimenta spp.)"
"A00JD","A.02.03.004","Aubergines","01233","eggplants (aubergines)"
"A00JF","A.02.03.005","Okra","01359.90","Other fruits, n.e.c."
"A00JM","A.02.03.006","Cucumbers","01232","cucumbers and gherkins"
"A00JP","A.02.03.007","Gherkins","01232","cucumbers and gherkins"
"A00JR","A.02.03.008","Courgettes","01235","pumpkins, squash and gourds"
"A00KF","A.02.03.009","Melons","01229","cantaloupes and other melons "
"A00KH","A.02.03.010","Pumpkins","01235","pumpkins, squash and gourds"
"A00KJ","A.02.03.011","Watermelons","01221","watermelons"
"A00KP","A.02.03.012","Sweet corn","01290.01","green corn (maize) "
"A00FN","A.02.04.001","Broccoli","01213","cauliflowers and broccoli"
"A00FR","A.02.04.002","Cauliflowers","01213","cauliflowers and broccoli"
