SUA Code,SUA Name,Category,Item Code,Item Name
01290.90,"Other vegetables, fresh n.e.c.",Vegetables,463,"Vegetables, fresh nes"
01317,Papayas,Fruits,600,Papayas
01345,Peaches and nectarines,Fruits,534,Peaches and nectarines
01342.01,Pears,Fruits,521,Pears
01705,"Peas, dry","Pulses, incl feed",187,"Peas, dry"
01242,"Peas, green",Vegetables,417,"Peas, green"
01651,"Pepper (Piper spp.), raw",Vegetables,687,Pepper (piper spp.)
01359.01,Persimmons,Fruits,587,Persimmons
21181,"pig meat, cuts, salted, dried or smoked (bacon and ham)",Meat,1035,"Meat, pig"
01318,Pineapples,Fruits,574,Pineapples
01375,"pistachios, in shell",Nuts,223,Pistachios
01313,Plantains and others,Fruits,489,Plantains and others
01346,Plums and sloes,Fruits,536,Plums and sloes
01321,Pomelos and grapefruits,Fruits,507,Grapefruit (inc. pomelos)
01448,Poppy seed,Seeds,296,Poppy seed
01510,Potatoes,Roots,116,Potatoes
01235,"Pumpkins, squash and gourds",Vegetables,394,"Pumpkins, squash and gourds"
01342.02,Quinces,Other,523,Quinces
01194,Quinoa,Seeds,92,Quinoa
01443,rapeseed or colza seed,Seeds,270,Rapeseed
01353.01,Raspberries,Berries,552,Blueberries
02211,raw milk of cattle,Dairy,882,"Milk, whole fresh cow"
02291,raw milk of sheep,Dairy,982,"Milk, whole fresh sheep"
0113,Rice,Cereals,103,"Grain, mixed"
0116,Rye,"Cereals, incl feed",71,Rye
01444,Sesame seed,Seeds,289,Sesame seed
0114,Sorghum,Cereals,83,Sorghum
01344.01,Sour cherries,Fruits,530,"Cherries, sour"
0141,Soya beans,Pulses,236,Soybeans
01215,Spinach,Vegetables,373,Spinach
01354,Strawberries,Fruits,544,Strawberries
01801,Sugar beet,Sugar crops,157,Sugar beet
01802,Sugar cane,Sugar crops,157,Sugar beet
01445,Sunflower seed,Oil crops,267,Sunflower seed
01530,Sweet potatoes,Roots,122,Sweet potatoes
01324,"Tangerines, mandarins, clementines",Fruits,495,"Tangerines, mandarins, clementines, satsumas"
01234,"Tomatoes, average",Vegetables,388,Tomatoes
01191,Triticale,Cereals,97,Triticale
01929.02,"True hemp, raw or retted",Other,103,"Grain, mixed"
01376,"Walnuts, in shell",Nuts,222,"Walnuts, with shell"
01221,Watermelons,Fruits,567,Watermelons
01709.01,Vetches,Other,205,Vetches
0111,"Wheat, average","Cereals, incl feed",15,Wheat
01319,"Other tropical fruits, n.e.c.",Fruits,603,"Fruit, tropical fresh nes"
01379.90,Nuts nes,Nuts,234,Nuts nes
01620,Tea leaves,Stimulants,667,Tea
01655,"Cinnamon and cinnamon-tree flowers, raw",Spices,693,Cinnamon (cannella)
01656,"Cloves (whole stems), raw",Spices,698,Cloves
01657,"Ginger, raw",Spices,720,Ginger
01658,Water buffalo milk,Dairy,882,"Milk, whole fresh cow"
02212,"Vanilla, raw",Spices,692,Vanilla
02292,Goat milk,Dairy,982,"Milk, whole fresh sheep"
21113.02,Pig meat,Meat,1035,"Meat, pig"
